"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Jardín de Invierno, Ciudad de Buenos Aires","jueves",6,0,-34.5894027,-58.3924419,2021-03-26
"2","Jardín de Invierno, Ciudad de Buenos Aires","jueves",7,0,-34.5894027,-58.3924419,2021-03-26
"3","Jardín de Invierno, Ciudad de Buenos Aires","jueves",8,0,-34.5894027,-58.3924419,2021-03-26
"4","Jardín de Invierno, Ciudad de Buenos Aires","jueves",9,0,-34.5894027,-58.3924419,2021-03-26
"5","Jardín de Invierno, Ciudad de Buenos Aires","jueves",10,0,-34.5894027,-58.3924419,2021-03-26
"6","Jardín de Invierno, Ciudad de Buenos Aires","jueves",11,0,-34.5894027,-58.3924419,2021-03-26
"7","Jardín de Invierno, Ciudad de Buenos Aires","jueves",12,0,-34.5894027,-58.3924419,2021-03-26
"8","Jardín de Invierno, Ciudad de Buenos Aires","jueves",13,0,-34.5894027,-58.3924419,2021-03-26
"9","Jardín de Invierno, Ciudad de Buenos Aires","jueves",14,0,-34.5894027,-58.3924419,2021-03-26
"10","Jardín de Invierno, Ciudad de Buenos Aires","jueves",15,0,-34.5894027,-58.3924419,2021-03-26
"11","Jardín de Invierno, Ciudad de Buenos Aires","jueves",16,1.5,-34.5894027,-58.3924419,2021-03-26
"12","Jardín de Invierno, Ciudad de Buenos Aires","jueves",17,2.25,-34.5894027,-58.3924419,2021-03-26
"13","Jardín de Invierno, Ciudad de Buenos Aires","jueves",18,4.5,-34.5894027,-58.3924419,2021-03-26
"14","Jardín de Invierno, Ciudad de Buenos Aires","jueves",19,9.75,-34.5894027,-58.3924419,2021-03-26
"15","Jardín de Invierno, Ciudad de Buenos Aires","jueves",20,17.25,-34.5894027,-58.3924419,2021-03-26
"16","Jardín de Invierno, Ciudad de Buenos Aires","jueves",21,22.5,-34.5894027,-58.3924419,2021-03-26
"17","Jardín de Invierno, Ciudad de Buenos Aires","jueves",22,21,-34.5894027,-58.3924419,2021-03-26
"18","Jardín de Invierno, Ciudad de Buenos Aires","jueves",23,15,-34.5894027,-58.3924419,2021-03-26
