"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",6,0,-34.571179,-58.431863,2021-03-26
"2","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",7,0,-34.571179,-58.431863,2021-03-26
"3","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",8,0,-34.571179,-58.431863,2021-03-26
"4","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",9,0,-34.571179,-58.431863,2021-03-26
"5","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",10,0,-34.571179,-58.431863,2021-03-26
"6","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",11,0,-34.571179,-58.431863,2021-03-26
"7","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",12,0,-34.571179,-58.431863,2021-03-26
"8","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",13,0,-34.571179,-58.431863,2021-03-26
"9","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",14,0,-34.571179,-58.431863,2021-03-26
"10","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",15,0,-34.571179,-58.431863,2021-03-26
"11","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",16,0,-34.571179,-58.431863,2021-03-26
"12","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",17,7.5,-34.571179,-58.431863,2021-03-26
"13","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",18,13.5,-34.571179,-58.431863,2021-03-26
"14","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",19,21.75,-34.571179,-58.431863,2021-03-26
"15","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",20,30,-34.571179,-58.431863,2021-03-26
"16","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",21,35.25,-34.571179,-58.431863,2021-03-26
"17","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",22,34.5,-34.571179,-58.431863,2021-03-26
"18","Jerome Las Canitas, Ciudad de Buenos Aires","lunes",23,28.5,-34.571179,-58.431863,2021-03-26
"19","Jerome Las Canitas, Ciudad de Buenos Aires","martes",0,21,-34.571179,-58.431863,2021-03-26
"20","Jerome Las Canitas, Ciudad de Buenos Aires","martes",6,0,-34.571179,-58.431863,2021-03-26
"21","Jerome Las Canitas, Ciudad de Buenos Aires","martes",7,0,-34.571179,-58.431863,2021-03-26
"22","Jerome Las Canitas, Ciudad de Buenos Aires","martes",8,0,-34.571179,-58.431863,2021-03-26
"23","Jerome Las Canitas, Ciudad de Buenos Aires","martes",9,0,-34.571179,-58.431863,2021-03-26
"24","Jerome Las Canitas, Ciudad de Buenos Aires","martes",10,0,-34.571179,-58.431863,2021-03-26
"25","Jerome Las Canitas, Ciudad de Buenos Aires","martes",11,0,-34.571179,-58.431863,2021-03-26
