"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Joaco Restaurant, Ciudad de Buenos Aires","lunes",6,0,-34.5728596,-58.4569116,2021-03-27
"2","Joaco Restaurant, Ciudad de Buenos Aires","lunes",7,0,-34.5728596,-58.4569116,2021-03-27
"3","Joaco Restaurant, Ciudad de Buenos Aires","lunes",8,0,-34.5728596,-58.4569116,2021-03-27
"4","Joaco Restaurant, Ciudad de Buenos Aires","lunes",9,0,-34.5728596,-58.4569116,2021-03-27
"5","Joaco Restaurant, Ciudad de Buenos Aires","lunes",10,0,-34.5728596,-58.4569116,2021-03-27
"6","Joaco Restaurant, Ciudad de Buenos Aires","lunes",11,0,-34.5728596,-58.4569116,2021-03-27
"7","Joaco Restaurant, Ciudad de Buenos Aires","lunes",12,17.25,-34.5728596,-58.4569116,2021-03-27
"8","Joaco Restaurant, Ciudad de Buenos Aires","lunes",13,21,-34.5728596,-58.4569116,2021-03-27
"9","Joaco Restaurant, Ciudad de Buenos Aires","lunes",14,15,-34.5728596,-58.4569116,2021-03-27
"10","Joaco Restaurant, Ciudad de Buenos Aires","lunes",15,0,-34.5728596,-58.4569116,2021-03-27
"11","Joaco Restaurant, Ciudad de Buenos Aires","lunes",16,0,-34.5728596,-58.4569116,2021-03-27
"12","Joaco Restaurant, Ciudad de Buenos Aires","lunes",17,0,-34.5728596,-58.4569116,2021-03-27
"13","Joaco Restaurant, Ciudad de Buenos Aires","lunes",18,0,-34.5728596,-58.4569116,2021-03-27
"14","Joaco Restaurant, Ciudad de Buenos Aires","lunes",19,0,-34.5728596,-58.4569116,2021-03-27
"15","Joaco Restaurant, Ciudad de Buenos Aires","lunes",20,9,-34.5728596,-58.4569116,2021-03-27
"16","Joaco Restaurant, Ciudad de Buenos Aires","lunes",21,33.75,-34.5728596,-58.4569116,2021-03-27
"17","Joaco Restaurant, Ciudad de Buenos Aires","lunes",22,35.25,-34.5728596,-58.4569116,2021-03-27
"18","Joaco Restaurant, Ciudad de Buenos Aires","lunes",23,0,-34.5728596,-58.4569116,2021-03-27
"19","Joaco Restaurant, Ciudad de Buenos Aires","martes",6,0,-34.5728596,-58.4569116,2021-03-27
"20","Joaco Restaurant, Ciudad de Buenos Aires","martes",7,0,-34.5728596,-58.4569116,2021-03-27
"21","Joaco Restaurant, Ciudad de Buenos Aires","martes",8,0,-34.5728596,-58.4569116,2021-03-27
"22","Joaco Restaurant, Ciudad de Buenos Aires","martes",9,0,-34.5728596,-58.4569116,2021-03-27
"23","Joaco Restaurant, Ciudad de Buenos Aires","martes",10,0,-34.5728596,-58.4569116,2021-03-27
"24","Joaco Restaurant, Ciudad de Buenos Aires","martes",11,0,-34.5728596,-58.4569116,2021-03-27
"25","Joaco Restaurant, Ciudad de Buenos Aires","martes",12,9,-34.5728596,-58.4569116,2021-03-27
"26","Joaco Restaurant, Ciudad de Buenos Aires","martes",13,18.75,-34.5728596,-58.4569116,2021-03-27
"27","Joaco Restaurant, Ciudad de Buenos Aires","martes",14,17.25,-34.5728596,-58.4569116,2021-03-27
"28","Joaco Restaurant, Ciudad de Buenos Aires","martes",15,0,-34.5728596,-58.4569116,2021-03-27
"29","Joaco Restaurant, Ciudad de Buenos Aires","martes",16,0,-34.5728596,-58.4569116,2021-03-27
"30","Joaco Restaurant, Ciudad de Buenos Aires","martes",17,0,-34.5728596,-58.4569116,2021-03-27
"31","Joaco Restaurant, Ciudad de Buenos Aires","martes",18,0,-34.5728596,-58.4569116,2021-03-27
"32","Joaco Restaurant, Ciudad de Buenos Aires","martes",19,0,-34.5728596,-58.4569116,2021-03-27
