"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Juani Café, Ciudad de Buenos Aires","lunes",6,0,-34.5935037,-58.4250468,2021-03-30
"2","Juani Café, Ciudad de Buenos Aires","lunes",7,0,-34.5935037,-58.4250468,2021-03-30
"3","Juani Café, Ciudad de Buenos Aires","lunes",8,0,-34.5935037,-58.4250468,2021-03-30
"4","Juani Café, Ciudad de Buenos Aires","lunes",9,21,-34.5935037,-58.4250468,2021-03-30
"5","Juani Café, Ciudad de Buenos Aires","lunes",10,31.5,-34.5935037,-58.4250468,2021-03-30
"6","Juani Café, Ciudad de Buenos Aires","lunes",11,39,-34.5935037,-58.4250468,2021-03-30
"7","Juani Café, Ciudad de Buenos Aires","lunes",12,39,-34.5935037,-58.4250468,2021-03-30
"8","Juani Café, Ciudad de Buenos Aires","lunes",13,33.75,-34.5935037,-58.4250468,2021-03-30
"9","Juani Café, Ciudad de Buenos Aires","lunes",14,26.25,-34.5935037,-58.4250468,2021-03-30
"10","Juani Café, Ciudad de Buenos Aires","lunes",15,27,-34.5935037,-58.4250468,2021-03-30
"11","Juani Café, Ciudad de Buenos Aires","lunes",16,45,-34.5935037,-58.4250468,2021-03-30
"12","Juani Café, Ciudad de Buenos Aires","lunes",17,72,-34.5935037,-58.4250468,2021-03-30
"13","Juani Café, Ciudad de Buenos Aires","lunes",18,75,-34.5935037,-58.4250468,2021-03-30
"14","Juani Café, Ciudad de Buenos Aires","lunes",19,0,-34.5935037,-58.4250468,2021-03-30
"15","Juani Café, Ciudad de Buenos Aires","lunes",20,0,-34.5935037,-58.4250468,2021-03-30
"16","Juani Café, Ciudad de Buenos Aires","lunes",21,0,-34.5935037,-58.4250468,2021-03-30
"17","Juani Café, Ciudad de Buenos Aires","lunes",22,0,-34.5935037,-58.4250468,2021-03-30
"18","Juani Café, Ciudad de Buenos Aires","lunes",23,0,-34.5935037,-58.4250468,2021-03-30
"19","Juani Café, Ciudad de Buenos Aires","martes",6,0,-34.5935037,-58.4250468,2021-03-30
"20","Juani Café, Ciudad de Buenos Aires","martes",7,0,-34.5935037,-58.4250468,2021-03-30
"21","Juani Café, Ciudad de Buenos Aires","martes",8,0,-34.5935037,-58.4250468,2021-03-30
"22","Juani Café, Ciudad de Buenos Aires","martes",9,12,-34.5935037,-58.4250468,2021-03-30
"23","Juani Café, Ciudad de Buenos Aires","martes",10,45.75,-34.5935037,-58.4250468,2021-03-30
"24","Juani Café, Ciudad de Buenos Aires","martes",11,64.5,-34.5935037,-58.4250468,2021-03-30
"25","Juani Café, Ciudad de Buenos Aires","martes",12,48.75,-34.5935037,-58.4250468,2021-03-30
"26","Juani Café, Ciudad de Buenos Aires","martes",13,30.75,-34.5935037,-58.4250468,2021-03-30
"27","Juani Café, Ciudad de Buenos Aires","martes",14,32.25,-34.5935037,-58.4250468,2021-03-30
"28","Juani Café, Ciudad de Buenos Aires","martes",15,42.75,-34.5935037,-58.4250468,2021-03-30
"29","Juani Café, Ciudad de Buenos Aires","martes",16,51.75,-34.5935037,-58.4250468,2021-03-30
"30","Juani Café, Ciudad de Buenos Aires","martes",17,53.25,-34.5935037,-58.4250468,2021-03-30
"31","Juani Café, Ciudad de Buenos Aires","martes",18,47.25,-34.5935037,-58.4250468,2021-03-30
"32","Juani Café, Ciudad de Buenos Aires","martes",19,0,-34.5935037,-58.4250468,2021-03-30
"33","Juani Café, Ciudad de Buenos Aires","martes",20,0,-34.5935037,-58.4250468,2021-03-30
"34","Juani Café, Ciudad de Buenos Aires","martes",21,0,-34.5935037,-58.4250468,2021-03-30
"35","Juani Café, Ciudad de Buenos Aires","martes",22,0,-34.5935037,-58.4250468,2021-03-30
"36","Juani Café, Ciudad de Buenos Aires","martes",23,0,-34.5935037,-58.4250468,2021-03-30
"37","Juani Café, Ciudad de Buenos Aires","miercoles",6,0,-34.5935037,-58.4250468,2021-03-30
"38","Juani Café, Ciudad de Buenos Aires","miercoles",7,0,-34.5935037,-58.4250468,2021-03-30
"39","Juani Café, Ciudad de Buenos Aires","miercoles",8,0,-34.5935037,-58.4250468,2021-03-30
"40","Juani Café, Ciudad de Buenos Aires","miercoles",9,24,-34.5935037,-58.4250468,2021-03-30
"41","Juani Café, Ciudad de Buenos Aires","miercoles",10,39.75,-34.5935037,-58.4250468,2021-03-30
"42","Juani Café, Ciudad de Buenos Aires","miercoles",11,51.75,-34.5935037,-58.4250468,2021-03-30
"43","Juani Café, Ciudad de Buenos Aires","miercoles",12,54.75,-34.5935037,-58.4250468,2021-03-30
"44","Juani Café, Ciudad de Buenos Aires","miercoles",13,48,-34.5935037,-58.4250468,2021-03-30
"45","Juani Café, Ciudad de Buenos Aires","miercoles",14,34.5,-34.5935037,-58.4250468,2021-03-30
"46","Juani Café, Ciudad de Buenos Aires","miercoles",15,24.75,-34.5935037,-58.4250468,2021-03-30
"47","Juani Café, Ciudad de Buenos Aires","miercoles",16,28.5,-34.5935037,-58.4250468,2021-03-30
"48","Juani Café, Ciudad de Buenos Aires","miercoles",17,45.75,-34.5935037,-58.4250468,2021-03-30
"49","Juani Café, Ciudad de Buenos Aires","miercoles",18,54.75,-34.5935037,-58.4250468,2021-03-30
"50","Juani Café, Ciudad de Buenos Aires","miercoles",19,0,-34.5935037,-58.4250468,2021-03-30
"51","Juani Café, Ciudad de Buenos Aires","miercoles",20,0,-34.5935037,-58.4250468,2021-03-30
"52","Juani Café, Ciudad de Buenos Aires","miercoles",21,0,-34.5935037,-58.4250468,2021-03-30
"53","Juani Café, Ciudad de Buenos Aires","miercoles",22,0,-34.5935037,-58.4250468,2021-03-30
"54","Juani Café, Ciudad de Buenos Aires","miercoles",23,0,-34.5935037,-58.4250468,2021-03-30
"55","Juani Café, Ciudad de Buenos Aires","jueves",6,0,-34.5935037,-58.4250468,2021-03-30
"56","Juani Café, Ciudad de Buenos Aires","jueves",7,0,-34.5935037,-58.4250468,2021-03-30
"57","Juani Café, Ciudad de Buenos Aires","jueves",8,0,-34.5935037,-58.4250468,2021-03-30
"58","Juani Café, Ciudad de Buenos Aires","jueves",9,24.75,-34.5935037,-58.4250468,2021-03-30
"59","Juani Café, Ciudad de Buenos Aires","jueves",10,41.25,-34.5935037,-58.4250468,2021-03-30
"60","Juani Café, Ciudad de Buenos Aires","jueves",11,51.75,-34.5935037,-58.4250468,2021-03-30
"61","Juani Café, Ciudad de Buenos Aires","jueves",12,48.75,-34.5935037,-58.4250468,2021-03-30
"62","Juani Café, Ciudad de Buenos Aires","jueves",13,38.25,-34.5935037,-58.4250468,2021-03-30
"63","Juani Café, Ciudad de Buenos Aires","jueves",14,28.5,-34.5935037,-58.4250468,2021-03-30
"64","Juani Café, Ciudad de Buenos Aires","jueves",15,28.5,-34.5935037,-58.4250468,2021-03-30
"65","Juani Café, Ciudad de Buenos Aires","jueves",16,39.75,-34.5935037,-58.4250468,2021-03-30
"66","Juani Café, Ciudad de Buenos Aires","jueves",17,52.5,-34.5935037,-58.4250468,2021-03-30
"67","Juani Café, Ciudad de Buenos Aires","jueves",18,54.75,-34.5935037,-58.4250468,2021-03-30
"68","Juani Café, Ciudad de Buenos Aires","jueves",19,0,-34.5935037,-58.4250468,2021-03-30
"69","Juani Café, Ciudad de Buenos Aires","jueves",20,0,-34.5935037,-58.4250468,2021-03-30
"70","Juani Café, Ciudad de Buenos Aires","jueves",21,0,-34.5935037,-58.4250468,2021-03-30
"71","Juani Café, Ciudad de Buenos Aires","jueves",22,0,-34.5935037,-58.4250468,2021-03-30
"72","Juani Café, Ciudad de Buenos Aires","jueves",23,0,-34.5935037,-58.4250468,2021-03-30
"73","Juani Café, Ciudad de Buenos Aires","viernes",6,0,-34.5935037,-58.4250468,2021-03-30
"74","Juani Café, Ciudad de Buenos Aires","viernes",7,0,-34.5935037,-58.4250468,2021-03-30
"75","Juani Café, Ciudad de Buenos Aires","viernes",8,0,-34.5935037,-58.4250468,2021-03-30
"76","Juani Café, Ciudad de Buenos Aires","viernes",9,30.75,-34.5935037,-58.4250468,2021-03-30
"77","Juani Café, Ciudad de Buenos Aires","viernes",10,61.5,-34.5935037,-58.4250468,2021-03-30
"78","Juani Café, Ciudad de Buenos Aires","viernes",11,64.5,-34.5935037,-58.4250468,2021-03-30
"79","Juani Café, Ciudad de Buenos Aires","viernes",12,40.5,-34.5935037,-58.4250468,2021-03-30
"80","Juani Café, Ciudad de Buenos Aires","viernes",13,22.5,-34.5935037,-58.4250468,2021-03-30
"81","Juani Café, Ciudad de Buenos Aires","viernes",14,23.25,-34.5935037,-58.4250468,2021-03-30
"82","Juani Café, Ciudad de Buenos Aires","viernes",15,33.75,-34.5935037,-58.4250468,2021-03-30
"83","Juani Café, Ciudad de Buenos Aires","viernes",16,45.75,-34.5935037,-58.4250468,2021-03-30
"84","Juani Café, Ciudad de Buenos Aires","viernes",17,51.75,-34.5935037,-58.4250468,2021-03-30
"85","Juani Café, Ciudad de Buenos Aires","viernes",18,48,-34.5935037,-58.4250468,2021-03-30
"86","Juani Café, Ciudad de Buenos Aires","viernes",19,0,-34.5935037,-58.4250468,2021-03-30
"87","Juani Café, Ciudad de Buenos Aires","viernes",20,0,-34.5935037,-58.4250468,2021-03-30
"88","Juani Café, Ciudad de Buenos Aires","viernes",21,0,-34.5935037,-58.4250468,2021-03-30
"89","Juani Café, Ciudad de Buenos Aires","viernes",22,0,-34.5935037,-58.4250468,2021-03-30
"90","Juani Café, Ciudad de Buenos Aires","viernes",23,0,-34.5935037,-58.4250468,2021-03-30
"91","Juani Café, Ciudad de Buenos Aires","sabado",6,0,-34.5935037,-58.4250468,2021-03-30
"92","Juani Café, Ciudad de Buenos Aires","sabado",7,0,-34.5935037,-58.4250468,2021-03-30
"93","Juani Café, Ciudad de Buenos Aires","sabado",8,0,-34.5935037,-58.4250468,2021-03-30
"94","Juani Café, Ciudad de Buenos Aires","sabado",9,38.25,-34.5935037,-58.4250468,2021-03-30
"95","Juani Café, Ciudad de Buenos Aires","sabado",10,63.75,-34.5935037,-58.4250468,2021-03-30
"96","Juani Café, Ciudad de Buenos Aires","sabado",11,75,-34.5935037,-58.4250468,2021-03-30
"97","Juani Café, Ciudad de Buenos Aires","sabado",12,61.5,-34.5935037,-58.4250468,2021-03-30
