"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","KOI Dumplings, Ciudad de Buenos Aires","lunes",6,0,-34.5835639,-58.4393685,2021-03-28
"2","KOI Dumplings, Ciudad de Buenos Aires","lunes",7,0,-34.5835639,-58.4393685,2021-03-28
"3","KOI Dumplings, Ciudad de Buenos Aires","lunes",8,0,-34.5835639,-58.4393685,2021-03-28
"4","KOI Dumplings, Ciudad de Buenos Aires","lunes",9,0,-34.5835639,-58.4393685,2021-03-28
"5","KOI Dumplings, Ciudad de Buenos Aires","lunes",10,0,-34.5835639,-58.4393685,2021-03-28
"6","KOI Dumplings, Ciudad de Buenos Aires","lunes",11,0,-34.5835639,-58.4393685,2021-03-28
"7","KOI Dumplings, Ciudad de Buenos Aires","lunes",12,9,-34.5835639,-58.4393685,2021-03-28
"8","KOI Dumplings, Ciudad de Buenos Aires","lunes",13,15,-34.5835639,-58.4393685,2021-03-28
"9","KOI Dumplings, Ciudad de Buenos Aires","lunes",14,18.75,-34.5835639,-58.4393685,2021-03-28
"10","KOI Dumplings, Ciudad de Buenos Aires","lunes",15,18.75,-34.5835639,-58.4393685,2021-03-28
"11","KOI Dumplings, Ciudad de Buenos Aires","lunes",16,15,-34.5835639,-58.4393685,2021-03-28
"12","KOI Dumplings, Ciudad de Buenos Aires","lunes",17,11.25,-34.5835639,-58.4393685,2021-03-28
"13","KOI Dumplings, Ciudad de Buenos Aires","lunes",18,10.5,-34.5835639,-58.4393685,2021-03-28
"14","KOI Dumplings, Ciudad de Buenos Aires","lunes",19,16.5,-34.5835639,-58.4393685,2021-03-28
"15","KOI Dumplings, Ciudad de Buenos Aires","lunes",20,27,-34.5835639,-58.4393685,2021-03-28
"16","KOI Dumplings, Ciudad de Buenos Aires","lunes",21,36.75,-34.5835639,-58.4393685,2021-03-28
"17","KOI Dumplings, Ciudad de Buenos Aires","lunes",22,38.25,-34.5835639,-58.4393685,2021-03-28
"18","KOI Dumplings, Ciudad de Buenos Aires","lunes",23,30.75,-34.5835639,-58.4393685,2021-03-28
"19","KOI Dumplings, Ciudad de Buenos Aires","martes",0,18.75,-34.5835639,-58.4393685,2021-03-28
"20","KOI Dumplings, Ciudad de Buenos Aires","martes",6,0,-34.5835639,-58.4393685,2021-03-28
"21","KOI Dumplings, Ciudad de Buenos Aires","martes",7,0,-34.5835639,-58.4393685,2021-03-28
"22","KOI Dumplings, Ciudad de Buenos Aires","martes",8,0,-34.5835639,-58.4393685,2021-03-28
"23","KOI Dumplings, Ciudad de Buenos Aires","martes",9,0,-34.5835639,-58.4393685,2021-03-28
"24","KOI Dumplings, Ciudad de Buenos Aires","martes",10,0,-34.5835639,-58.4393685,2021-03-28
"25","KOI Dumplings, Ciudad de Buenos Aires","martes",11,0,-34.5835639,-58.4393685,2021-03-28
"26","KOI Dumplings, Ciudad de Buenos Aires","martes",12,10.5,-34.5835639,-58.4393685,2021-03-28
"27","KOI Dumplings, Ciudad de Buenos Aires","martes",13,15.75,-34.5835639,-58.4393685,2021-03-28
"28","KOI Dumplings, Ciudad de Buenos Aires","martes",14,18.75,-34.5835639,-58.4393685,2021-03-28
"29","KOI Dumplings, Ciudad de Buenos Aires","martes",15,17.25,-34.5835639,-58.4393685,2021-03-28
"30","KOI Dumplings, Ciudad de Buenos Aires","martes",16,14.25,-34.5835639,-58.4393685,2021-03-28
"31","KOI Dumplings, Ciudad de Buenos Aires","martes",17,12,-34.5835639,-58.4393685,2021-03-28
"32","KOI Dumplings, Ciudad de Buenos Aires","martes",18,15,-34.5835639,-58.4393685,2021-03-28
"33","KOI Dumplings, Ciudad de Buenos Aires","martes",19,22.5,-34.5835639,-58.4393685,2021-03-28
"34","KOI Dumplings, Ciudad de Buenos Aires","martes",20,32.25,-34.5835639,-58.4393685,2021-03-28
"35","KOI Dumplings, Ciudad de Buenos Aires","martes",21,39,-34.5835639,-58.4393685,2021-03-28
"36","KOI Dumplings, Ciudad de Buenos Aires","martes",22,38.25,-34.5835639,-58.4393685,2021-03-28
"37","KOI Dumplings, Ciudad de Buenos Aires","martes",23,30,-34.5835639,-58.4393685,2021-03-28
"38","KOI Dumplings, Ciudad de Buenos Aires","miercoles",0,18.75,-34.5835639,-58.4393685,2021-03-28
"39","KOI Dumplings, Ciudad de Buenos Aires","miercoles",6,0,-34.5943513,-58.4245499,2021-03-28
"40","KOI Dumplings, Ciudad de Buenos Aires","miercoles",7,0,-34.5943513,-58.4245499,2021-03-28
"41","KOI Dumplings, Ciudad de Buenos Aires","miercoles",8,0,-34.5943513,-58.4245499,2021-03-28
"42","KOI Dumplings, Ciudad de Buenos Aires","miercoles",9,0,-34.5943513,-58.4245499,2021-03-28
"43","KOI Dumplings, Ciudad de Buenos Aires","miercoles",10,0,-34.5943513,-58.4245499,2021-03-28
"44","KOI Dumplings, Ciudad de Buenos Aires","miercoles",11,0,-34.5943513,-58.4245499,2021-03-28
"45","KOI Dumplings, Ciudad de Buenos Aires","miercoles",12,13.5,-34.5943513,-58.4245499,2021-03-28
"46","KOI Dumplings, Ciudad de Buenos Aires","miercoles",13,17.25,-34.5943513,-58.4245499,2021-03-28
"47","KOI Dumplings, Ciudad de Buenos Aires","miercoles",14,19.5,-34.5943513,-58.4245499,2021-03-28
"48","KOI Dumplings, Ciudad de Buenos Aires","miercoles",15,18.75,-34.5943513,-58.4245499,2021-03-28
"49","KOI Dumplings, Ciudad de Buenos Aires","miercoles",16,16.5,-34.5943513,-58.4245499,2021-03-28
"50","KOI Dumplings, Ciudad de Buenos Aires","miercoles",17,12.75,-34.5943513,-58.4245499,2021-03-28
"51","KOI Dumplings, Ciudad de Buenos Aires","miercoles",18,12.75,-34.5943513,-58.4245499,2021-03-28
"52","KOI Dumplings, Ciudad de Buenos Aires","miercoles",19,21,-34.5943513,-58.4245499,2021-03-28
"53","KOI Dumplings, Ciudad de Buenos Aires","miercoles",20,39,-34.5943513,-58.4245499,2021-03-28
"54","KOI Dumplings, Ciudad de Buenos Aires","miercoles",21,53.25,-34.5943513,-58.4245499,2021-03-28
"55","KOI Dumplings, Ciudad de Buenos Aires","miercoles",22,47.25,-34.5943513,-58.4245499,2021-03-28
"56","KOI Dumplings, Ciudad de Buenos Aires","miercoles",23,27,-34.5943513,-58.4245499,2021-03-28
"57","KOI Dumplings, Ciudad de Buenos Aires","jueves",0,9.75,-34.5943513,-58.4245499,2021-03-28
"58","KOI Dumplings, Ciudad de Buenos Aires","jueves",6,0,-34.5835639,-58.4393685,2021-03-28
"59","KOI Dumplings, Ciudad de Buenos Aires","jueves",7,0,-34.5835639,-58.4393685,2021-03-28
"60","KOI Dumplings, Ciudad de Buenos Aires","jueves",8,0,-34.5835639,-58.4393685,2021-03-28
"61","KOI Dumplings, Ciudad de Buenos Aires","jueves",9,0,-34.5835639,-58.4393685,2021-03-28
"62","KOI Dumplings, Ciudad de Buenos Aires","jueves",10,0,-34.5835639,-58.4393685,2021-03-28
"63","KOI Dumplings, Ciudad de Buenos Aires","jueves",11,0,-34.5835639,-58.4393685,2021-03-28
"64","KOI Dumplings, Ciudad de Buenos Aires","jueves",12,9,-34.5835639,-58.4393685,2021-03-28
"65","KOI Dumplings, Ciudad de Buenos Aires","jueves",13,15.75,-34.5835639,-58.4393685,2021-03-28
"66","KOI Dumplings, Ciudad de Buenos Aires","jueves",14,20.25,-34.5835639,-58.4393685,2021-03-28
"67","KOI Dumplings, Ciudad de Buenos Aires","jueves",15,20.25,-34.5835639,-58.4393685,2021-03-28
"68","KOI Dumplings, Ciudad de Buenos Aires","jueves",16,15.75,-34.5835639,-58.4393685,2021-03-28
"69","KOI Dumplings, Ciudad de Buenos Aires","jueves",17,11.25,-34.5835639,-58.4393685,2021-03-28
"70","KOI Dumplings, Ciudad de Buenos Aires","jueves",18,9.75,-34.5835639,-58.4393685,2021-03-28
"71","KOI Dumplings, Ciudad de Buenos Aires","jueves",19,15.75,-34.5835639,-58.4393685,2021-03-28
"72","KOI Dumplings, Ciudad de Buenos Aires","jueves",20,27.75,-34.5835639,-58.4393685,2021-03-28
"73","KOI Dumplings, Ciudad de Buenos Aires","jueves",21,39.75,-34.5835639,-58.4393685,2021-03-28
"74","KOI Dumplings, Ciudad de Buenos Aires","jueves",22,44.25,-34.5835639,-58.4393685,2021-03-28
"75","KOI Dumplings, Ciudad de Buenos Aires","jueves",23,37.5,-34.5835639,-58.4393685,2021-03-28
"76","KOI Dumplings, Ciudad de Buenos Aires","viernes",0,23.25,-34.5835639,-58.4393685,2021-03-28
"77","KOI Dumplings, Ciudad de Buenos Aires","viernes",6,0,-34.5835639,-58.4393685,2021-03-28
"78","KOI Dumplings, Ciudad de Buenos Aires","viernes",7,0,-34.5835639,-58.4393685,2021-03-28
