"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Kanu Sushi, Ciudad de Buenos Aires","lunes",6,0,-34.5754932,-58.4821794,2021-03-26
"2","Kanu Sushi, Ciudad de Buenos Aires","lunes",7,0,-34.5754932,-58.4821794,2021-03-26
"3","Kanu Sushi, Ciudad de Buenos Aires","lunes",8,0,-34.5754932,-58.4821794,2021-03-26
"4","Kanu Sushi, Ciudad de Buenos Aires","lunes",9,0,-34.5754932,-58.4821794,2021-03-26
"5","Kanu Sushi, Ciudad de Buenos Aires","lunes",10,0,-34.5754932,-58.4821794,2021-03-26
"6","Kanu Sushi, Ciudad de Buenos Aires","lunes",11,4.5,-34.5754932,-58.4821794,2021-03-26
"7","Kanu Sushi, Ciudad de Buenos Aires","lunes",12,12,-34.5754932,-58.4821794,2021-03-26
"8","Kanu Sushi, Ciudad de Buenos Aires","lunes",13,15.75,-34.5754932,-58.4821794,2021-03-26
"9","Kanu Sushi, Ciudad de Buenos Aires","lunes",14,13.5,-34.5754932,-58.4821794,2021-03-26
"10","Kanu Sushi, Ciudad de Buenos Aires","lunes",15,6,-34.5754932,-58.4821794,2021-03-26
"11","Kanu Sushi, Ciudad de Buenos Aires","lunes",16,0,-34.5754932,-58.4821794,2021-03-26
"12","Kanu Sushi, Ciudad de Buenos Aires","lunes",17,0,-34.5754932,-58.4821794,2021-03-26
"13","Kanu Sushi, Ciudad de Buenos Aires","lunes",18,6,-34.5754932,-58.4821794,2021-03-26
"14","Kanu Sushi, Ciudad de Buenos Aires","lunes",19,20.25,-34.5754932,-58.4821794,2021-03-26
"15","Kanu Sushi, Ciudad de Buenos Aires","lunes",20,39,-34.5754932,-58.4821794,2021-03-26
"16","Kanu Sushi, Ciudad de Buenos Aires","lunes",21,46.5,-34.5754932,-58.4821794,2021-03-26
"17","Kanu Sushi, Ciudad de Buenos Aires","lunes",22,35.25,-34.5754932,-58.4821794,2021-03-26
"18","Kanu Sushi, Ciudad de Buenos Aires","lunes",23,16.5,-34.5754932,-58.4821794,2021-03-26
"19","Kanu Sushi, Ciudad de Buenos Aires","martes",6,0,-34.5754932,-58.4821794,2021-03-26
"20","Kanu Sushi, Ciudad de Buenos Aires","martes",7,0,-34.5754932,-58.4821794,2021-03-26
"21","Kanu Sushi, Ciudad de Buenos Aires","martes",8,0,-34.5754932,-58.4821794,2021-03-26
"22","Kanu Sushi, Ciudad de Buenos Aires","martes",9,0,-34.5754932,-58.4821794,2021-03-26
"23","Kanu Sushi, Ciudad de Buenos Aires","martes",10,0,-34.5754932,-58.4821794,2021-03-26
"24","Kanu Sushi, Ciudad de Buenos Aires","martes",11,0,-34.5754932,-58.4821794,2021-03-26
"25","Kanu Sushi, Ciudad de Buenos Aires","martes",12,0,-34.5754932,-58.4821794,2021-03-26
"26","Kanu Sushi, Ciudad de Buenos Aires","martes",13,0,-34.5754932,-58.4821794,2021-03-26
"27","Kanu Sushi, Ciudad de Buenos Aires","martes",14,0,-34.5754932,-58.4821794,2021-03-26
"28","Kanu Sushi, Ciudad de Buenos Aires","martes",15,0,-34.5754932,-58.4821794,2021-03-26
"29","Kanu Sushi, Ciudad de Buenos Aires","martes",16,0,-34.5754932,-58.4821794,2021-03-26
"30","Kanu Sushi, Ciudad de Buenos Aires","martes",17,0,-34.5754932,-58.4821794,2021-03-26
"31","Kanu Sushi, Ciudad de Buenos Aires","martes",18,7.5,-34.5754932,-58.4821794,2021-03-26
"32","Kanu Sushi, Ciudad de Buenos Aires","martes",19,26.25,-34.5754932,-58.4821794,2021-03-26
"33","Kanu Sushi, Ciudad de Buenos Aires","martes",20,50.25,-34.5754932,-58.4821794,2021-03-26
"34","Kanu Sushi, Ciudad de Buenos Aires","martes",21,57,-34.5754932,-58.4821794,2021-03-26
"35","Kanu Sushi, Ciudad de Buenos Aires","martes",22,38.25,-34.5754932,-58.4821794,2021-03-26
"36","Kanu Sushi, Ciudad de Buenos Aires","martes",23,15,-34.5754932,-58.4821794,2021-03-26
"37","Kanu Sushi, Ciudad de Buenos Aires","miercoles",6,0,-34.5754932,-58.4821794,2021-03-26
"38","Kanu Sushi, Ciudad de Buenos Aires","miercoles",7,0,-34.5754932,-58.4821794,2021-03-26
"39","Kanu Sushi, Ciudad de Buenos Aires","miercoles",8,0,-34.5754932,-58.4821794,2021-03-26
"40","Kanu Sushi, Ciudad de Buenos Aires","miercoles",9,0,-34.5754932,-58.4821794,2021-03-26
"41","Kanu Sushi, Ciudad de Buenos Aires","miercoles",10,0,-34.5754932,-58.4821794,2021-03-26
"42","Kanu Sushi, Ciudad de Buenos Aires","miercoles",11,7.5,-34.5754932,-58.4821794,2021-03-26
"43","Kanu Sushi, Ciudad de Buenos Aires","miercoles",12,8.25,-34.5754932,-58.4821794,2021-03-26
"44","Kanu Sushi, Ciudad de Buenos Aires","miercoles",13,8.25,-34.5754932,-58.4821794,2021-03-26
"45","Kanu Sushi, Ciudad de Buenos Aires","miercoles",14,7.5,-34.5754932,-58.4821794,2021-03-26
"46","Kanu Sushi, Ciudad de Buenos Aires","miercoles",15,6,-34.5754932,-58.4821794,2021-03-26
"47","Kanu Sushi, Ciudad de Buenos Aires","miercoles",16,0,-34.5754932,-58.4821794,2021-03-26
"48","Kanu Sushi, Ciudad de Buenos Aires","miercoles",17,0,-34.5754932,-58.4821794,2021-03-26
"49","Kanu Sushi, Ciudad de Buenos Aires","miercoles",18,19.5,-34.5754932,-58.4821794,2021-03-26
"50","Kanu Sushi, Ciudad de Buenos Aires","miercoles",19,30,-34.5754932,-58.4821794,2021-03-26
"51","Kanu Sushi, Ciudad de Buenos Aires","miercoles",20,31.5,-34.5754932,-58.4821794,2021-03-26
