"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Kikamora Helados, Ciudad de Buenos Aires","lunes",6,0,-34.6126919,-58.505049,2021-03-29
"2","Kikamora Helados, Ciudad de Buenos Aires","lunes",7,0,-34.6126919,-58.505049,2021-03-29
"3","Kikamora Helados, Ciudad de Buenos Aires","lunes",8,0,-34.6126919,-58.505049,2021-03-29
"4","Kikamora Helados, Ciudad de Buenos Aires","lunes",9,0,-34.6126919,-58.505049,2021-03-29
"5","Kikamora Helados, Ciudad de Buenos Aires","lunes",10,0,-34.6126919,-58.505049,2021-03-29
"6","Kikamora Helados, Ciudad de Buenos Aires","lunes",11,0,-34.6126919,-58.505049,2021-03-29
"7","Kikamora Helados, Ciudad de Buenos Aires","lunes",12,0,-34.6126919,-58.505049,2021-03-29
"8","Kikamora Helados, Ciudad de Buenos Aires","lunes",13,12,-34.6126919,-58.505049,2021-03-29
"9","Kikamora Helados, Ciudad de Buenos Aires","lunes",14,19.5,-34.6126919,-58.505049,2021-03-29
"10","Kikamora Helados, Ciudad de Buenos Aires","lunes",15,30,-34.6126919,-58.505049,2021-03-29
"11","Kikamora Helados, Ciudad de Buenos Aires","lunes",16,37.5,-34.6126919,-58.505049,2021-03-29
"12","Kikamora Helados, Ciudad de Buenos Aires","lunes",17,42,-34.6126919,-58.505049,2021-03-29
"13","Kikamora Helados, Ciudad de Buenos Aires","lunes",18,42,-34.6126919,-58.505049,2021-03-29
"14","Kikamora Helados, Ciudad de Buenos Aires","lunes",19,34.5,-34.6126919,-58.505049,2021-03-29
"15","Kikamora Helados, Ciudad de Buenos Aires","lunes",20,30,-34.6126919,-58.505049,2021-03-29
"16","Kikamora Helados, Ciudad de Buenos Aires","lunes",21,27,-34.6126919,-58.505049,2021-03-29
"17","Kikamora Helados, Ciudad de Buenos Aires","lunes",22,22.5,-34.6126919,-58.505049,2021-03-29
"18","Kikamora Helados, Ciudad de Buenos Aires","lunes",23,12,-34.6126919,-58.505049,2021-03-29
"19","Kikamora Helados, Ciudad de Buenos Aires","martes",6,0,-34.6126919,-58.505049,2021-03-29
"20","Kikamora Helados, Ciudad de Buenos Aires","martes",7,0,-34.6126919,-58.505049,2021-03-29
"21","Kikamora Helados, Ciudad de Buenos Aires","martes",8,0,-34.6126919,-58.505049,2021-03-29
"22","Kikamora Helados, Ciudad de Buenos Aires","martes",9,0,-34.6126919,-58.505049,2021-03-29
"23","Kikamora Helados, Ciudad de Buenos Aires","martes",10,0,-34.6126919,-58.505049,2021-03-29
"24","Kikamora Helados, Ciudad de Buenos Aires","martes",11,0,-34.6126919,-58.505049,2021-03-29
"25","Kikamora Helados, Ciudad de Buenos Aires","martes",12,0,-34.6126919,-58.505049,2021-03-29
"26","Kikamora Helados, Ciudad de Buenos Aires","martes",13,12,-34.6126919,-58.505049,2021-03-29
"27","Kikamora Helados, Ciudad de Buenos Aires","martes",14,19.5,-34.6126919,-58.505049,2021-03-29
"28","Kikamora Helados, Ciudad de Buenos Aires","martes",15,24.75,-34.6126919,-58.505049,2021-03-29
"29","Kikamora Helados, Ciudad de Buenos Aires","martes",16,22.5,-34.6126919,-58.505049,2021-03-29
"30","Kikamora Helados, Ciudad de Buenos Aires","martes",17,27,-34.6126919,-58.505049,2021-03-29
"31","Kikamora Helados, Ciudad de Buenos Aires","martes",18,47.25,-34.6126919,-58.505049,2021-03-29
"32","Kikamora Helados, Ciudad de Buenos Aires","martes",19,54.75,-34.6126919,-58.505049,2021-03-29
"33","Kikamora Helados, Ciudad de Buenos Aires","martes",20,37.5,-34.6126919,-58.505049,2021-03-29
"34","Kikamora Helados, Ciudad de Buenos Aires","martes",21,17.25,-34.6126919,-58.505049,2021-03-29
"35","Kikamora Helados, Ciudad de Buenos Aires","martes",22,24.75,-34.6126919,-58.505049,2021-03-29
"36","Kikamora Helados, Ciudad de Buenos Aires","martes",23,24.75,-34.6126919,-58.505049,2021-03-29
"37","Kikamora Helados, Ciudad de Buenos Aires","miercoles",6,0,-34.6126919,-58.505049,2021-03-29
"38","Kikamora Helados, Ciudad de Buenos Aires","miercoles",7,0,-34.6126919,-58.505049,2021-03-29
"39","Kikamora Helados, Ciudad de Buenos Aires","miercoles",8,0,-34.6126919,-58.505049,2021-03-29
