"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","LA BURRERIA, Ciudad de Buenos Aires","lunes",6,0,-34.6265777,-58.3719721,2021-03-28
"2","LA BURRERIA, Ciudad de Buenos Aires","lunes",7,0,-34.6265777,-58.3719721,2021-03-28
"3","LA BURRERIA, Ciudad de Buenos Aires","lunes",8,0,-34.6265777,-58.3719721,2021-03-28
"4","LA BURRERIA, Ciudad de Buenos Aires","lunes",9,0,-34.6265777,-58.3719721,2021-03-28
"5","LA BURRERIA, Ciudad de Buenos Aires","lunes",10,0,-34.6265777,-58.3719721,2021-03-28
"6","LA BURRERIA, Ciudad de Buenos Aires","lunes",11,0,-34.6265777,-58.3719721,2021-03-28
"7","LA BURRERIA, Ciudad de Buenos Aires","lunes",12,0,-34.6265777,-58.3719721,2021-03-28
"8","LA BURRERIA, Ciudad de Buenos Aires","lunes",13,0.75,-34.6265777,-58.3719721,2021-03-28
"9","LA BURRERIA, Ciudad de Buenos Aires","lunes",14,1.5,-34.6265777,-58.3719721,2021-03-28
"10","LA BURRERIA, Ciudad de Buenos Aires","lunes",15,2.25,-34.6265777,-58.3719721,2021-03-28
"11","LA BURRERIA, Ciudad de Buenos Aires","lunes",16,3,-34.6265777,-58.3719721,2021-03-28
"12","LA BURRERIA, Ciudad de Buenos Aires","lunes",17,3.75,-34.6265777,-58.3719721,2021-03-28
"13","LA BURRERIA, Ciudad de Buenos Aires","lunes",18,3.75,-34.6265777,-58.3719721,2021-03-28
"14","LA BURRERIA, Ciudad de Buenos Aires","lunes",19,3,-34.6265777,-58.3719721,2021-03-28
"15","LA BURRERIA, Ciudad de Buenos Aires","lunes",20,6,-34.6265777,-58.3719721,2021-03-28
"16","LA BURRERIA, Ciudad de Buenos Aires","lunes",21,15.75,-34.6265777,-58.3719721,2021-03-28
"17","LA BURRERIA, Ciudad de Buenos Aires","lunes",22,20.25,-34.6265777,-58.3719721,2021-03-28
"18","LA BURRERIA, Ciudad de Buenos Aires","lunes",23,11.25,-34.6265777,-58.3719721,2021-03-28
"19","LA BURRERIA, Ciudad de Buenos Aires","martes",0,2.25,-34.6265777,-58.3719721,2021-03-28
"20","LA BURRERIA, Ciudad de Buenos Aires","martes",6,0,-34.6265777,-58.3719721,2021-03-28
"21","LA BURRERIA, Ciudad de Buenos Aires","martes",7,0,-34.6265777,-58.3719721,2021-03-28
"22","LA BURRERIA, Ciudad de Buenos Aires","martes",8,0,-34.6265777,-58.3719721,2021-03-28
