"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","LA MATERINA, Ciudad de Buenos Aires","lunes",4,0.75,-34.2873816,-59.2241542,2021-03-27
"2","LA MATERINA, Ciudad de Buenos Aires","lunes",5,0.75,-34.2873816,-59.2241542,2021-03-27
"3","LA MATERINA, Ciudad de Buenos Aires","lunes",6,0.75,-34.2873816,-59.2241542,2021-03-27
"4","LA MATERINA, Ciudad de Buenos Aires","lunes",7,0.75,-34.2873816,-59.2241542,2021-03-27
"5","LA MATERINA, Ciudad de Buenos Aires","lunes",8,1.5,-34.2873816,-59.2241542,2021-03-27
"6","LA MATERINA, Ciudad de Buenos Aires","lunes",9,3,-34.2873816,-59.2241542,2021-03-27
"7","LA MATERINA, Ciudad de Buenos Aires","lunes",10,4.5,-34.2873816,-59.2241542,2021-03-27
"8","LA MATERINA, Ciudad de Buenos Aires","lunes",11,6,-34.2873816,-59.2241542,2021-03-27
"9","LA MATERINA, Ciudad de Buenos Aires","lunes",12,8.25,-34.2873816,-59.2241542,2021-03-27
"10","LA MATERINA, Ciudad de Buenos Aires","lunes",13,9.75,-34.2873816,-59.2241542,2021-03-27
"11","LA MATERINA, Ciudad de Buenos Aires","lunes",14,10.5,-34.2873816,-59.2241542,2021-03-27
"12","LA MATERINA, Ciudad de Buenos Aires","lunes",15,9,-34.2873816,-59.2241542,2021-03-27
"13","LA MATERINA, Ciudad de Buenos Aires","lunes",16,7.5,-34.2873816,-59.2241542,2021-03-27
"14","LA MATERINA, Ciudad de Buenos Aires","lunes",17,5.25,-34.2873816,-59.2241542,2021-03-27
"15","LA MATERINA, Ciudad de Buenos Aires","lunes",18,3,-34.2873816,-59.2241542,2021-03-27
"16","LA MATERINA, Ciudad de Buenos Aires","lunes",19,1.5,-34.2873816,-59.2241542,2021-03-27
"17","LA MATERINA, Ciudad de Buenos Aires","lunes",20,0,-34.2873816,-59.2241542,2021-03-27
