"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",6,0,-34.6387619,-58.5196143,2021-03-30
"2","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",7,0,-34.6387619,-58.5196143,2021-03-30
"3","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",8,0,-34.6387619,-58.5196143,2021-03-30
"4","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",9,0,-34.6387619,-58.5196143,2021-03-30
"5","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",10,24.75,-34.6387619,-58.5196143,2021-03-30
"6","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",11,35.25,-34.6387619,-58.5196143,2021-03-30
"7","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",12,45.75,-34.6387619,-58.5196143,2021-03-30
"8","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",13,57,-34.6387619,-58.5196143,2021-03-30
"9","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",14,60,-34.6387619,-58.5196143,2021-03-30
"10","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",15,60,-34.6387619,-58.5196143,2021-03-30
"11","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",16,53.25,-34.6387619,-58.5196143,2021-03-30
"12","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",17,42.75,-34.6387619,-58.5196143,2021-03-30
"13","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",18,31.5,-34.6387619,-58.5196143,2021-03-30
"14","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",19,0,-34.6387619,-58.5196143,2021-03-30
"15","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",20,0,-34.6387619,-58.5196143,2021-03-30
"16","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",21,0,-34.6387619,-58.5196143,2021-03-30
"17","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",22,0,-34.6387619,-58.5196143,2021-03-30
"18","LO DE MARIO Y JESY, Ciudad de Buenos Aires","lunes",23,0,-34.6387619,-58.5196143,2021-03-30
"19","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",6,0,-34.6387619,-58.5196143,2021-03-30
"20","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",7,0,-34.6387619,-58.5196143,2021-03-30
"21","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",8,0,-34.6387619,-58.5196143,2021-03-30
"22","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",9,0,-34.6387619,-58.5196143,2021-03-30
"23","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",10,24.75,-34.6387619,-58.5196143,2021-03-30
"24","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",11,35.25,-34.6387619,-58.5196143,2021-03-30
"25","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",12,45.75,-34.6387619,-58.5196143,2021-03-30
"26","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",13,57,-34.6387619,-58.5196143,2021-03-30
"27","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",14,60,-34.6387619,-58.5196143,2021-03-30
"28","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",15,60,-34.6387619,-58.5196143,2021-03-30
"29","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",16,53.25,-34.6387619,-58.5196143,2021-03-30
"30","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",17,42.75,-34.6387619,-58.5196143,2021-03-30
"31","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",18,31.5,-34.6387619,-58.5196143,2021-03-30
"32","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",19,0,-34.6387619,-58.5196143,2021-03-30
"33","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",20,0,-34.6387619,-58.5196143,2021-03-30
"34","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",21,0,-34.6387619,-58.5196143,2021-03-30
"35","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",22,0,-34.6387619,-58.5196143,2021-03-30
"36","LO DE MARIO Y JESY, Ciudad de Buenos Aires","martes",23,0,-34.6387619,-58.5196143,2021-03-30
"37","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",6,0,-34.6387619,-58.5196143,2021-03-30
"38","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",7,0,-34.6387619,-58.5196143,2021-03-30
"39","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",8,0,-34.6387619,-58.5196143,2021-03-30
"40","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",9,0,-34.6387619,-58.5196143,2021-03-30
"41","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",10,24.75,-34.6387619,-58.5196143,2021-03-30
"42","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",11,35.25,-34.6387619,-58.5196143,2021-03-30
"43","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",12,45.75,-34.6387619,-58.5196143,2021-03-30
"44","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",13,57,-34.6387619,-58.5196143,2021-03-30
"45","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",14,60,-34.6387619,-58.5196143,2021-03-30
"46","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",15,60,-34.6387619,-58.5196143,2021-03-30
"47","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",16,53.25,-34.6387619,-58.5196143,2021-03-30
"48","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",17,42.75,-34.6387619,-58.5196143,2021-03-30
"49","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",18,31.5,-34.6387619,-58.5196143,2021-03-30
"50","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",19,0,-34.6387619,-58.5196143,2021-03-30
"51","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",20,0,-34.6387619,-58.5196143,2021-03-30
"52","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",21,0,-34.6387619,-58.5196143,2021-03-30
"53","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",22,0,-34.6387619,-58.5196143,2021-03-30
"54","LO DE MARIO Y JESY, Ciudad de Buenos Aires","miercoles",23,0,-34.6387619,-58.5196143,2021-03-30
"55","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",6,0,-34.6387619,-58.5196143,2021-03-30
"56","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",7,0,-34.6387619,-58.5196143,2021-03-30
"57","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",8,0,-34.6387619,-58.5196143,2021-03-30
"58","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",9,0,-34.6387619,-58.5196143,2021-03-30
"59","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",10,24.75,-34.6387619,-58.5196143,2021-03-30
"60","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",11,35.25,-34.6387619,-58.5196143,2021-03-30
"61","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",12,45.75,-34.6387619,-58.5196143,2021-03-30
"62","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",13,57,-34.6387619,-58.5196143,2021-03-30
"63","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",14,60,-34.6387619,-58.5196143,2021-03-30
"64","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",15,60,-34.6387619,-58.5196143,2021-03-30
"65","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",16,53.25,-34.6387619,-58.5196143,2021-03-30
"66","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",17,42.75,-34.6387619,-58.5196143,2021-03-30
"67","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",18,31.5,-34.6387619,-58.5196143,2021-03-30
"68","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",19,0,-34.6387619,-58.5196143,2021-03-30
"69","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",20,0,-34.6387619,-58.5196143,2021-03-30
"70","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",21,0,-34.6387619,-58.5196143,2021-03-30
"71","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",22,0,-34.6387619,-58.5196143,2021-03-30
"72","LO DE MARIO Y JESY, Ciudad de Buenos Aires","jueves",23,0,-34.6387619,-58.5196143,2021-03-30
"73","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",6,0,-34.6387619,-58.5196143,2021-03-30
"74","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",7,0,-34.6387619,-58.5196143,2021-03-30
"75","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",8,0,-34.6387619,-58.5196143,2021-03-30
"76","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",9,0,-34.6387619,-58.5196143,2021-03-30
"77","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",10,28.5,-34.6387619,-58.5196143,2021-03-30
"78","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",11,45.75,-34.6387619,-58.5196143,2021-03-30
"79","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",12,53.25,-34.6387619,-58.5196143,2021-03-30
"80","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",13,45.75,-34.6387619,-58.5196143,2021-03-30
"81","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",14,39,-34.6387619,-58.5196143,2021-03-30
"82","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",15,42.75,-34.6387619,-58.5196143,2021-03-30
"83","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",16,60,-34.6387619,-58.5196143,2021-03-30
"84","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",17,67.5,-34.6387619,-58.5196143,2021-03-30
"85","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",18,53.25,-34.6387619,-58.5196143,2021-03-30
"86","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",19,0,-34.6387619,-58.5196143,2021-03-30
"87","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",20,0,-34.6387619,-58.5196143,2021-03-30
"88","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",21,0,-34.6387619,-58.5196143,2021-03-30
"89","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",22,0,-34.6387619,-58.5196143,2021-03-30
"90","LO DE MARIO Y JESY, Ciudad de Buenos Aires","viernes",23,0,-34.6387619,-58.5196143,2021-03-30
"91","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",6,0,-34.6387619,-58.5196143,2021-03-30
"92","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",7,0,-34.6387619,-58.5196143,2021-03-30
"93","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",8,0,-34.6387619,-58.5196143,2021-03-30
"94","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",9,0,-34.6387619,-58.5196143,2021-03-30
"95","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",10,24.75,-34.6387619,-58.5196143,2021-03-30
"96","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",11,35.25,-34.6387619,-58.5196143,2021-03-30
"97","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",12,45.75,-34.6387619,-58.5196143,2021-03-30
"98","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",13,57,-34.6387619,-58.5196143,2021-03-30
"99","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",14,60,-34.6387619,-58.5196143,2021-03-30
"100","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",15,60,-34.6387619,-58.5196143,2021-03-30
"101","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",16,53.25,-34.6387619,-58.5196143,2021-03-30
"102","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",17,42.75,-34.6387619,-58.5196143,2021-03-30
"103","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",18,31.5,-34.6387619,-58.5196143,2021-03-30
"104","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",19,0,-34.6387619,-58.5196143,2021-03-30
"105","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",20,0,-34.6387619,-58.5196143,2021-03-30
"106","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",21,0,-34.6387619,-58.5196143,2021-03-30
"107","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",22,0,-34.6387619,-58.5196143,2021-03-30
"108","LO DE MARIO Y JESY, Ciudad de Buenos Aires","sabado",23,0,-34.6387619,-58.5196143,2021-03-30
"109","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",6,0,-34.6387619,-58.5196143,2021-03-30
"110","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",7,0,-34.6387619,-58.5196143,2021-03-30
"111","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",8,0,-34.6387619,-58.5196143,2021-03-30
"112","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",9,0,-34.6387619,-58.5196143,2021-03-30
"113","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",10,24.75,-34.6387619,-58.5196143,2021-03-30
"114","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",11,35.25,-34.6387619,-58.5196143,2021-03-30
"115","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",12,45.75,-34.6387619,-58.5196143,2021-03-30
"116","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",13,57,-34.6387619,-58.5196143,2021-03-30
"117","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",14,60,-34.6387619,-58.5196143,2021-03-30
"118","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",15,60,-34.6387619,-58.5196143,2021-03-30
"119","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",16,53.25,-34.6387619,-58.5196143,2021-03-30
"120","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",17,42.75,-34.6387619,-58.5196143,2021-03-30
"121","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",18,31.5,-34.6387619,-58.5196143,2021-03-30
"122","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",19,0,-34.6387619,-58.5196143,2021-03-30
"123","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",20,0,-34.6387619,-58.5196143,2021-03-30
"124","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",21,0,-34.6387619,-58.5196143,2021-03-30
"125","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",22,0,-34.6387619,-58.5196143,2021-03-30
"126","LO DE MARIO Y JESY, Ciudad de Buenos Aires","domingo",23,0,-34.6387619,-58.5196143,2021-03-30
