"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Azulada, Ciudad de Buenos Aires","lunes",6,0,-34.5720343,-58.4312913,2021-03-27
"2","La Azulada, Ciudad de Buenos Aires","lunes",7,0,-34.5720343,-58.4312913,2021-03-27
"3","La Azulada, Ciudad de Buenos Aires","lunes",8,0,-34.5720343,-58.4312913,2021-03-27
"4","La Azulada, Ciudad de Buenos Aires","lunes",9,0,-34.5720343,-58.4312913,2021-03-27
"5","La Azulada, Ciudad de Buenos Aires","lunes",10,0,-34.5720343,-58.4312913,2021-03-27
"6","La Azulada, Ciudad de Buenos Aires","lunes",11,0,-34.5720343,-58.4312913,2021-03-27
"7","La Azulada, Ciudad de Buenos Aires","lunes",12,8.25,-34.5720343,-58.4312913,2021-03-27
"8","La Azulada, Ciudad de Buenos Aires","lunes",13,13.5,-34.5720343,-58.4312913,2021-03-27
"9","La Azulada, Ciudad de Buenos Aires","lunes",14,16.5,-34.5720343,-58.4312913,2021-03-27
"10","La Azulada, Ciudad de Buenos Aires","lunes",15,15,-34.5720343,-58.4312913,2021-03-27
"11","La Azulada, Ciudad de Buenos Aires","lunes",16,10.5,-34.5720343,-58.4312913,2021-03-27
"12","La Azulada, Ciudad de Buenos Aires","lunes",17,5.25,-34.5720343,-58.4312913,2021-03-27
"13","La Azulada, Ciudad de Buenos Aires","lunes",18,4.5,-34.5720343,-58.4312913,2021-03-27
"14","La Azulada, Ciudad de Buenos Aires","lunes",19,12.75,-34.5720343,-58.4312913,2021-03-27
"15","La Azulada, Ciudad de Buenos Aires","lunes",20,28.5,-34.5720343,-58.4312913,2021-03-27
"16","La Azulada, Ciudad de Buenos Aires","lunes",21,45,-34.5720343,-58.4312913,2021-03-27
"17","La Azulada, Ciudad de Buenos Aires","lunes",22,48.75,-34.5720343,-58.4312913,2021-03-27
"18","La Azulada, Ciudad de Buenos Aires","lunes",23,36.75,-34.5720343,-58.4312913,2021-03-27
"19","La Azulada, Ciudad de Buenos Aires","martes",0,18.75,-34.5720343,-58.4312913,2021-03-27
"20","La Azulada, Ciudad de Buenos Aires","martes",6,0,-34.5720343,-58.4312913,2021-03-27
"21","La Azulada, Ciudad de Buenos Aires","martes",7,0,-34.5720343,-58.4312913,2021-03-27
"22","La Azulada, Ciudad de Buenos Aires","martes",8,0,-34.5720343,-58.4312913,2021-03-27
"23","La Azulada, Ciudad de Buenos Aires","martes",9,0,-34.5720343,-58.4312913,2021-03-27
"24","La Azulada, Ciudad de Buenos Aires","martes",10,0,-34.5720343,-58.4312913,2021-03-27
