"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",6,0,-34.595512,-58.4386675,2021-03-27
"2","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",7,0,-34.595512,-58.4386675,2021-03-27
"3","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",8,0,-34.595512,-58.4386675,2021-03-27
"4","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",9,0,-34.595512,-58.4386675,2021-03-27
"5","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",10,0,-34.595512,-58.4386675,2021-03-27
"6","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",11,0,-34.595512,-58.4386675,2021-03-27
"7","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",12,0,-34.595512,-58.4386675,2021-03-27
"8","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",13,0,-34.595512,-58.4386675,2021-03-27
"9","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",14,0,-34.595512,-58.4386675,2021-03-27
"10","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",15,0,-34.595512,-58.4386675,2021-03-27
"11","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",16,0,-34.595512,-58.4386675,2021-03-27
"12","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",17,0,-34.595512,-58.4386675,2021-03-27
"13","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",18,8.25,-34.595512,-58.4386675,2021-03-27
"14","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",19,12,-34.595512,-58.4386675,2021-03-27
"15","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",20,18,-34.595512,-58.4386675,2021-03-27
"16","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",21,39,-34.595512,-58.4386675,2021-03-27
"17","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",22,44.25,-34.595512,-58.4386675,2021-03-27
"18","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","lunes",23,21,-34.595512,-58.4386675,2021-03-27
"19","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",6,0,-34.595512,-58.4386675,2021-03-27
"20","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",7,0,-34.595512,-58.4386675,2021-03-27
"21","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",8,0,-34.595512,-58.4386675,2021-03-27
"22","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",9,0,-34.595512,-58.4386675,2021-03-27
"23","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",10,0,-34.595512,-58.4386675,2021-03-27
"24","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",11,0,-34.595512,-58.4386675,2021-03-27
"25","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",12,0,-34.595512,-58.4386675,2021-03-27
"26","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",13,0,-34.595512,-58.4386675,2021-03-27
"27","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",14,0,-34.595512,-58.4386675,2021-03-27
"28","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",15,0,-34.595512,-58.4386675,2021-03-27
"29","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",16,0,-34.595512,-58.4386675,2021-03-27
"30","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",17,0,-34.595512,-58.4386675,2021-03-27
"31","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",18,4.5,-34.595512,-58.4386675,2021-03-27
"32","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",19,8.25,-34.595512,-58.4386675,2021-03-27
"33","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",20,15.75,-34.595512,-58.4386675,2021-03-27
"34","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",21,33,-34.595512,-58.4386675,2021-03-27
"35","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",22,34.5,-34.595512,-58.4386675,2021-03-27
"36","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","martes",23,16.5,-34.595512,-58.4386675,2021-03-27
"37","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","miercoles",6,0,-34.595512,-58.4386675,2021-03-27
"38","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","miercoles",7,0,-34.595512,-58.4386675,2021-03-27
"39","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","miercoles",8,0,-34.595512,-58.4386675,2021-03-27
"40","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","miercoles",9,0,-34.595512,-58.4386675,2021-03-27
"41","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","miercoles",10,0,-34.595512,-58.4386675,2021-03-27
"42","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","miercoles",11,0,-34.595512,-58.4386675,2021-03-27
"43","La Birra Bar Villa Crespo, Ciudad de Buenos Aires","miercoles",12,0,-34.595512,-58.4386675,2021-03-27
