"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Bisteca, Ciudad de Buenos Aires","lunes",6,0,-34.6206761,-58.3649647,2021-03-26
"2","La Bisteca, Ciudad de Buenos Aires","lunes",7,0,-34.6206761,-58.3649647,2021-03-26
"3","La Bisteca, Ciudad de Buenos Aires","lunes",8,0,-34.6206761,-58.3649647,2021-03-26
"4","La Bisteca, Ciudad de Buenos Aires","lunes",9,0,-34.6206761,-58.3649647,2021-03-26
"5","La Bisteca, Ciudad de Buenos Aires","lunes",10,0,-34.6206761,-58.3649647,2021-03-26
"6","La Bisteca, Ciudad de Buenos Aires","lunes",11,0,-34.6206761,-58.3649647,2021-03-26
"7","La Bisteca, Ciudad de Buenos Aires","lunes",12,9,-34.6206761,-58.3649647,2021-03-26
"8","La Bisteca, Ciudad de Buenos Aires","lunes",13,12,-34.6206761,-58.3649647,2021-03-26
"9","La Bisteca, Ciudad de Buenos Aires","lunes",14,13.5,-34.6206761,-58.3649647,2021-03-26
"10","La Bisteca, Ciudad de Buenos Aires","lunes",15,12,-34.6206761,-58.3649647,2021-03-26
"11","La Bisteca, Ciudad de Buenos Aires","lunes",16,0,-34.6206761,-58.3649647,2021-03-26
"12","La Bisteca, Ciudad de Buenos Aires","lunes",17,0,-34.6206761,-58.3649647,2021-03-26
"13","La Bisteca, Ciudad de Buenos Aires","lunes",18,0,-34.6206761,-58.3649647,2021-03-26
"14","La Bisteca, Ciudad de Buenos Aires","lunes",19,0,-34.6206761,-58.3649647,2021-03-26
"15","La Bisteca, Ciudad de Buenos Aires","lunes",20,18.75,-34.6206761,-58.3649647,2021-03-26
"16","La Bisteca, Ciudad de Buenos Aires","lunes",21,32.25,-34.6206761,-58.3649647,2021-03-26
"17","La Bisteca, Ciudad de Buenos Aires","lunes",22,39.75,-34.6206761,-58.3649647,2021-03-26
"18","La Bisteca, Ciudad de Buenos Aires","lunes",23,34.5,-34.6206761,-58.3649647,2021-03-26
"19","La Bisteca, Ciudad de Buenos Aires","martes",0,21,-34.6206761,-58.3649647,2021-03-26
"20","La Bisteca, Ciudad de Buenos Aires","martes",6,0,-34.6206761,-58.3649647,2021-03-26
"21","La Bisteca, Ciudad de Buenos Aires","martes",7,0,-34.6206761,-58.3649647,2021-03-26
"22","La Bisteca, Ciudad de Buenos Aires","martes",8,0,-34.6206761,-58.3649647,2021-03-26
"23","La Bisteca, Ciudad de Buenos Aires","martes",9,0,-34.6206761,-58.3649647,2021-03-26
"24","La Bisteca, Ciudad de Buenos Aires","martes",10,0,-34.6206761,-58.3649647,2021-03-26
"25","La Bisteca, Ciudad de Buenos Aires","martes",11,0,-34.6206761,-58.3649647,2021-03-26
"26","La Bisteca, Ciudad de Buenos Aires","martes",12,12.75,-34.6206761,-58.3649647,2021-03-26
"27","La Bisteca, Ciudad de Buenos Aires","martes",13,18,-34.6206761,-58.3649647,2021-03-26
"28","La Bisteca, Ciudad de Buenos Aires","martes",14,19.5,-34.6206761,-58.3649647,2021-03-26
"29","La Bisteca, Ciudad de Buenos Aires","martes",15,15,-34.6206761,-58.3649647,2021-03-26
"30","La Bisteca, Ciudad de Buenos Aires","martes",16,0,-34.6206761,-58.3649647,2021-03-26
"31","La Bisteca, Ciudad de Buenos Aires","martes",17,0,-34.6206761,-58.3649647,2021-03-26
"32","La Bisteca, Ciudad de Buenos Aires","martes",18,0,-34.6206761,-58.3649647,2021-03-26
"33","La Bisteca, Ciudad de Buenos Aires","martes",19,0,-34.6206761,-58.3649647,2021-03-26
"34","La Bisteca, Ciudad de Buenos Aires","martes",20,22.5,-34.6206761,-58.3649647,2021-03-26
"35","La Bisteca, Ciudad de Buenos Aires","martes",21,40.5,-34.6206761,-58.3649647,2021-03-26
"36","La Bisteca, Ciudad de Buenos Aires","martes",22,51.75,-34.6206761,-58.3649647,2021-03-26
"37","La Bisteca, Ciudad de Buenos Aires","martes",23,46.5,-34.6206761,-58.3649647,2021-03-26
"38","La Bisteca, Ciudad de Buenos Aires","miercoles",0,29.25,-34.6206761,-58.3649647,2021-03-26
"39","La Bisteca, Ciudad de Buenos Aires","miercoles",6,0,-34.6206761,-58.3649647,2021-03-26
"40","La Bisteca, Ciudad de Buenos Aires","miercoles",7,0,-34.6206761,-58.3649647,2021-03-26
"41","La Bisteca, Ciudad de Buenos Aires","miercoles",8,0,-34.6206761,-58.3649647,2021-03-26
"42","La Bisteca, Ciudad de Buenos Aires","miercoles",9,0,-34.6206761,-58.3649647,2021-03-26
"43","La Bisteca, Ciudad de Buenos Aires","miercoles",10,0,-34.6206761,-58.3649647,2021-03-26
"44","La Bisteca, Ciudad de Buenos Aires","miercoles",11,0,-34.6206761,-58.3649647,2021-03-26
"45","La Bisteca, Ciudad de Buenos Aires","miercoles",12,9.75,-34.6206761,-58.3649647,2021-03-26
"46","La Bisteca, Ciudad de Buenos Aires","miercoles",13,10.5,-34.6206761,-58.3649647,2021-03-26
"47","La Bisteca, Ciudad de Buenos Aires","miercoles",14,10.5,-34.6206761,-58.3649647,2021-03-26
"48","La Bisteca, Ciudad de Buenos Aires","miercoles",15,9.75,-34.6206761,-58.3649647,2021-03-26
"49","La Bisteca, Ciudad de Buenos Aires","miercoles",16,0,-34.6206761,-58.3649647,2021-03-26
"50","La Bisteca, Ciudad de Buenos Aires","miercoles",17,0,-34.6206761,-58.3649647,2021-03-26
"51","La Bisteca, Ciudad de Buenos Aires","miercoles",18,0,-34.6206761,-58.3649647,2021-03-26
"52","La Bisteca, Ciudad de Buenos Aires","miercoles",19,0,-34.6206761,-58.3649647,2021-03-26
"53","La Bisteca, Ciudad de Buenos Aires","miercoles",20,24.75,-34.6206761,-58.3649647,2021-03-26
"54","La Bisteca, Ciudad de Buenos Aires","miercoles",21,42.75,-34.6206761,-58.3649647,2021-03-26
"55","La Bisteca, Ciudad de Buenos Aires","miercoles",22,52.5,-34.6206761,-58.3649647,2021-03-26
"56","La Bisteca, Ciudad de Buenos Aires","miercoles",23,48.75,-34.6206761,-58.3649647,2021-03-26
"57","La Bisteca, Ciudad de Buenos Aires","jueves",0,31.5,-34.6206761,-58.3649647,2021-03-26
"58","La Bisteca, Ciudad de Buenos Aires","jueves",6,0,-34.6206761,-58.3649647,2021-03-26
"59","La Bisteca, Ciudad de Buenos Aires","jueves",7,0,-34.6206761,-58.3649647,2021-03-26
"60","La Bisteca, Ciudad de Buenos Aires","jueves",8,0,-34.6206761,-58.3649647,2021-03-26
"61","La Bisteca, Ciudad de Buenos Aires","jueves",9,0,-34.6206761,-58.3649647,2021-03-26
"62","La Bisteca, Ciudad de Buenos Aires","jueves",10,0,-34.6206761,-58.3649647,2021-03-26
"63","La Bisteca, Ciudad de Buenos Aires","jueves",11,0,-34.6206761,-58.3649647,2021-03-26
"64","La Bisteca, Ciudad de Buenos Aires","jueves",12,10.5,-34.6206761,-58.3649647,2021-03-26
"65","La Bisteca, Ciudad de Buenos Aires","jueves",13,13.5,-34.6206761,-58.3649647,2021-03-26
"66","La Bisteca, Ciudad de Buenos Aires","jueves",14,13.5,-34.6206761,-58.3649647,2021-03-26
"67","La Bisteca, Ciudad de Buenos Aires","jueves",15,11.25,-34.6206761,-58.3649647,2021-03-26
"68","La Bisteca, Ciudad de Buenos Aires","jueves",16,0,-34.6206761,-58.3649647,2021-03-26
"69","La Bisteca, Ciudad de Buenos Aires","jueves",17,0,-34.6206761,-58.3649647,2021-03-26
"70","La Bisteca, Ciudad de Buenos Aires","jueves",18,0,-34.6206761,-58.3649647,2021-03-26
"71","La Bisteca, Ciudad de Buenos Aires","jueves",19,0,-34.6206761,-58.3649647,2021-03-26
"72","La Bisteca, Ciudad de Buenos Aires","jueves",20,21,-34.6206761,-58.3649647,2021-03-26
"73","La Bisteca, Ciudad de Buenos Aires","jueves",21,36,-34.6206761,-58.3649647,2021-03-26
"74","La Bisteca, Ciudad de Buenos Aires","jueves",22,41.25,-34.6206761,-58.3649647,2021-03-26
"75","La Bisteca, Ciudad de Buenos Aires","jueves",23,32.25,-34.6206761,-58.3649647,2021-03-26
"76","La Bisteca, Ciudad de Buenos Aires","viernes",0,17.25,-34.6206761,-58.3649647,2021-03-26
"77","La Bisteca, Ciudad de Buenos Aires","viernes",6,0,-34.6206761,-58.3649647,2021-03-26
"78","La Bisteca, Ciudad de Buenos Aires","viernes",7,0,-34.6206761,-58.3649647,2021-03-26
"79","La Bisteca, Ciudad de Buenos Aires","viernes",8,0,-34.6206761,-58.3649647,2021-03-26
"80","La Bisteca, Ciudad de Buenos Aires","viernes",9,0,-34.6206761,-58.3649647,2021-03-26
"81","La Bisteca, Ciudad de Buenos Aires","viernes",10,0,-34.6206761,-58.3649647,2021-03-26
"82","La Bisteca, Ciudad de Buenos Aires","viernes",11,0,-34.6206761,-58.3649647,2021-03-26
"83","La Bisteca, Ciudad de Buenos Aires","viernes",12,12.75,-34.6206761,-58.3649647,2021-03-26
"84","La Bisteca, Ciudad de Buenos Aires","viernes",13,18,-34.6206761,-58.3649647,2021-03-26
"85","La Bisteca, Ciudad de Buenos Aires","viernes",14,19.5,-34.6206761,-58.3649647,2021-03-26
"86","La Bisteca, Ciudad de Buenos Aires","viernes",15,15,-34.6206761,-58.3649647,2021-03-26
"87","La Bisteca, Ciudad de Buenos Aires","viernes",16,0,-34.6206761,-58.3649647,2021-03-26
"88","La Bisteca, Ciudad de Buenos Aires","viernes",17,0,-34.6206761,-58.3649647,2021-03-26
"89","La Bisteca, Ciudad de Buenos Aires","viernes",18,0,-34.6206761,-58.3649647,2021-03-26
"90","La Bisteca, Ciudad de Buenos Aires","viernes",19,0,-34.6206761,-58.3649647,2021-03-26
"91","La Bisteca, Ciudad de Buenos Aires","viernes",20,22.5,-34.6206761,-58.3649647,2021-03-26
"92","La Bisteca, Ciudad de Buenos Aires","viernes",21,40.5,-34.6206761,-58.3649647,2021-03-26
"93","La Bisteca, Ciudad de Buenos Aires","viernes",22,51.75,-34.6206761,-58.3649647,2021-03-26
"94","La Bisteca, Ciudad de Buenos Aires","viernes",23,46.5,-34.6206761,-58.3649647,2021-03-26
"95","La Bisteca, Ciudad de Buenos Aires","sabado",0,29.25,-34.6206761,-58.3649647,2021-03-26
"96","La Bisteca, Ciudad de Buenos Aires","sabado",6,0,-34.6206761,-58.3649647,2021-03-26
"97","La Bisteca, Ciudad de Buenos Aires","sabado",7,0,-34.6206761,-58.3649647,2021-03-26
"98","La Bisteca, Ciudad de Buenos Aires","sabado",8,0,-34.6206761,-58.3649647,2021-03-26
"99","La Bisteca, Ciudad de Buenos Aires","sabado",9,0,-34.6206761,-58.3649647,2021-03-26
"100","La Bisteca, Ciudad de Buenos Aires","sabado",10,0,-34.6206761,-58.3649647,2021-03-26
"101","La Bisteca, Ciudad de Buenos Aires","sabado",11,0,-34.6206761,-58.3649647,2021-03-26
"102","La Bisteca, Ciudad de Buenos Aires","sabado",12,11.25,-34.6206761,-58.3649647,2021-03-26
"103","La Bisteca, Ciudad de Buenos Aires","sabado",13,15.75,-34.6206761,-58.3649647,2021-03-26
"104","La Bisteca, Ciudad de Buenos Aires","sabado",14,18,-34.6206761,-58.3649647,2021-03-26
"105","La Bisteca, Ciudad de Buenos Aires","sabado",15,15.75,-34.6206761,-58.3649647,2021-03-26
"106","La Bisteca, Ciudad de Buenos Aires","sabado",16,0,-34.6206761,-58.3649647,2021-03-26
"107","La Bisteca, Ciudad de Buenos Aires","sabado",17,0,-34.6206761,-58.3649647,2021-03-26
"108","La Bisteca, Ciudad de Buenos Aires","sabado",18,0,-34.6206761,-58.3649647,2021-03-26
"109","La Bisteca, Ciudad de Buenos Aires","sabado",19,0,-34.6206761,-58.3649647,2021-03-26
"110","La Bisteca, Ciudad de Buenos Aires","sabado",20,30,-34.6206761,-58.3649647,2021-03-26
"111","La Bisteca, Ciudad de Buenos Aires","sabado",21,56.25,-34.6206761,-58.3649647,2021-03-26
"112","La Bisteca, Ciudad de Buenos Aires","sabado",22,75,-34.6206761,-58.3649647,2021-03-26
"113","La Bisteca, Ciudad de Buenos Aires","sabado",23,69,-34.6206761,-58.3649647,2021-03-26
"114","La Bisteca, Ciudad de Buenos Aires","domingo",0,44.25,-34.6206761,-58.3649647,2021-03-26
"115","La Bisteca, Ciudad de Buenos Aires","domingo",6,0,-34.6206761,-58.3649647,2021-03-26
"116","La Bisteca, Ciudad de Buenos Aires","domingo",7,0,-34.6206761,-58.3649647,2021-03-26
"117","La Bisteca, Ciudad de Buenos Aires","domingo",8,0,-34.6206761,-58.3649647,2021-03-26
"118","La Bisteca, Ciudad de Buenos Aires","domingo",9,0,-34.6206761,-58.3649647,2021-03-26
"119","La Bisteca, Ciudad de Buenos Aires","domingo",10,0,-34.6206761,-58.3649647,2021-03-26
"120","La Bisteca, Ciudad de Buenos Aires","domingo",11,0,-34.6206761,-58.3649647,2021-03-26
"121","La Bisteca, Ciudad de Buenos Aires","domingo",12,12.75,-34.6206761,-58.3649647,2021-03-26
"122","La Bisteca, Ciudad de Buenos Aires","domingo",13,18,-34.6206761,-58.3649647,2021-03-26
"123","La Bisteca, Ciudad de Buenos Aires","domingo",14,19.5,-34.6206761,-58.3649647,2021-03-26
"124","La Bisteca, Ciudad de Buenos Aires","domingo",15,15,-34.6206761,-58.3649647,2021-03-26
"125","La Bisteca, Ciudad de Buenos Aires","domingo",16,0,-34.6206761,-58.3649647,2021-03-26
"126","La Bisteca, Ciudad de Buenos Aires","domingo",17,0,-34.6206761,-58.3649647,2021-03-26
"127","La Bisteca, Ciudad de Buenos Aires","domingo",18,0,-34.6206761,-58.3649647,2021-03-26
"128","La Bisteca, Ciudad de Buenos Aires","domingo",19,0,-34.6206761,-58.3649647,2021-03-26
"129","La Bisteca, Ciudad de Buenos Aires","domingo",20,22.5,-34.6206761,-58.3649647,2021-03-26
"130","La Bisteca, Ciudad de Buenos Aires","domingo",21,40.5,-34.6206761,-58.3649647,2021-03-26
"131","La Bisteca, Ciudad de Buenos Aires","domingo",22,51.75,-34.6206761,-58.3649647,2021-03-26
"132","La Bisteca, Ciudad de Buenos Aires","domingo",23,46.5,-34.6206761,-58.3649647,2021-03-26
"133","La Bisteca, Ciudad de Buenos Aires","lunes",0,29.25,-34.6206761,-58.3649647,2021-03-26
