"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Braseria, Ciudad de Buenos Aires","lunes",6,0,-34.550682,-58.4565469,2021-03-26
"2","La Braseria, Ciudad de Buenos Aires","lunes",7,0,-34.550682,-58.4565469,2021-03-26
"3","La Braseria, Ciudad de Buenos Aires","lunes",8,0,-34.550682,-58.4565469,2021-03-26
"4","La Braseria, Ciudad de Buenos Aires","lunes",9,0,-34.550682,-58.4565469,2021-03-26
"5","La Braseria, Ciudad de Buenos Aires","lunes",10,0,-34.550682,-58.4565469,2021-03-26
"6","La Braseria, Ciudad de Buenos Aires","lunes",11,0,-34.550682,-58.4565469,2021-03-26
"7","La Braseria, Ciudad de Buenos Aires","lunes",12,23.25,-34.550682,-58.4565469,2021-03-26
"8","La Braseria, Ciudad de Buenos Aires","lunes",13,35.25,-34.550682,-58.4565469,2021-03-26
"9","La Braseria, Ciudad de Buenos Aires","lunes",14,37.5,-34.550682,-58.4565469,2021-03-26
"10","La Braseria, Ciudad de Buenos Aires","lunes",15,27.75,-34.550682,-58.4565469,2021-03-26
"11","La Braseria, Ciudad de Buenos Aires","lunes",16,0,-34.550682,-58.4565469,2021-03-26
"12","La Braseria, Ciudad de Buenos Aires","lunes",17,0,-34.550682,-58.4565469,2021-03-26
"13","La Braseria, Ciudad de Buenos Aires","lunes",18,0,-34.550682,-58.4565469,2021-03-26
"14","La Braseria, Ciudad de Buenos Aires","lunes",19,0,-34.550682,-58.4565469,2021-03-26
"15","La Braseria, Ciudad de Buenos Aires","lunes",20,27.75,-34.550682,-58.4565469,2021-03-26
"16","La Braseria, Ciudad de Buenos Aires","lunes",21,43.5,-34.550682,-58.4565469,2021-03-26
"17","La Braseria, Ciudad de Buenos Aires","lunes",22,43.5,-34.550682,-58.4565469,2021-03-26
"18","La Braseria, Ciudad de Buenos Aires","lunes",23,29.25,-34.550682,-58.4565469,2021-03-26
"19","La Braseria, Ciudad de Buenos Aires","miercoles",6,0,-34.550682,-58.4565469,2021-03-26
"20","La Braseria, Ciudad de Buenos Aires","miercoles",7,0,-34.550682,-58.4565469,2021-03-26
"21","La Braseria, Ciudad de Buenos Aires","miercoles",8,0,-34.550682,-58.4565469,2021-03-26
"22","La Braseria, Ciudad de Buenos Aires","miercoles",9,0,-34.550682,-58.4565469,2021-03-26
"23","La Braseria, Ciudad de Buenos Aires","miercoles",10,0,-34.550682,-58.4565469,2021-03-26
"24","La Braseria, Ciudad de Buenos Aires","miercoles",11,0,-34.550682,-58.4565469,2021-03-26
"25","La Braseria, Ciudad de Buenos Aires","miercoles",12,15,-34.550682,-58.4565469,2021-03-26
"26","La Braseria, Ciudad de Buenos Aires","miercoles",13,18,-34.550682,-58.4565469,2021-03-26
"27","La Braseria, Ciudad de Buenos Aires","miercoles",14,18.75,-34.550682,-58.4565469,2021-03-26
"28","La Braseria, Ciudad de Buenos Aires","miercoles",15,15.75,-34.550682,-58.4565469,2021-03-26
"29","La Braseria, Ciudad de Buenos Aires","miercoles",16,0,-34.550682,-58.4565469,2021-03-26
"30","La Braseria, Ciudad de Buenos Aires","miercoles",17,0,-34.550682,-58.4565469,2021-03-26
"31","La Braseria, Ciudad de Buenos Aires","miercoles",18,0,-34.550682,-58.4565469,2021-03-26
