"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Calle Bar, Ciudad de Buenos Aires","lunes",6,0,-34.5913467,-58.4331665,2021-03-27
"2","La Calle Bar, Ciudad de Buenos Aires","lunes",7,0,-34.5913467,-58.4331665,2021-03-27
"3","La Calle Bar, Ciudad de Buenos Aires","lunes",8,0,-34.5913467,-58.4331665,2021-03-27
"4","La Calle Bar, Ciudad de Buenos Aires","lunes",9,0,-34.5913467,-58.4331665,2021-03-27
"5","La Calle Bar, Ciudad de Buenos Aires","lunes",10,0,-34.5913467,-58.4331665,2021-03-27
"6","La Calle Bar, Ciudad de Buenos Aires","lunes",11,0,-34.5913467,-58.4331665,2021-03-27
"7","La Calle Bar, Ciudad de Buenos Aires","lunes",12,0,-34.5913467,-58.4331665,2021-03-27
"8","La Calle Bar, Ciudad de Buenos Aires","lunes",13,0,-34.5913467,-58.4331665,2021-03-27
"9","La Calle Bar, Ciudad de Buenos Aires","lunes",14,0,-34.5913467,-58.4331665,2021-03-27
"10","La Calle Bar, Ciudad de Buenos Aires","lunes",15,0,-34.5913467,-58.4331665,2021-03-27
"11","La Calle Bar, Ciudad de Buenos Aires","lunes",16,0,-34.5913467,-58.4331665,2021-03-27
"12","La Calle Bar, Ciudad de Buenos Aires","lunes",17,0,-34.5913467,-58.4331665,2021-03-27
"13","La Calle Bar, Ciudad de Buenos Aires","lunes",18,5.25,-34.5913467,-58.4331665,2021-03-27
"14","La Calle Bar, Ciudad de Buenos Aires","lunes",19,6.75,-34.5913467,-58.4331665,2021-03-27
"15","La Calle Bar, Ciudad de Buenos Aires","lunes",20,11.25,-34.5913467,-58.4331665,2021-03-27
"16","La Calle Bar, Ciudad de Buenos Aires","lunes",21,16.5,-34.5913467,-58.4331665,2021-03-27
"17","La Calle Bar, Ciudad de Buenos Aires","lunes",22,21,-34.5913467,-58.4331665,2021-03-27
"18","La Calle Bar, Ciudad de Buenos Aires","lunes",23,20.25,-34.5913467,-58.4331665,2021-03-27
"19","La Calle Bar, Ciudad de Buenos Aires","martes",0,15.75,-34.5913467,-58.4331665,2021-03-27
"20","La Calle Bar, Ciudad de Buenos Aires","martes",6,0,-34.5913467,-58.4331665,2021-03-27
"21","La Calle Bar, Ciudad de Buenos Aires","martes",7,0,-34.5913467,-58.4331665,2021-03-27
"22","La Calle Bar, Ciudad de Buenos Aires","martes",8,0,-34.5913467,-58.4331665,2021-03-27
"23","La Calle Bar, Ciudad de Buenos Aires","martes",9,0,-34.5913467,-58.4331665,2021-03-27
"24","La Calle Bar, Ciudad de Buenos Aires","martes",10,0,-34.5913467,-58.4331665,2021-03-27
"25","La Calle Bar, Ciudad de Buenos Aires","martes",11,0,-34.5913467,-58.4331665,2021-03-27
"26","La Calle Bar, Ciudad de Buenos Aires","martes",12,0,-34.5913467,-58.4331665,2021-03-27
"27","La Calle Bar, Ciudad de Buenos Aires","martes",13,0,-34.5913467,-58.4331665,2021-03-27
"28","La Calle Bar, Ciudad de Buenos Aires","martes",14,0,-34.5913467,-58.4331665,2021-03-27
"29","La Calle Bar, Ciudad de Buenos Aires","martes",15,0,-34.5913467,-58.4331665,2021-03-27
"30","La Calle Bar, Ciudad de Buenos Aires","martes",16,0,-34.5913467,-58.4331665,2021-03-27
"31","La Calle Bar, Ciudad de Buenos Aires","martes",17,0,-34.5913467,-58.4331665,2021-03-27
"32","La Calle Bar, Ciudad de Buenos Aires","martes",18,6,-34.5913467,-58.4331665,2021-03-27
"33","La Calle Bar, Ciudad de Buenos Aires","martes",19,8.25,-34.5913467,-58.4331665,2021-03-27
"34","La Calle Bar, Ciudad de Buenos Aires","martes",20,11.25,-34.5913467,-58.4331665,2021-03-27
"35","La Calle Bar, Ciudad de Buenos Aires","martes",21,15,-34.5913467,-58.4331665,2021-03-27
"36","La Calle Bar, Ciudad de Buenos Aires","martes",22,16.5,-34.5913467,-58.4331665,2021-03-27
"37","La Calle Bar, Ciudad de Buenos Aires","martes",23,15.75,-34.5913467,-58.4331665,2021-03-27
"38","La Calle Bar, Ciudad de Buenos Aires","miercoles",0,13.5,-34.5913467,-58.4331665,2021-03-27
"39","La Calle Bar, Ciudad de Buenos Aires","miercoles",6,0,-34.5913467,-58.4331665,2021-03-27
"40","La Calle Bar, Ciudad de Buenos Aires","miercoles",7,0,-34.5913467,-58.4331665,2021-03-27
"41","La Calle Bar, Ciudad de Buenos Aires","miercoles",8,0,-34.5913467,-58.4331665,2021-03-27
"42","La Calle Bar, Ciudad de Buenos Aires","miercoles",9,0,-34.5913467,-58.4331665,2021-03-27
"43","La Calle Bar, Ciudad de Buenos Aires","miercoles",10,0,-34.5913467,-58.4331665,2021-03-27
