"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",6,0,-34.509721,-58.5254648,2021-03-27
"2","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",7,0,-34.509721,-58.5254648,2021-03-27
"3","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",8,0,-34.509721,-58.5254648,2021-03-27
"4","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",9,0,-34.509721,-58.5254648,2021-03-27
"5","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",10,0,-34.509721,-58.5254648,2021-03-27
"6","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",11,0,-34.509721,-58.5254648,2021-03-27
"7","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",12,1.5,-34.509721,-58.5254648,2021-03-27
"8","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",13,2.25,-34.509721,-58.5254648,2021-03-27
"9","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",14,3,-34.509721,-58.5254648,2021-03-27
"10","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",15,3.75,-34.509721,-58.5254648,2021-03-27
"11","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",16,4.5,-34.509721,-58.5254648,2021-03-27
"12","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",17,5.25,-34.509721,-58.5254648,2021-03-27
"13","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",18,5.25,-34.509721,-58.5254648,2021-03-27
"14","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",19,6,-34.509721,-58.5254648,2021-03-27
"15","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",20,9.75,-34.509721,-58.5254648,2021-03-27
"16","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",21,18.75,-34.509721,-58.5254648,2021-03-27
"17","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",22,25.5,-34.509721,-58.5254648,2021-03-27
"18","La Cantina de mi Tio, Ciudad de Buenos Aires","jueves",23,20.25,-34.509721,-58.5254648,2021-03-27
"19","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",0,9.75,-34.509721,-58.5254648,2021-03-27
"20","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",6,0,-34.509721,-58.5254648,2021-03-27
"21","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",7,0,-34.509721,-58.5254648,2021-03-27
"22","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",8,0,-34.509721,-58.5254648,2021-03-27
"23","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",9,0,-34.509721,-58.5254648,2021-03-27
"24","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",10,0,-34.509721,-58.5254648,2021-03-27
"25","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",11,0,-34.509721,-58.5254648,2021-03-27
"26","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",12,8.25,-34.509721,-58.5254648,2021-03-27
"27","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",13,10.5,-34.509721,-58.5254648,2021-03-27
"28","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",14,12,-34.509721,-58.5254648,2021-03-27
"29","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",15,11.25,-34.509721,-58.5254648,2021-03-27
"30","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",16,9.75,-34.509721,-58.5254648,2021-03-27
"31","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",17,6.75,-34.509721,-58.5254648,2021-03-27
"32","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",18,5.25,-34.509721,-58.5254648,2021-03-27
"33","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",19,6,-34.509721,-58.5254648,2021-03-27
"34","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",20,13.5,-34.509721,-58.5254648,2021-03-27
"35","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",21,27.75,-34.509721,-58.5254648,2021-03-27
"36","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",22,40.5,-34.509721,-58.5254648,2021-03-27
"37","La Cantina de mi Tio, Ciudad de Buenos Aires","viernes",23,39.75,-34.509721,-58.5254648,2021-03-27
"38","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",0,26.25,-34.509721,-58.5254648,2021-03-27
"39","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",6,0,-34.509721,-58.5254648,2021-03-27
"40","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",7,0,-34.509721,-58.5254648,2021-03-27
"41","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",8,0,-34.509721,-58.5254648,2021-03-27
"42","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",9,0,-34.509721,-58.5254648,2021-03-27
"43","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",10,0,-34.509721,-58.5254648,2021-03-27
"44","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",11,0,-34.509721,-58.5254648,2021-03-27
"45","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",12,14.25,-34.509721,-58.5254648,2021-03-27
"46","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",13,17.25,-34.509721,-58.5254648,2021-03-27
"47","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",14,18,-34.509721,-58.5254648,2021-03-27
"48","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",15,17.25,-34.509721,-58.5254648,2021-03-27
"49","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",16,13.5,-34.509721,-58.5254648,2021-03-27
"50","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",17,9.75,-34.509721,-58.5254648,2021-03-27
"51","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",18,7.5,-34.509721,-58.5254648,2021-03-27
"52","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",19,9.75,-34.509721,-58.5254648,2021-03-27
"53","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",20,23.25,-34.509721,-58.5254648,2021-03-27
"54","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",21,49.5,-34.509721,-58.5254648,2021-03-27
"55","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",22,73.5,-34.509721,-58.5254648,2021-03-27
"56","La Cantina de mi Tio, Ciudad de Buenos Aires","sabado",23,75,-34.509721,-58.5254648,2021-03-27
"57","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",0,51,-34.509721,-58.5254648,2021-03-27
"58","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",6,0,-34.509721,-58.5254648,2021-03-27
"59","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",7,0,-34.509721,-58.5254648,2021-03-27
"60","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",8,0,-34.509721,-58.5254648,2021-03-27
"61","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",9,0,-34.509721,-58.5254648,2021-03-27
"62","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",10,0,-34.509721,-58.5254648,2021-03-27
"63","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",11,0,-34.509721,-58.5254648,2021-03-27
"64","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",12,15.75,-34.509721,-58.5254648,2021-03-27
"65","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",13,31.5,-34.509721,-58.5254648,2021-03-27
"66","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",14,42.75,-34.509721,-58.5254648,2021-03-27
"67","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",15,38.25,-34.509721,-58.5254648,2021-03-27
"68","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",16,22.5,-34.509721,-58.5254648,2021-03-27
"69","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",17,9,-34.509721,-58.5254648,2021-03-27
"70","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",18,3,-34.509721,-58.5254648,2021-03-27
"71","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",19,5.25,-34.509721,-58.5254648,2021-03-27
"72","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",20,15,-34.509721,-58.5254648,2021-03-27
"73","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",21,30,-34.509721,-58.5254648,2021-03-27
"74","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",22,40.5,-34.509721,-58.5254648,2021-03-27
"75","La Cantina de mi Tio, Ciudad de Buenos Aires","domingo",23,37.5,-34.509721,-58.5254648,2021-03-27
"76","La Cantina de mi Tio, Ciudad de Buenos Aires","lunes",0,24,-34.509721,-58.5254648,2021-03-27
