"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",6,0,-34.591324,-58.4241384,2021-03-26
"2","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",7,0,-34.591324,-58.4241384,2021-03-26
"3","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",8,0,-34.591324,-58.4241384,2021-03-26
"4","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",9,0,-34.591324,-58.4241384,2021-03-26
"5","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",10,0,-34.591324,-58.4241384,2021-03-26
"6","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",11,0,-34.591324,-58.4241384,2021-03-26
"7","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",12,0,-34.591324,-58.4241384,2021-03-26
"8","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",13,26.25,-34.591324,-58.4241384,2021-03-26
"9","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",14,30,-34.591324,-58.4241384,2021-03-26
"10","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",15,29.25,-34.591324,-58.4241384,2021-03-26
"11","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",16,24,-34.591324,-58.4241384,2021-03-26
"12","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",17,17.25,-34.591324,-58.4241384,2021-03-26
"13","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",18,15.75,-34.591324,-58.4241384,2021-03-26
"14","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",19,26.25,-34.591324,-58.4241384,2021-03-26
"15","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",20,46.5,-34.591324,-58.4241384,2021-03-26
"16","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",21,51.75,-34.591324,-58.4241384,2021-03-26
"17","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",22,33,-34.591324,-58.4241384,2021-03-26
"18","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","lunes",23,0,-34.591324,-58.4241384,2021-03-26
"19","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","martes",6,0,-34.591324,-58.4241384,2021-03-26
"20","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","martes",7,0,-34.591324,-58.4241384,2021-03-26
"21","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","martes",8,0,-34.591324,-58.4241384,2021-03-26
"22","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","martes",9,0,-34.591324,-58.4241384,2021-03-26
"23","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","martes",10,0,-34.591324,-58.4241384,2021-03-26
"24","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","martes",11,0,-34.591324,-58.4241384,2021-03-26
"25","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","martes",12,0,-34.591324,-58.4241384,2021-03-26
"26","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","martes",13,18,-34.591324,-58.4241384,2021-03-26
"27","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","martes",14,26.25,-34.591324,-58.4241384,2021-03-26
"28","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","martes",15,29.25,-34.591324,-58.4241384,2021-03-26
"29","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","martes",16,27,-34.591324,-58.4241384,2021-03-26
"30","La Carbonera Empanadas Venezolanas, Ciudad de Buenos Aires","martes",17,24.75,-34.591324,-58.4241384,2021-03-26
