"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Casita China, Ciudad de Buenos Aires","lunes",6,0,-34.5668193,-58.4361889,2021-03-27
"2","La Casita China, Ciudad de Buenos Aires","lunes",7,0,-34.5668193,-58.4361889,2021-03-27
"3","La Casita China, Ciudad de Buenos Aires","lunes",8,0,-34.5668193,-58.4361889,2021-03-27
"4","La Casita China, Ciudad de Buenos Aires","lunes",9,0,-34.5668193,-58.4361889,2021-03-27
"5","La Casita China, Ciudad de Buenos Aires","lunes",10,0,-34.5668193,-58.4361889,2021-03-27
"6","La Casita China, Ciudad de Buenos Aires","lunes",11,0,-34.5668193,-58.4361889,2021-03-27
"7","La Casita China, Ciudad de Buenos Aires","lunes",12,4.5,-34.5668193,-58.4361889,2021-03-27
"8","La Casita China, Ciudad de Buenos Aires","lunes",13,7.5,-34.5668193,-58.4361889,2021-03-27
"9","La Casita China, Ciudad de Buenos Aires","lunes",14,8.25,-34.5668193,-58.4361889,2021-03-27
"10","La Casita China, Ciudad de Buenos Aires","lunes",15,8.25,-34.5668193,-58.4361889,2021-03-27
"11","La Casita China, Ciudad de Buenos Aires","lunes",16,8.25,-34.5668193,-58.4361889,2021-03-27
"12","La Casita China, Ciudad de Buenos Aires","lunes",17,10.5,-34.5668193,-58.4361889,2021-03-27
"13","La Casita China, Ciudad de Buenos Aires","lunes",18,18.75,-34.5668193,-58.4361889,2021-03-27
"14","La Casita China, Ciudad de Buenos Aires","lunes",19,29.25,-34.5668193,-58.4361889,2021-03-27
"15","La Casita China, Ciudad de Buenos Aires","lunes",20,36.75,-34.5668193,-58.4361889,2021-03-27
"16","La Casita China, Ciudad de Buenos Aires","lunes",21,34.5,-34.5668193,-58.4361889,2021-03-27
"17","La Casita China, Ciudad de Buenos Aires","lunes",22,24,-34.5668193,-58.4361889,2021-03-27
"18","La Casita China, Ciudad de Buenos Aires","lunes",23,12.75,-34.5668193,-58.4361889,2021-03-27
"19","La Casita China, Ciudad de Buenos Aires","martes",6,0,-34.5668193,-58.4361889,2021-03-27
"20","La Casita China, Ciudad de Buenos Aires","martes",7,0,-34.5668193,-58.4361889,2021-03-27
"21","La Casita China, Ciudad de Buenos Aires","martes",8,0,-34.5668193,-58.4361889,2021-03-27
"22","La Casita China, Ciudad de Buenos Aires","martes",9,0,-34.5668193,-58.4361889,2021-03-27
"23","La Casita China, Ciudad de Buenos Aires","martes",10,0,-34.5668193,-58.4361889,2021-03-27
"24","La Casita China, Ciudad de Buenos Aires","martes",11,0,-34.5668193,-58.4361889,2021-03-27
"25","La Casita China, Ciudad de Buenos Aires","martes",12,6.75,-34.5668193,-58.4361889,2021-03-27
"26","La Casita China, Ciudad de Buenos Aires","martes",13,9,-34.5668193,-58.4361889,2021-03-27
"27","La Casita China, Ciudad de Buenos Aires","martes",14,10.5,-34.5668193,-58.4361889,2021-03-27
"28","La Casita China, Ciudad de Buenos Aires","martes",15,11.25,-34.5668193,-58.4361889,2021-03-27
"29","La Casita China, Ciudad de Buenos Aires","martes",16,12.75,-34.5668193,-58.4361889,2021-03-27
"30","La Casita China, Ciudad de Buenos Aires","martes",17,14.25,-34.5668193,-58.4361889,2021-03-27
"31","La Casita China, Ciudad de Buenos Aires","martes",18,18.75,-34.5668193,-58.4361889,2021-03-27
"32","La Casita China, Ciudad de Buenos Aires","martes",19,28.5,-34.5668193,-58.4361889,2021-03-27
"33","La Casita China, Ciudad de Buenos Aires","martes",20,40.5,-34.5668193,-58.4361889,2021-03-27
"34","La Casita China, Ciudad de Buenos Aires","martes",21,47.25,-34.5668193,-58.4361889,2021-03-27
"35","La Casita China, Ciudad de Buenos Aires","martes",22,39,-34.5668193,-58.4361889,2021-03-27
"36","La Casita China, Ciudad de Buenos Aires","martes",23,23.25,-34.5668193,-58.4361889,2021-03-27
"37","La Casita China, Ciudad de Buenos Aires","miercoles",6,0,-34.5668193,-58.4361889,2021-03-27
"38","La Casita China, Ciudad de Buenos Aires","miercoles",7,0,-34.5668193,-58.4361889,2021-03-27
"39","La Casita China, Ciudad de Buenos Aires","miercoles",8,0,-34.5668193,-58.4361889,2021-03-27
"40","La Casita China, Ciudad de Buenos Aires","miercoles",9,0,-34.5668193,-58.4361889,2021-03-27
"41","La Casita China, Ciudad de Buenos Aires","miercoles",10,0,-34.5668193,-58.4361889,2021-03-27
"42","La Casita China, Ciudad de Buenos Aires","miercoles",11,0,-34.5668193,-58.4361889,2021-03-27
"43","La Casita China, Ciudad de Buenos Aires","miercoles",12,19.5,-34.5668193,-58.4361889,2021-03-27
"44","La Casita China, Ciudad de Buenos Aires","miercoles",13,22.5,-34.5668193,-58.4361889,2021-03-27
"45","La Casita China, Ciudad de Buenos Aires","miercoles",14,23.25,-34.5668193,-58.4361889,2021-03-27
"46","La Casita China, Ciudad de Buenos Aires","miercoles",15,22.5,-34.5668193,-58.4361889,2021-03-27
"47","La Casita China, Ciudad de Buenos Aires","miercoles",16,20.25,-34.5668193,-58.4361889,2021-03-27
"48","La Casita China, Ciudad de Buenos Aires","miercoles",17,19.5,-34.5668193,-58.4361889,2021-03-27
"49","La Casita China, Ciudad de Buenos Aires","miercoles",18,25.5,-34.5668193,-58.4361889,2021-03-27
"50","La Casita China, Ciudad de Buenos Aires","miercoles",19,37.5,-34.5668193,-58.4361889,2021-03-27
"51","La Casita China, Ciudad de Buenos Aires","miercoles",20,47.25,-34.5668193,-58.4361889,2021-03-27
"52","La Casita China, Ciudad de Buenos Aires","miercoles",21,42,-34.5668193,-58.4361889,2021-03-27
"53","La Casita China, Ciudad de Buenos Aires","miercoles",22,27,-34.5668193,-58.4361889,2021-03-27
"54","La Casita China, Ciudad de Buenos Aires","miercoles",23,12,-34.5668193,-58.4361889,2021-03-27
"55","La Casita China, Ciudad de Buenos Aires","jueves",6,0,-34.5668193,-58.4361889,2021-03-27
"56","La Casita China, Ciudad de Buenos Aires","jueves",7,0,-34.5668193,-58.4361889,2021-03-27
"57","La Casita China, Ciudad de Buenos Aires","jueves",8,0,-34.5668193,-58.4361889,2021-03-27
"58","La Casita China, Ciudad de Buenos Aires","jueves",9,0,-34.5668193,-58.4361889,2021-03-27
"59","La Casita China, Ciudad de Buenos Aires","jueves",10,0,-34.5668193,-58.4361889,2021-03-27
"60","La Casita China, Ciudad de Buenos Aires","jueves",11,0,-34.5668193,-58.4361889,2021-03-27
"61","La Casita China, Ciudad de Buenos Aires","jueves",12,21,-34.5668193,-58.4361889,2021-03-27
"62","La Casita China, Ciudad de Buenos Aires","jueves",13,23.25,-34.5668193,-58.4361889,2021-03-27
"63","La Casita China, Ciudad de Buenos Aires","jueves",14,21.75,-34.5668193,-58.4361889,2021-03-27
"64","La Casita China, Ciudad de Buenos Aires","jueves",15,17.25,-34.5668193,-58.4361889,2021-03-27
"65","La Casita China, Ciudad de Buenos Aires","jueves",16,12.75,-34.5668193,-58.4361889,2021-03-27
"66","La Casita China, Ciudad de Buenos Aires","jueves",17,11.25,-34.5668193,-58.4361889,2021-03-27
"67","La Casita China, Ciudad de Buenos Aires","jueves",18,13.5,-34.5668193,-58.4361889,2021-03-27
"68","La Casita China, Ciudad de Buenos Aires","jueves",19,19.5,-34.5668193,-58.4361889,2021-03-27
"69","La Casita China, Ciudad de Buenos Aires","jueves",20,32.25,-34.5668193,-58.4361889,2021-03-27
"70","La Casita China, Ciudad de Buenos Aires","jueves",21,42.75,-34.5668193,-58.4361889,2021-03-27
"71","La Casita China, Ciudad de Buenos Aires","jueves",22,35.25,-34.5668193,-58.4361889,2021-03-27
"72","La Casita China, Ciudad de Buenos Aires","jueves",23,15,-34.5668193,-58.4361889,2021-03-27
"73","La Casita China, Ciudad de Buenos Aires","viernes",6,0,-34.5668193,-58.4361889,2021-03-27
"74","La Casita China, Ciudad de Buenos Aires","viernes",7,0,-34.5668193,-58.4361889,2021-03-27
"75","La Casita China, Ciudad de Buenos Aires","viernes",8,0,-34.5668193,-58.4361889,2021-03-27
"76","La Casita China, Ciudad de Buenos Aires","viernes",9,0,-34.5668193,-58.4361889,2021-03-27
"77","La Casita China, Ciudad de Buenos Aires","viernes",10,0,-34.5668193,-58.4361889,2021-03-27
"78","La Casita China, Ciudad de Buenos Aires","viernes",11,0,-34.5668193,-58.4361889,2021-03-27
"79","La Casita China, Ciudad de Buenos Aires","viernes",12,16.5,-34.5668193,-58.4361889,2021-03-27
"80","La Casita China, Ciudad de Buenos Aires","viernes",13,19.5,-34.5668193,-58.4361889,2021-03-27
"81","La Casita China, Ciudad de Buenos Aires","viernes",14,18,-34.5668193,-58.4361889,2021-03-27
"82","La Casita China, Ciudad de Buenos Aires","viernes",15,13.5,-34.5668193,-58.4361889,2021-03-27
"83","La Casita China, Ciudad de Buenos Aires","viernes",16,9.75,-34.5668193,-58.4361889,2021-03-27
"84","La Casita China, Ciudad de Buenos Aires","viernes",17,9,-34.5668193,-58.4361889,2021-03-27
"85","La Casita China, Ciudad de Buenos Aires","viernes",18,20.25,-34.5668193,-58.4361889,2021-03-27
"86","La Casita China, Ciudad de Buenos Aires","viernes",19,44.25,-34.5668193,-58.4361889,2021-03-27
"87","La Casita China, Ciudad de Buenos Aires","viernes",20,61.5,-34.5668193,-58.4361889,2021-03-27
"88","La Casita China, Ciudad de Buenos Aires","viernes",21,51,-34.5668193,-58.4361889,2021-03-27
"89","La Casita China, Ciudad de Buenos Aires","viernes",22,24.75,-34.5668193,-58.4361889,2021-03-27
"90","La Casita China, Ciudad de Buenos Aires","viernes",23,8.25,-34.5668193,-58.4361889,2021-03-27
"91","La Casita China, Ciudad de Buenos Aires","sabado",6,0,-34.5668193,-58.4361889,2021-03-27
"92","La Casita China, Ciudad de Buenos Aires","sabado",7,0,-34.5668193,-58.4361889,2021-03-27
"93","La Casita China, Ciudad de Buenos Aires","sabado",8,0,-34.5668193,-58.4361889,2021-03-27
"94","La Casita China, Ciudad de Buenos Aires","sabado",9,0,-34.5668193,-58.4361889,2021-03-27
"95","La Casita China, Ciudad de Buenos Aires","sabado",10,0,-34.5668193,-58.4361889,2021-03-27
"96","La Casita China, Ciudad de Buenos Aires","sabado",11,0,-34.5668193,-58.4361889,2021-03-27
"97","La Casita China, Ciudad de Buenos Aires","sabado",12,27,-34.5668193,-58.4361889,2021-03-27
"98","La Casita China, Ciudad de Buenos Aires","sabado",13,32.25,-34.5668193,-58.4361889,2021-03-27
"99","La Casita China, Ciudad de Buenos Aires","sabado",14,27,-34.5668193,-58.4361889,2021-03-27
"100","La Casita China, Ciudad de Buenos Aires","sabado",15,15.75,-34.5668193,-58.4361889,2021-03-27
"101","La Casita China, Ciudad de Buenos Aires","sabado",16,6.75,-34.5668193,-58.4361889,2021-03-27
