"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Casona de Flores, Ciudad de Buenos Aires","lunes",6,0,-34.621651,-58.457619,2021-03-29
"2","La Casona de Flores, Ciudad de Buenos Aires","lunes",7,0,-34.621651,-58.457619,2021-03-29
"3","La Casona de Flores, Ciudad de Buenos Aires","lunes",8,0,-34.621651,-58.457619,2021-03-29
"4","La Casona de Flores, Ciudad de Buenos Aires","lunes",9,1.5,-34.621651,-58.457619,2021-03-29
"5","La Casona de Flores, Ciudad de Buenos Aires","lunes",10,3.75,-34.621651,-58.457619,2021-03-29
"6","La Casona de Flores, Ciudad de Buenos Aires","lunes",11,6,-34.621651,-58.457619,2021-03-29
"7","La Casona de Flores, Ciudad de Buenos Aires","lunes",12,8.25,-34.621651,-58.457619,2021-03-29
"8","La Casona de Flores, Ciudad de Buenos Aires","lunes",13,10.5,-34.621651,-58.457619,2021-03-29
"9","La Casona de Flores, Ciudad de Buenos Aires","lunes",14,11.25,-34.621651,-58.457619,2021-03-29
"10","La Casona de Flores, Ciudad de Buenos Aires","lunes",15,11.25,-34.621651,-58.457619,2021-03-29
"11","La Casona de Flores, Ciudad de Buenos Aires","lunes",16,11.25,-34.621651,-58.457619,2021-03-29
"12","La Casona de Flores, Ciudad de Buenos Aires","lunes",17,9.75,-34.621651,-58.457619,2021-03-29
"13","La Casona de Flores, Ciudad de Buenos Aires","lunes",18,10.5,-34.621651,-58.457619,2021-03-29
"14","La Casona de Flores, Ciudad de Buenos Aires","lunes",19,14.25,-34.621651,-58.457619,2021-03-29
"15","La Casona de Flores, Ciudad de Buenos Aires","lunes",20,20.25,-34.621651,-58.457619,2021-03-29
"16","La Casona de Flores, Ciudad de Buenos Aires","lunes",21,24.75,-34.621651,-58.457619,2021-03-29
"17","La Casona de Flores, Ciudad de Buenos Aires","lunes",22,22.5,-34.621651,-58.457619,2021-03-29
"18","La Casona de Flores, Ciudad de Buenos Aires","lunes",23,14.25,-34.621651,-58.457619,2021-03-29
"19","La Casona de Flores, Ciudad de Buenos Aires","martes",6,0,-34.621651,-58.457619,2021-03-29
"20","La Casona de Flores, Ciudad de Buenos Aires","martes",7,0,-34.621651,-58.457619,2021-03-29
"21","La Casona de Flores, Ciudad de Buenos Aires","martes",8,1.5,-34.621651,-58.457619,2021-03-29
