"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Ferneteria, Ciudad de Buenos Aires","martes",6,0,-34.5904974,-58.4327212,2021-03-27
"2","La Ferneteria, Ciudad de Buenos Aires","martes",7,0,-34.5904974,-58.4327212,2021-03-27
"3","La Ferneteria, Ciudad de Buenos Aires","martes",8,0,-34.5904974,-58.4327212,2021-03-27
"4","La Ferneteria, Ciudad de Buenos Aires","martes",9,0,-34.5904974,-58.4327212,2021-03-27
"5","La Ferneteria, Ciudad de Buenos Aires","martes",10,0,-34.5904974,-58.4327212,2021-03-27
"6","La Ferneteria, Ciudad de Buenos Aires","martes",11,0,-34.5904974,-58.4327212,2021-03-27
"7","La Ferneteria, Ciudad de Buenos Aires","martes",12,0,-34.5904974,-58.4327212,2021-03-27
"8","La Ferneteria, Ciudad de Buenos Aires","martes",13,0,-34.5904974,-58.4327212,2021-03-27
"9","La Ferneteria, Ciudad de Buenos Aires","martes",14,0,-34.5904974,-58.4327212,2021-03-27
"10","La Ferneteria, Ciudad de Buenos Aires","martes",15,0,-34.5904974,-58.4327212,2021-03-27
"11","La Ferneteria, Ciudad de Buenos Aires","martes",16,0,-34.5904974,-58.4327212,2021-03-27
"12","La Ferneteria, Ciudad de Buenos Aires","martes",17,0,-34.5904974,-58.4327212,2021-03-27
"13","La Ferneteria, Ciudad de Buenos Aires","martes",18,8.25,-34.5904974,-58.4327212,2021-03-27
"14","La Ferneteria, Ciudad de Buenos Aires","martes",19,12,-34.5904974,-58.4327212,2021-03-27
"15","La Ferneteria, Ciudad de Buenos Aires","martes",20,16.5,-34.5904974,-58.4327212,2021-03-27
"16","La Ferneteria, Ciudad de Buenos Aires","martes",21,21.75,-34.5904974,-58.4327212,2021-03-27
"17","La Ferneteria, Ciudad de Buenos Aires","martes",22,25.5,-34.5904974,-58.4327212,2021-03-27
"18","La Ferneteria, Ciudad de Buenos Aires","martes",23,24.75,-34.5904974,-58.4327212,2021-03-27
"19","La Ferneteria, Ciudad de Buenos Aires","miercoles",0,18,-34.5904974,-58.4327212,2021-03-27
"20","La Ferneteria, Ciudad de Buenos Aires","miercoles",6,0,-34.5904974,-58.4327212,2021-03-27
"21","La Ferneteria, Ciudad de Buenos Aires","miercoles",7,0,-34.5904974,-58.4327212,2021-03-27
"22","La Ferneteria, Ciudad de Buenos Aires","miercoles",8,0,-34.5904974,-58.4327212,2021-03-27
"23","La Ferneteria, Ciudad de Buenos Aires","miercoles",9,0,-34.5904974,-58.4327212,2021-03-27
"24","La Ferneteria, Ciudad de Buenos Aires","miercoles",10,0,-34.5904974,-58.4327212,2021-03-27
"25","La Ferneteria, Ciudad de Buenos Aires","miercoles",11,0,-34.5904974,-58.4327212,2021-03-27
"26","La Ferneteria, Ciudad de Buenos Aires","miercoles",12,0,-34.5904974,-58.4327212,2021-03-27
"27","La Ferneteria, Ciudad de Buenos Aires","miercoles",13,0,-34.5904974,-58.4327212,2021-03-27
"28","La Ferneteria, Ciudad de Buenos Aires","miercoles",14,0,-34.5904974,-58.4327212,2021-03-27
"29","La Ferneteria, Ciudad de Buenos Aires","miercoles",15,0,-34.5904974,-58.4327212,2021-03-27
"30","La Ferneteria, Ciudad de Buenos Aires","miercoles",16,0,-34.5904974,-58.4327212,2021-03-27
"31","La Ferneteria, Ciudad de Buenos Aires","miercoles",17,0,-34.5904974,-58.4327212,2021-03-27
"32","La Ferneteria, Ciudad de Buenos Aires","miercoles",18,9.75,-34.5904974,-58.4327212,2021-03-27
"33","La Ferneteria, Ciudad de Buenos Aires","miercoles",19,14.25,-34.5904974,-58.4327212,2021-03-27
