"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Justina Bistro, Ciudad de Buenos Aires","lunes",5,0,-34.6075209,-58.4245406,2021-03-28
"2","La Justina Bistro, Ciudad de Buenos Aires","lunes",6,7.5,-34.6075209,-58.4245406,2021-03-28
"3","La Justina Bistro, Ciudad de Buenos Aires","lunes",7,17.25,-34.6075209,-58.4245406,2021-03-28
"4","La Justina Bistro, Ciudad de Buenos Aires","lunes",8,28.5,-34.6075209,-58.4245406,2021-03-28
"5","La Justina Bistro, Ciudad de Buenos Aires","lunes",9,34.5,-34.6075209,-58.4245406,2021-03-28
"6","La Justina Bistro, Ciudad de Buenos Aires","lunes",10,33.75,-34.6075209,-58.4245406,2021-03-28
"7","La Justina Bistro, Ciudad de Buenos Aires","lunes",11,33.75,-34.6075209,-58.4245406,2021-03-28
"8","La Justina Bistro, Ciudad de Buenos Aires","lunes",12,42.75,-34.6075209,-58.4245406,2021-03-28
"9","La Justina Bistro, Ciudad de Buenos Aires","lunes",13,53.25,-34.6075209,-58.4245406,2021-03-28
"10","La Justina Bistro, Ciudad de Buenos Aires","lunes",14,54,-34.6075209,-58.4245406,2021-03-28
"11","La Justina Bistro, Ciudad de Buenos Aires","lunes",15,44.25,-34.6075209,-58.4245406,2021-03-28
"12","La Justina Bistro, Ciudad de Buenos Aires","lunes",16,30,-34.6075209,-58.4245406,2021-03-28
"13","La Justina Bistro, Ciudad de Buenos Aires","lunes",17,20.25,-34.6075209,-58.4245406,2021-03-28
"14","La Justina Bistro, Ciudad de Buenos Aires","lunes",18,13.5,-34.6075209,-58.4245406,2021-03-28
"15","La Justina Bistro, Ciudad de Buenos Aires","lunes",19,0,-34.6075209,-58.4245406,2021-03-28
"16","La Justina Bistro, Ciudad de Buenos Aires","lunes",20,0,-34.6075209,-58.4245406,2021-03-28
"17","La Justina Bistro, Ciudad de Buenos Aires","lunes",21,0,-34.6075209,-58.4245406,2021-03-28
"18","La Justina Bistro, Ciudad de Buenos Aires","lunes",22,0,-34.6075209,-58.4245406,2021-03-28
"19","La Justina Bistro, Ciudad de Buenos Aires","martes",5,0,-34.6075209,-58.4245406,2021-03-28
"20","La Justina Bistro, Ciudad de Buenos Aires","martes",6,4.5,-34.6075209,-58.4245406,2021-03-28
"21","La Justina Bistro, Ciudad de Buenos Aires","martes",7,12,-34.6075209,-58.4245406,2021-03-28
"22","La Justina Bistro, Ciudad de Buenos Aires","martes",8,24,-34.6075209,-58.4245406,2021-03-28
"23","La Justina Bistro, Ciudad de Buenos Aires","martes",9,37.5,-34.6075209,-58.4245406,2021-03-28
"24","La Justina Bistro, Ciudad de Buenos Aires","martes",10,45.75,-34.6075209,-58.4245406,2021-03-28
"25","La Justina Bistro, Ciudad de Buenos Aires","martes",11,49.5,-34.6075209,-58.4245406,2021-03-28
"26","La Justina Bistro, Ciudad de Buenos Aires","martes",12,49.5,-34.6075209,-58.4245406,2021-03-28
"27","La Justina Bistro, Ciudad de Buenos Aires","martes",13,45.75,-34.6075209,-58.4245406,2021-03-28
"28","La Justina Bistro, Ciudad de Buenos Aires","martes",14,39,-34.6075209,-58.4245406,2021-03-28
"29","La Justina Bistro, Ciudad de Buenos Aires","martes",15,31.5,-34.6075209,-58.4245406,2021-03-28
"30","La Justina Bistro, Ciudad de Buenos Aires","martes",16,23.25,-34.6075209,-58.4245406,2021-03-28
"31","La Justina Bistro, Ciudad de Buenos Aires","martes",17,15.75,-34.6075209,-58.4245406,2021-03-28
"32","La Justina Bistro, Ciudad de Buenos Aires","martes",18,9.75,-34.6075209,-58.4245406,2021-03-28
"33","La Justina Bistro, Ciudad de Buenos Aires","martes",19,0,-34.6075209,-58.4245406,2021-03-28
"34","La Justina Bistro, Ciudad de Buenos Aires","martes",20,0,-34.6075209,-58.4245406,2021-03-28
"35","La Justina Bistro, Ciudad de Buenos Aires","martes",21,0,-34.6075209,-58.4245406,2021-03-28
"36","La Justina Bistro, Ciudad de Buenos Aires","martes",22,0,-34.6075209,-58.4245406,2021-03-28
"37","La Justina Bistro, Ciudad de Buenos Aires","miercoles",5,0,-34.6075209,-58.4245406,2021-03-28
"38","La Justina Bistro, Ciudad de Buenos Aires","miercoles",6,9,-34.6075209,-58.4245406,2021-03-28
"39","La Justina Bistro, Ciudad de Buenos Aires","miercoles",7,20.25,-34.6075209,-58.4245406,2021-03-28
"40","La Justina Bistro, Ciudad de Buenos Aires","miercoles",8,34.5,-34.6075209,-58.4245406,2021-03-28
"41","La Justina Bistro, Ciudad de Buenos Aires","miercoles",9,45.75,-34.6075209,-58.4245406,2021-03-28
"42","La Justina Bistro, Ciudad de Buenos Aires","miercoles",10,52.5,-34.6075209,-58.4245406,2021-03-28
"43","La Justina Bistro, Ciudad de Buenos Aires","miercoles",11,56.25,-34.6075209,-58.4245406,2021-03-28
"44","La Justina Bistro, Ciudad de Buenos Aires","miercoles",12,62.25,-34.6075209,-58.4245406,2021-03-28
"45","La Justina Bistro, Ciudad de Buenos Aires","miercoles",13,64.5,-34.6075209,-58.4245406,2021-03-28
"46","La Justina Bistro, Ciudad de Buenos Aires","miercoles",14,59.25,-34.6075209,-58.4245406,2021-03-28
"47","La Justina Bistro, Ciudad de Buenos Aires","miercoles",15,45.75,-34.6075209,-58.4245406,2021-03-28
"48","La Justina Bistro, Ciudad de Buenos Aires","miercoles",16,30,-34.6075209,-58.4245406,2021-03-28
"49","La Justina Bistro, Ciudad de Buenos Aires","miercoles",17,18,-34.6075209,-58.4245406,2021-03-28
"50","La Justina Bistro, Ciudad de Buenos Aires","miercoles",18,10.5,-34.6075209,-58.4245406,2021-03-28
"51","La Justina Bistro, Ciudad de Buenos Aires","miercoles",19,0,-34.6075209,-58.4245406,2021-03-28
"52","La Justina Bistro, Ciudad de Buenos Aires","miercoles",20,0,-34.6075209,-58.4245406,2021-03-28
"53","La Justina Bistro, Ciudad de Buenos Aires","miercoles",21,0,-34.6075209,-58.4245406,2021-03-28
