"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Locanda, Ciudad de Buenos Aires","martes",6,0,-34.58365,-58.399762,2021-03-26
"2","La Locanda, Ciudad de Buenos Aires","martes",7,0,-34.58365,-58.399762,2021-03-26
"3","La Locanda, Ciudad de Buenos Aires","martes",8,0,-34.58365,-58.399762,2021-03-26
"4","La Locanda, Ciudad de Buenos Aires","martes",9,0,-34.58365,-58.399762,2021-03-26
"5","La Locanda, Ciudad de Buenos Aires","martes",10,0,-34.58365,-58.399762,2021-03-26
"6","La Locanda, Ciudad de Buenos Aires","martes",11,0,-34.58365,-58.399762,2021-03-26
"7","La Locanda, Ciudad de Buenos Aires","martes",12,2.25,-34.58365,-58.399762,2021-03-26
"8","La Locanda, Ciudad de Buenos Aires","martes",13,3.75,-34.58365,-58.399762,2021-03-26
"9","La Locanda, Ciudad de Buenos Aires","martes",14,3.75,-34.58365,-58.399762,2021-03-26
"10","La Locanda, Ciudad de Buenos Aires","martes",15,2.25,-34.58365,-58.399762,2021-03-26
"11","La Locanda, Ciudad de Buenos Aires","martes",16,0,-34.58365,-58.399762,2021-03-26
"12","La Locanda, Ciudad de Buenos Aires","martes",17,0,-34.58365,-58.399762,2021-03-26
"13","La Locanda, Ciudad de Buenos Aires","martes",18,3.75,-34.58365,-58.399762,2021-03-26
"14","La Locanda, Ciudad de Buenos Aires","martes",19,15,-34.58365,-58.399762,2021-03-26
"15","La Locanda, Ciudad de Buenos Aires","martes",20,29.25,-34.58365,-58.399762,2021-03-26
"16","La Locanda, Ciudad de Buenos Aires","martes",21,36.75,-34.58365,-58.399762,2021-03-26
"17","La Locanda, Ciudad de Buenos Aires","martes",22,30,-34.58365,-58.399762,2021-03-26
"18","La Locanda, Ciudad de Buenos Aires","martes",23,0,-34.58365,-58.399762,2021-03-26
"19","La Locanda, Ciudad de Buenos Aires","miercoles",6,0,-34.58365,-58.399762,2021-03-26
"20","La Locanda, Ciudad de Buenos Aires","miercoles",7,0,-34.58365,-58.399762,2021-03-26
"21","La Locanda, Ciudad de Buenos Aires","miercoles",8,0,-34.58365,-58.399762,2021-03-26
"22","La Locanda, Ciudad de Buenos Aires","miercoles",9,0,-34.58365,-58.399762,2021-03-26
"23","La Locanda, Ciudad de Buenos Aires","miercoles",10,0,-34.58365,-58.399762,2021-03-26
"24","La Locanda, Ciudad de Buenos Aires","miercoles",11,0,-34.58365,-58.399762,2021-03-26
"25","La Locanda, Ciudad de Buenos Aires","miercoles",12,6,-34.58365,-58.399762,2021-03-26
"26","La Locanda, Ciudad de Buenos Aires","miercoles",13,9.75,-34.58365,-58.399762,2021-03-26
"27","La Locanda, Ciudad de Buenos Aires","miercoles",14,10.5,-34.58365,-58.399762,2021-03-26
"28","La Locanda, Ciudad de Buenos Aires","miercoles",15,7.5,-34.58365,-58.399762,2021-03-26
"29","La Locanda, Ciudad de Buenos Aires","miercoles",16,3.75,-34.58365,-58.399762,2021-03-26
"30","La Locanda, Ciudad de Buenos Aires","miercoles",17,4.5,-34.58365,-58.399762,2021-03-26
"31","La Locanda, Ciudad de Buenos Aires","miercoles",18,10.5,-34.58365,-58.399762,2021-03-26
"32","La Locanda, Ciudad de Buenos Aires","miercoles",19,21.75,-34.58365,-58.399762,2021-03-26
"33","La Locanda, Ciudad de Buenos Aires","miercoles",20,33,-34.58365,-58.399762,2021-03-26
"34","La Locanda, Ciudad de Buenos Aires","miercoles",21,38.25,-34.58365,-58.399762,2021-03-26
"35","La Locanda, Ciudad de Buenos Aires","miercoles",22,34.5,-34.58365,-58.399762,2021-03-26
"36","La Locanda, Ciudad de Buenos Aires","miercoles",23,0,-34.58365,-58.399762,2021-03-26
"37","La Locanda, Ciudad de Buenos Aires","jueves",6,0,-34.58365,-58.399762,2021-03-26
"38","La Locanda, Ciudad de Buenos Aires","jueves",7,0,-34.58365,-58.399762,2021-03-26
"39","La Locanda, Ciudad de Buenos Aires","jueves",8,0,-34.58365,-58.399762,2021-03-26
"40","La Locanda, Ciudad de Buenos Aires","jueves",9,0,-34.58365,-58.399762,2021-03-26
"41","La Locanda, Ciudad de Buenos Aires","jueves",10,0,-34.58365,-58.399762,2021-03-26
"42","La Locanda, Ciudad de Buenos Aires","jueves",11,0,-34.58365,-58.399762,2021-03-26
"43","La Locanda, Ciudad de Buenos Aires","jueves",12,0.75,-34.58365,-58.399762,2021-03-26
"44","La Locanda, Ciudad de Buenos Aires","jueves",13,2.25,-34.58365,-58.399762,2021-03-26
"45","La Locanda, Ciudad de Buenos Aires","jueves",14,3,-34.58365,-58.399762,2021-03-26
"46","La Locanda, Ciudad de Buenos Aires","jueves",15,4.5,-34.58365,-58.399762,2021-03-26
"47","La Locanda, Ciudad de Buenos Aires","jueves",16,5.25,-34.58365,-58.399762,2021-03-26
"48","La Locanda, Ciudad de Buenos Aires","jueves",17,7.5,-34.58365,-58.399762,2021-03-26
"49","La Locanda, Ciudad de Buenos Aires","jueves",18,11.25,-34.58365,-58.399762,2021-03-26
"50","La Locanda, Ciudad de Buenos Aires","jueves",19,19.5,-34.58365,-58.399762,2021-03-26
"51","La Locanda, Ciudad de Buenos Aires","jueves",20,33.75,-34.58365,-58.399762,2021-03-26
"52","La Locanda, Ciudad de Buenos Aires","jueves",21,46.5,-34.58365,-58.399762,2021-03-26
"53","La Locanda, Ciudad de Buenos Aires","jueves",22,48.75,-34.58365,-58.399762,2021-03-26
"54","La Locanda, Ciudad de Buenos Aires","jueves",23,0,-34.58365,-58.399762,2021-03-26
"55","La Locanda, Ciudad de Buenos Aires","viernes",6,0,-34.58365,-58.399762,2021-03-26
"56","La Locanda, Ciudad de Buenos Aires","viernes",7,0,-34.58365,-58.399762,2021-03-26
