"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",6,0,-34.6022547,-58.4427592,2021-03-28
"2","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",7,0,-34.6022547,-58.4427592,2021-03-28
"3","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",8,20.25,-34.6022547,-58.4427592,2021-03-28
"4","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",9,30,-34.6022547,-58.4427592,2021-03-28
"5","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",10,37.5,-34.6022547,-58.4427592,2021-03-28
"6","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",11,42,-34.6022547,-58.4427592,2021-03-28
"7","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",12,43.5,-34.6022547,-58.4427592,2021-03-28
"8","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",13,44.25,-34.6022547,-58.4427592,2021-03-28
"9","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",14,45.75,-34.6022547,-58.4427592,2021-03-28
"10","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",15,50.25,-34.6022547,-58.4427592,2021-03-28
"11","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",16,55.5,-34.6022547,-58.4427592,2021-03-28
"12","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",17,60,-34.6022547,-58.4427592,2021-03-28
"13","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",18,60.75,-34.6022547,-58.4427592,2021-03-28
"14","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",19,57.75,-34.6022547,-58.4427592,2021-03-28
"15","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",20,51,-34.6022547,-58.4427592,2021-03-28
"16","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",21,42,-34.6022547,-58.4427592,2021-03-28
"17","La Luna Petit Restaurant, Ciudad de Buenos Aires","lunes",22,32.25,-34.6022547,-58.4427592,2021-03-28
