"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",6,0,-34.5895442,-58.4464197,2021-03-28
"2","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",7,8.25,-34.5895442,-58.4464197,2021-03-28
"3","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",8,11.25,-34.5895442,-58.4464197,2021-03-28
"4","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",9,13.5,-34.5895442,-58.4464197,2021-03-28
"5","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",10,16.5,-34.5895442,-58.4464197,2021-03-28
"6","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",11,24.75,-34.5895442,-58.4464197,2021-03-28
"7","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",12,46.5,-34.5895442,-58.4464197,2021-03-28
"8","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",13,57.75,-34.5895442,-58.4464197,2021-03-28
"9","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",14,36.75,-34.5895442,-58.4464197,2021-03-28
"10","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",15,17.25,-34.5895442,-58.4464197,2021-03-28
"11","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",16,15.75,-34.5895442,-58.4464197,2021-03-28
"12","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",17,21,-34.5895442,-58.4464197,2021-03-28
"13","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",18,22.5,-34.5895442,-58.4464197,2021-03-28
"14","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",19,17.25,-34.5895442,-58.4464197,2021-03-28
"15","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",20,9,-34.5895442,-58.4464197,2021-03-28
"16","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",21,0,-34.5895442,-58.4464197,2021-03-28
"17","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",22,0,-34.5895442,-58.4464197,2021-03-28
"18","La Nueva Dorrego, Ciudad de Buenos Aires","lunes",23,0,-34.5895442,-58.4464197,2021-03-28
"19","La Nueva Dorrego, Ciudad de Buenos Aires","martes",6,0,-34.5895442,-58.4464197,2021-03-28
"20","La Nueva Dorrego, Ciudad de Buenos Aires","martes",7,14.25,-34.5895442,-58.4464197,2021-03-28
"21","La Nueva Dorrego, Ciudad de Buenos Aires","martes",8,20.25,-34.5895442,-58.4464197,2021-03-28
"22","La Nueva Dorrego, Ciudad de Buenos Aires","martes",9,21.75,-34.5895442,-58.4464197,2021-03-28
"23","La Nueva Dorrego, Ciudad de Buenos Aires","martes",10,18,-34.5895442,-58.4464197,2021-03-28
"24","La Nueva Dorrego, Ciudad de Buenos Aires","martes",11,18,-34.5895442,-58.4464197,2021-03-28
"25","La Nueva Dorrego, Ciudad de Buenos Aires","martes",12,42.75,-34.5895442,-58.4464197,2021-03-28
"26","La Nueva Dorrego, Ciudad de Buenos Aires","martes",13,56.25,-34.5895442,-58.4464197,2021-03-28
"27","La Nueva Dorrego, Ciudad de Buenos Aires","martes",14,26.25,-34.5895442,-58.4464197,2021-03-28
"28","La Nueva Dorrego, Ciudad de Buenos Aires","martes",15,17.25,-34.5895442,-58.4464197,2021-03-28
"29","La Nueva Dorrego, Ciudad de Buenos Aires","martes",16,22.5,-34.5895442,-58.4464197,2021-03-28
"30","La Nueva Dorrego, Ciudad de Buenos Aires","martes",17,25.5,-34.5895442,-58.4464197,2021-03-28
"31","La Nueva Dorrego, Ciudad de Buenos Aires","martes",18,23.25,-34.5895442,-58.4464197,2021-03-28
"32","La Nueva Dorrego, Ciudad de Buenos Aires","martes",19,17.25,-34.5895442,-58.4464197,2021-03-28
"33","La Nueva Dorrego, Ciudad de Buenos Aires","martes",20,10.5,-34.5895442,-58.4464197,2021-03-28
"34","La Nueva Dorrego, Ciudad de Buenos Aires","martes",21,0,-34.5895442,-58.4464197,2021-03-28
"35","La Nueva Dorrego, Ciudad de Buenos Aires","martes",22,0,-34.5895442,-58.4464197,2021-03-28
"36","La Nueva Dorrego, Ciudad de Buenos Aires","martes",23,0,-34.5895442,-58.4464197,2021-03-28
"37","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",6,0,-34.5895442,-58.4464197,2021-03-28
"38","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",7,15.75,-34.5895442,-58.4464197,2021-03-28
"39","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",8,22.5,-34.5895442,-58.4464197,2021-03-28
"40","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",9,22.5,-34.5895442,-58.4464197,2021-03-28
"41","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",10,17.25,-34.5895442,-58.4464197,2021-03-28
"42","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",11,20.25,-34.5895442,-58.4464197,2021-03-28
"43","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",12,42,-34.5895442,-58.4464197,2021-03-28
"44","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",13,55.5,-34.5895442,-58.4464197,2021-03-28
"45","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",14,38.25,-34.5895442,-58.4464197,2021-03-28
"46","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",15,21.75,-34.5895442,-58.4464197,2021-03-28
"47","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",16,18.75,-34.5895442,-58.4464197,2021-03-28
"48","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",17,20.25,-34.5895442,-58.4464197,2021-03-28
"49","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",18,18.75,-34.5895442,-58.4464197,2021-03-28
"50","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",19,15.75,-34.5895442,-58.4464197,2021-03-28
"51","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",20,10.5,-34.5895442,-58.4464197,2021-03-28
"52","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",21,0,-34.5895442,-58.4464197,2021-03-28
"53","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",22,0,-34.5895442,-58.4464197,2021-03-28
"54","La Nueva Dorrego, Ciudad de Buenos Aires","miercoles",23,0,-34.5895442,-58.4464197,2021-03-28
"55","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",6,0,-34.5895442,-58.4464197,2021-03-28
"56","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",7,12.75,-34.5895442,-58.4464197,2021-03-28
"57","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",8,19.5,-34.5895442,-58.4464197,2021-03-28
"58","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",9,21,-34.5895442,-58.4464197,2021-03-28
"59","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",10,20.25,-34.5895442,-58.4464197,2021-03-28
"60","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",11,30.75,-34.5895442,-58.4464197,2021-03-28
"61","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",12,54.75,-34.5895442,-58.4464197,2021-03-28
"62","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",13,65.25,-34.5895442,-58.4464197,2021-03-28
"63","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",14,46.5,-34.5895442,-58.4464197,2021-03-28
"64","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",15,24,-34.5895442,-58.4464197,2021-03-28
"65","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",16,18,-34.5895442,-58.4464197,2021-03-28
"66","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",17,21,-34.5895442,-58.4464197,2021-03-28
"67","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",18,21,-34.5895442,-58.4464197,2021-03-28
"68","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",19,15,-34.5895442,-58.4464197,2021-03-28
"69","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",20,7.5,-34.5895442,-58.4464197,2021-03-28
"70","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",21,0,-34.5895442,-58.4464197,2021-03-28
"71","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",22,0,-34.5895442,-58.4464197,2021-03-28
"72","La Nueva Dorrego, Ciudad de Buenos Aires","jueves",23,0,-34.5895442,-58.4464197,2021-03-28
"73","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",6,0,-34.5895442,-58.4464197,2021-03-28
"74","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",7,13.5,-34.5895442,-58.4464197,2021-03-28
"75","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",8,22.5,-34.5895442,-58.4464197,2021-03-28
"76","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",9,27,-34.5895442,-58.4464197,2021-03-28
"77","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",10,22.5,-34.5895442,-58.4464197,2021-03-28
"78","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",11,15.75,-34.5895442,-58.4464197,2021-03-28
"79","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",12,36,-34.5895442,-58.4464197,2021-03-28
"80","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",13,75,-34.5895442,-58.4464197,2021-03-28
"81","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",14,36,-34.5895442,-58.4464197,2021-03-28
"82","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",15,18.75,-34.5895442,-58.4464197,2021-03-28
"83","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",16,24,-34.5895442,-58.4464197,2021-03-28
"84","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",17,27,-34.5895442,-58.4464197,2021-03-28
"85","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",18,24.75,-34.5895442,-58.4464197,2021-03-28
"86","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",19,18,-34.5895442,-58.4464197,2021-03-28
"87","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",20,10.5,-34.5895442,-58.4464197,2021-03-28
"88","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",21,0,-34.5895442,-58.4464197,2021-03-28
"89","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",22,0,-34.5895442,-58.4464197,2021-03-28
"90","La Nueva Dorrego, Ciudad de Buenos Aires","viernes",23,0,-34.5895442,-58.4464197,2021-03-28
"91","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",6,0,-34.5895442,-58.4464197,2021-03-28
"92","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",7,12.75,-34.5895442,-58.4464197,2021-03-28
"93","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",8,16.5,-34.5895442,-58.4464197,2021-03-28
"94","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",9,20.25,-34.5895442,-58.4464197,2021-03-28
"95","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",10,23.25,-34.5895442,-58.4464197,2021-03-28
"96","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",11,29.25,-34.5895442,-58.4464197,2021-03-28
"97","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",12,41.25,-34.5895442,-58.4464197,2021-03-28
"98","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",13,45.75,-34.5895442,-58.4464197,2021-03-28
"99","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",14,33.75,-34.5895442,-58.4464197,2021-03-28
"100","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",15,20.25,-34.5895442,-58.4464197,2021-03-28
"101","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",16,18,-34.5895442,-58.4464197,2021-03-28
"102","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",17,21,-34.5895442,-58.4464197,2021-03-28
"103","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",18,21.75,-34.5895442,-58.4464197,2021-03-28
"104","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",19,18,-34.5895442,-58.4464197,2021-03-28
"105","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",20,12,-34.5895442,-58.4464197,2021-03-28
"106","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",21,0,-34.5895442,-58.4464197,2021-03-28
"107","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",22,0,-34.5895442,-58.4464197,2021-03-28
"108","La Nueva Dorrego, Ciudad de Buenos Aires","sabado",23,0,-34.5895442,-58.4464197,2021-03-28
"109","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",6,0,-34.5895442,-58.4464197,2021-03-28
"110","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",7,6,-34.5895442,-58.4464197,2021-03-28
"111","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",8,12.75,-34.5895442,-58.4464197,2021-03-28
"112","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",9,19.5,-34.5895442,-58.4464197,2021-03-28
"113","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",10,24.75,-34.5895442,-58.4464197,2021-03-28
"114","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",11,29.25,-34.5895442,-58.4464197,2021-03-28
"115","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",12,33,-34.5895442,-58.4464197,2021-03-28
"116","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",13,30.75,-34.5895442,-58.4464197,2021-03-28
"117","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",14,24,-34.5895442,-58.4464197,2021-03-28
"118","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",15,18.75,-34.5895442,-58.4464197,2021-03-28
"119","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",16,17.25,-34.5895442,-58.4464197,2021-03-28
"120","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",17,18,-34.5895442,-58.4464197,2021-03-28
"121","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",18,15,-34.5895442,-58.4464197,2021-03-28
"122","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",19,10.5,-34.5895442,-58.4464197,2021-03-28
"123","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",20,5.25,-34.5895442,-58.4464197,2021-03-28
"124","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",21,0,-34.5895442,-58.4464197,2021-03-28
"125","La Nueva Dorrego, Ciudad de Buenos Aires","domingo",22,0,-34.5895442,-58.4464197,2021-03-28
