"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Panotecca, Ciudad de Buenos Aires","lunes",6,0,-34.5657536,-58.4634684,2021-03-29
"2","La Panotecca, Ciudad de Buenos Aires","lunes",7,0,-34.5657536,-58.4634684,2021-03-29
"3","La Panotecca, Ciudad de Buenos Aires","lunes",8,6,-34.5657536,-58.4634684,2021-03-29
"4","La Panotecca, Ciudad de Buenos Aires","lunes",9,9.75,-34.5657536,-58.4634684,2021-03-29
"5","La Panotecca, Ciudad de Buenos Aires","lunes",10,15,-34.5657536,-58.4634684,2021-03-29
"6","La Panotecca, Ciudad de Buenos Aires","lunes",11,19.5,-34.5657536,-58.4634684,2021-03-29
"7","La Panotecca, Ciudad de Buenos Aires","lunes",12,23.25,-34.5657536,-58.4634684,2021-03-29
"8","La Panotecca, Ciudad de Buenos Aires","lunes",13,25.5,-34.5657536,-58.4634684,2021-03-29
"9","La Panotecca, Ciudad de Buenos Aires","lunes",14,24,-34.5657536,-58.4634684,2021-03-29
"10","La Panotecca, Ciudad de Buenos Aires","lunes",15,22.5,-34.5657536,-58.4634684,2021-03-29
"11","La Panotecca, Ciudad de Buenos Aires","lunes",16,21,-34.5657536,-58.4634684,2021-03-29
"12","La Panotecca, Ciudad de Buenos Aires","lunes",17,22.5,-34.5657536,-58.4634684,2021-03-29
"13","La Panotecca, Ciudad de Buenos Aires","lunes",18,28.5,-34.5657536,-58.4634684,2021-03-29
"14","La Panotecca, Ciudad de Buenos Aires","lunes",19,35.25,-34.5657536,-58.4634684,2021-03-29
"15","La Panotecca, Ciudad de Buenos Aires","lunes",20,38.25,-34.5657536,-58.4634684,2021-03-29
"16","La Panotecca, Ciudad de Buenos Aires","lunes",21,33,-34.5657536,-58.4634684,2021-03-29
"17","La Panotecca, Ciudad de Buenos Aires","lunes",22,24,-34.5657536,-58.4634684,2021-03-29
"18","La Panotecca, Ciudad de Buenos Aires","lunes",23,12.75,-34.5657536,-58.4634684,2021-03-29
"19","La Panotecca, Ciudad de Buenos Aires","martes",6,0,-34.5657536,-58.4634684,2021-03-29
"20","La Panotecca, Ciudad de Buenos Aires","martes",7,0,-34.5657536,-58.4634684,2021-03-29
"21","La Panotecca, Ciudad de Buenos Aires","martes",8,16.5,-34.5657536,-58.4634684,2021-03-29
