"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Parraca, Ciudad de Buenos Aires","lunes",6,0,-34.5568723,-58.4682852,2021-03-27
"2","La Parraca, Ciudad de Buenos Aires","lunes",7,0,-34.5568723,-58.4682852,2021-03-27
"3","La Parraca, Ciudad de Buenos Aires","lunes",8,0,-34.5568723,-58.4682852,2021-03-27
"4","La Parraca, Ciudad de Buenos Aires","lunes",9,0,-34.5568723,-58.4682852,2021-03-27
"5","La Parraca, Ciudad de Buenos Aires","lunes",10,0,-34.5568723,-58.4682852,2021-03-27
"6","La Parraca, Ciudad de Buenos Aires","lunes",11,0,-34.5568723,-58.4682852,2021-03-27
"7","La Parraca, Ciudad de Buenos Aires","lunes",12,17.25,-34.5568723,-58.4682852,2021-03-27
"8","La Parraca, Ciudad de Buenos Aires","lunes",13,24,-34.5568723,-58.4682852,2021-03-27
"9","La Parraca, Ciudad de Buenos Aires","lunes",14,27.75,-34.5568723,-58.4682852,2021-03-27
"10","La Parraca, Ciudad de Buenos Aires","lunes",15,27,-34.5568723,-58.4682852,2021-03-27
"11","La Parraca, Ciudad de Buenos Aires","lunes",16,21.75,-34.5568723,-58.4682852,2021-03-27
"12","La Parraca, Ciudad de Buenos Aires","lunes",17,16.5,-34.5568723,-58.4682852,2021-03-27
"13","La Parraca, Ciudad de Buenos Aires","lunes",18,15,-34.5568723,-58.4682852,2021-03-27
"14","La Parraca, Ciudad de Buenos Aires","lunes",19,23.25,-34.5568723,-58.4682852,2021-03-27
"15","La Parraca, Ciudad de Buenos Aires","lunes",20,38.25,-34.5568723,-58.4682852,2021-03-27
"16","La Parraca, Ciudad de Buenos Aires","lunes",21,48,-34.5568723,-58.4682852,2021-03-27
"17","La Parraca, Ciudad de Buenos Aires","lunes",22,42.75,-34.5568723,-58.4682852,2021-03-27
"18","La Parraca, Ciudad de Buenos Aires","lunes",23,26.25,-34.5568723,-58.4682852,2021-03-27
"19","La Parraca, Ciudad de Buenos Aires","martes",6,0,-34.5568723,-58.4682852,2021-03-27
"20","La Parraca, Ciudad de Buenos Aires","martes",7,0,-34.5568723,-58.4682852,2021-03-27
"21","La Parraca, Ciudad de Buenos Aires","martes",8,0,-34.5568723,-58.4682852,2021-03-27
"22","La Parraca, Ciudad de Buenos Aires","martes",9,0,-34.5568723,-58.4682852,2021-03-27
"23","La Parraca, Ciudad de Buenos Aires","martes",10,0,-34.5568723,-58.4682852,2021-03-27
"24","La Parraca, Ciudad de Buenos Aires","martes",11,0,-34.5568723,-58.4682852,2021-03-27
"25","La Parraca, Ciudad de Buenos Aires","martes",12,18,-34.5568723,-58.4682852,2021-03-27
"26","La Parraca, Ciudad de Buenos Aires","martes",13,29.25,-34.5568723,-58.4682852,2021-03-27
"27","La Parraca, Ciudad de Buenos Aires","martes",14,30.75,-34.5568723,-58.4682852,2021-03-27
"28","La Parraca, Ciudad de Buenos Aires","martes",15,24,-34.5568723,-58.4682852,2021-03-27
"29","La Parraca, Ciudad de Buenos Aires","martes",16,16.5,-34.5568723,-58.4682852,2021-03-27
"30","La Parraca, Ciudad de Buenos Aires","martes",17,13.5,-34.5568723,-58.4682852,2021-03-27
"31","La Parraca, Ciudad de Buenos Aires","martes",18,12.75,-34.5568723,-58.4682852,2021-03-27
"32","La Parraca, Ciudad de Buenos Aires","martes",19,15.75,-34.5568723,-58.4682852,2021-03-27
"33","La Parraca, Ciudad de Buenos Aires","martes",20,27.75,-34.5568723,-58.4682852,2021-03-27
"34","La Parraca, Ciudad de Buenos Aires","martes",21,43.5,-34.5568723,-58.4682852,2021-03-27
"35","La Parraca, Ciudad de Buenos Aires","martes",22,44.25,-34.5568723,-58.4682852,2021-03-27
"36","La Parraca, Ciudad de Buenos Aires","martes",23,25.5,-34.5568723,-58.4682852,2021-03-27
"37","La Parraca, Ciudad de Buenos Aires","miercoles",6,0,-34.5568723,-58.4682852,2021-03-27
"38","La Parraca, Ciudad de Buenos Aires","miercoles",7,0,-34.5568723,-58.4682852,2021-03-27
"39","La Parraca, Ciudad de Buenos Aires","miercoles",8,0,-34.5568723,-58.4682852,2021-03-27
"40","La Parraca, Ciudad de Buenos Aires","miercoles",9,0,-34.5568723,-58.4682852,2021-03-27
"41","La Parraca, Ciudad de Buenos Aires","miercoles",10,0,-34.5568723,-58.4682852,2021-03-27
"42","La Parraca, Ciudad de Buenos Aires","miercoles",11,0,-34.5568723,-58.4682852,2021-03-27
"43","La Parraca, Ciudad de Buenos Aires","miercoles",12,12.75,-34.5568723,-58.4682852,2021-03-27
"44","La Parraca, Ciudad de Buenos Aires","miercoles",13,18.75,-34.5568723,-58.4682852,2021-03-27
"45","La Parraca, Ciudad de Buenos Aires","miercoles",14,23.25,-34.5568723,-58.4682852,2021-03-27
"46","La Parraca, Ciudad de Buenos Aires","miercoles",15,24,-34.5568723,-58.4682852,2021-03-27
"47","La Parraca, Ciudad de Buenos Aires","miercoles",16,21.75,-34.5568723,-58.4682852,2021-03-27
"48","La Parraca, Ciudad de Buenos Aires","miercoles",17,18.75,-34.5568723,-58.4682852,2021-03-27
"49","La Parraca, Ciudad de Buenos Aires","miercoles",18,18.75,-34.5568723,-58.4682852,2021-03-27
"50","La Parraca, Ciudad de Buenos Aires","miercoles",19,27.75,-34.5568723,-58.4682852,2021-03-27
"51","La Parraca, Ciudad de Buenos Aires","miercoles",20,44.25,-34.5568723,-58.4682852,2021-03-27
"52","La Parraca, Ciudad de Buenos Aires","miercoles",21,57,-34.5568723,-58.4682852,2021-03-27
"53","La Parraca, Ciudad de Buenos Aires","miercoles",22,52.5,-34.5568723,-58.4682852,2021-03-27
"54","La Parraca, Ciudad de Buenos Aires","miercoles",23,33.75,-34.5568723,-58.4682852,2021-03-27
"55","La Parraca, Ciudad de Buenos Aires","jueves",6,0,-34.5568723,-58.4682852,2021-03-27
"56","La Parraca, Ciudad de Buenos Aires","jueves",7,0,-34.5568723,-58.4682852,2021-03-27
"57","La Parraca, Ciudad de Buenos Aires","jueves",8,0,-34.5568723,-58.4682852,2021-03-27
"58","La Parraca, Ciudad de Buenos Aires","jueves",9,0,-34.5568723,-58.4682852,2021-03-27
"59","La Parraca, Ciudad de Buenos Aires","jueves",10,0,-34.5568723,-58.4682852,2021-03-27
"60","La Parraca, Ciudad de Buenos Aires","jueves",11,0,-34.5568723,-58.4682852,2021-03-27
"61","La Parraca, Ciudad de Buenos Aires","jueves",12,19.5,-34.5568723,-58.4682852,2021-03-27
"62","La Parraca, Ciudad de Buenos Aires","jueves",13,24.75,-34.5568723,-58.4682852,2021-03-27
"63","La Parraca, Ciudad de Buenos Aires","jueves",14,27.75,-34.5568723,-58.4682852,2021-03-27
"64","La Parraca, Ciudad de Buenos Aires","jueves",15,27.75,-34.5568723,-58.4682852,2021-03-27
"65","La Parraca, Ciudad de Buenos Aires","jueves",16,25.5,-34.5568723,-58.4682852,2021-03-27
"66","La Parraca, Ciudad de Buenos Aires","jueves",17,21,-34.5568723,-58.4682852,2021-03-27
"67","La Parraca, Ciudad de Buenos Aires","jueves",18,18,-34.5568723,-58.4682852,2021-03-27
"68","La Parraca, Ciudad de Buenos Aires","jueves",19,21.75,-34.5568723,-58.4682852,2021-03-27
"69","La Parraca, Ciudad de Buenos Aires","jueves",20,36,-34.5568723,-58.4682852,2021-03-27
"70","La Parraca, Ciudad de Buenos Aires","jueves",21,52.5,-34.5568723,-58.4682852,2021-03-27
"71","La Parraca, Ciudad de Buenos Aires","jueves",22,54.75,-34.5568723,-58.4682852,2021-03-27
"72","La Parraca, Ciudad de Buenos Aires","jueves",23,37.5,-34.5568723,-58.4682852,2021-03-27
"73","La Parraca, Ciudad de Buenos Aires","viernes",6,0,-34.5568723,-58.4682852,2021-03-27
"74","La Parraca, Ciudad de Buenos Aires","viernes",7,0,-34.5568723,-58.4682852,2021-03-27
"75","La Parraca, Ciudad de Buenos Aires","viernes",8,0,-34.5568723,-58.4682852,2021-03-27
"76","La Parraca, Ciudad de Buenos Aires","viernes",9,0,-34.5568723,-58.4682852,2021-03-27
"77","La Parraca, Ciudad de Buenos Aires","viernes",10,0,-34.5568723,-58.4682852,2021-03-27
"78","La Parraca, Ciudad de Buenos Aires","viernes",11,0,-34.5568723,-58.4682852,2021-03-27
"79","La Parraca, Ciudad de Buenos Aires","viernes",12,22.5,-34.5568723,-58.4682852,2021-03-27
"80","La Parraca, Ciudad de Buenos Aires","viernes",13,33,-34.5568723,-58.4682852,2021-03-27
"81","La Parraca, Ciudad de Buenos Aires","viernes",14,37.5,-34.5568723,-58.4682852,2021-03-27
"82","La Parraca, Ciudad de Buenos Aires","viernes",15,35.25,-34.5568723,-58.4682852,2021-03-27
"83","La Parraca, Ciudad de Buenos Aires","viernes",16,27,-34.5568723,-58.4682852,2021-03-27
"84","La Parraca, Ciudad de Buenos Aires","viernes",17,18.75,-34.5568723,-58.4682852,2021-03-27
"85","La Parraca, Ciudad de Buenos Aires","viernes",18,16.5,-34.5568723,-58.4682852,2021-03-27
"86","La Parraca, Ciudad de Buenos Aires","viernes",19,27.75,-34.5568723,-58.4682852,2021-03-27
"87","La Parraca, Ciudad de Buenos Aires","viernes",20,52.5,-34.5568723,-58.4682852,2021-03-27
"88","La Parraca, Ciudad de Buenos Aires","viernes",21,75,-34.5568723,-58.4682852,2021-03-27
"89","La Parraca, Ciudad de Buenos Aires","viernes",22,73.5,-34.5568723,-58.4682852,2021-03-27
"90","La Parraca, Ciudad de Buenos Aires","viernes",23,49.5,-34.5568723,-58.4682852,2021-03-27
"91","La Parraca, Ciudad de Buenos Aires","sabado",6,0,-34.5568723,-58.4682852,2021-03-27
"92","La Parraca, Ciudad de Buenos Aires","sabado",7,0,-34.5568723,-58.4682852,2021-03-27
"93","La Parraca, Ciudad de Buenos Aires","sabado",8,0,-34.5568723,-58.4682852,2021-03-27
"94","La Parraca, Ciudad de Buenos Aires","sabado",9,0,-34.5568723,-58.4682852,2021-03-27
"95","La Parraca, Ciudad de Buenos Aires","sabado",10,0,-34.5568723,-58.4682852,2021-03-27
"96","La Parraca, Ciudad de Buenos Aires","sabado",11,0,-34.5568723,-58.4682852,2021-03-27
