"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",6,0,-34.606786,-58.4211911,2021-03-27
"2","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",7,0,-34.606786,-58.4211911,2021-03-27
"3","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",8,0,-34.606786,-58.4211911,2021-03-27
"4","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",9,0,-34.606786,-58.4211911,2021-03-27
"5","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",10,0,-34.606786,-58.4211911,2021-03-27
"6","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",11,7.5,-34.606786,-58.4211911,2021-03-27
"7","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",12,15.75,-34.606786,-58.4211911,2021-03-27
"8","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",13,24,-34.606786,-58.4211911,2021-03-27
"9","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",14,28.5,-34.606786,-58.4211911,2021-03-27
"10","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",15,25.5,-34.606786,-58.4211911,2021-03-27
"11","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",16,18.75,-34.606786,-58.4211911,2021-03-27
"12","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",17,14.25,-34.606786,-58.4211911,2021-03-27
"13","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",18,16.5,-34.606786,-58.4211911,2021-03-27
"14","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",19,23.25,-34.606786,-58.4211911,2021-03-27
"15","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",20,31.5,-34.606786,-58.4211911,2021-03-27
"16","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",21,36,-34.606786,-58.4211911,2021-03-27
"17","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",22,34.5,-34.606786,-58.4211911,2021-03-27
"18","La Parrillita Del Pasaje, Ciudad de Buenos Aires","martes",23,26.25,-34.606786,-58.4211911,2021-03-27
"19","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",6,0,-34.606786,-58.4211911,2021-03-27
"20","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",7,0,-34.606786,-58.4211911,2021-03-27
"21","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",8,0,-34.606786,-58.4211911,2021-03-27
"22","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",9,0,-34.606786,-58.4211911,2021-03-27
"23","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",10,0,-34.606786,-58.4211911,2021-03-27
"24","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",11,7.5,-34.606786,-58.4211911,2021-03-27
"25","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",12,13.5,-34.606786,-58.4211911,2021-03-27
"26","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",13,21,-34.606786,-58.4211911,2021-03-27
"27","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",14,26.25,-34.606786,-58.4211911,2021-03-27
"28","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",15,27.75,-34.606786,-58.4211911,2021-03-27
"29","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",16,24,-34.606786,-58.4211911,2021-03-27
"30","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",17,18.75,-34.606786,-58.4211911,2021-03-27
"31","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",18,14.25,-34.606786,-58.4211911,2021-03-27
"32","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",19,16.5,-34.606786,-58.4211911,2021-03-27
"33","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",20,23.25,-34.606786,-58.4211911,2021-03-27
"34","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",21,30,-34.606786,-58.4211911,2021-03-27
"35","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",22,29.25,-34.606786,-58.4211911,2021-03-27
"36","La Parrillita Del Pasaje, Ciudad de Buenos Aires","miercoles",23,21.75,-34.606786,-58.4211911,2021-03-27
"37","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",6,0,-34.606786,-58.4211911,2021-03-27
"38","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",7,0,-34.606786,-58.4211911,2021-03-27
"39","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",8,0,-34.606786,-58.4211911,2021-03-27
"40","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",9,0,-34.606786,-58.4211911,2021-03-27
"41","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",10,0,-34.606786,-58.4211911,2021-03-27
"42","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",11,6,-34.606786,-58.4211911,2021-03-27
"43","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",12,15.75,-34.606786,-58.4211911,2021-03-27
"44","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",13,26.25,-34.606786,-58.4211911,2021-03-27
"45","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",14,31.5,-34.606786,-58.4211911,2021-03-27
"46","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",15,27.75,-34.606786,-58.4211911,2021-03-27
"47","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",16,20.25,-34.606786,-58.4211911,2021-03-27
"48","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",17,14.25,-34.606786,-58.4211911,2021-03-27
"49","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",18,12.75,-34.606786,-58.4211911,2021-03-27
"50","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",19,15.75,-34.606786,-58.4211911,2021-03-27
"51","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",20,22.5,-34.606786,-58.4211911,2021-03-27
"52","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",21,30.75,-34.606786,-58.4211911,2021-03-27
"53","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",22,29.25,-34.606786,-58.4211911,2021-03-27
"54","La Parrillita Del Pasaje, Ciudad de Buenos Aires","jueves",23,19.5,-34.606786,-58.4211911,2021-03-27
"55","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",6,0,-34.606786,-58.4211911,2021-03-27
"56","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",7,0,-34.606786,-58.4211911,2021-03-27
"57","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",8,0,-34.606786,-58.4211911,2021-03-27
"58","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",9,0,-34.606786,-58.4211911,2021-03-27
"59","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",10,0,-34.606786,-58.4211911,2021-03-27
"60","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",11,8.25,-34.606786,-58.4211911,2021-03-27
"61","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",12,14.25,-34.606786,-58.4211911,2021-03-27
"62","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",13,21,-34.606786,-58.4211911,2021-03-27
"63","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",14,24.75,-34.606786,-58.4211911,2021-03-27
"64","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",15,24.75,-34.606786,-58.4211911,2021-03-27
"65","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",16,21,-34.606786,-58.4211911,2021-03-27
"66","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",17,17.25,-34.606786,-58.4211911,2021-03-27
"67","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",18,17.25,-34.606786,-58.4211911,2021-03-27
"68","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",19,27,-34.606786,-58.4211911,2021-03-27
"69","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",20,46.5,-34.606786,-58.4211911,2021-03-27
"70","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",21,66.75,-34.606786,-58.4211911,2021-03-27
"71","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",22,75,-34.606786,-58.4211911,2021-03-27
"72","La Parrillita Del Pasaje, Ciudad de Buenos Aires","viernes",23,63.75,-34.606786,-58.4211911,2021-03-27
"73","La Parrillita Del Pasaje, Ciudad de Buenos Aires","sabado",0,42,-34.606786,-58.4211911,2021-03-27
"74","La Parrillita Del Pasaje, Ciudad de Buenos Aires","sabado",6,0,-34.606786,-58.4211911,2021-03-27
"75","La Parrillita Del Pasaje, Ciudad de Buenos Aires","sabado",7,0,-34.606786,-58.4211911,2021-03-27
"76","La Parrillita Del Pasaje, Ciudad de Buenos Aires","sabado",8,0,-34.606786,-58.4211911,2021-03-27
"77","La Parrillita Del Pasaje, Ciudad de Buenos Aires","sabado",9,0,-34.606786,-58.4211911,2021-03-27
"78","La Parrillita Del Pasaje, Ciudad de Buenos Aires","sabado",10,0,-34.606786,-58.4211911,2021-03-27
"79","La Parrillita Del Pasaje, Ciudad de Buenos Aires","sabado",11,5.25,-34.606786,-58.4211911,2021-03-27
"80","La Parrillita Del Pasaje, Ciudad de Buenos Aires","sabado",12,14.25,-34.606786,-58.4211911,2021-03-27
"81","La Parrillita Del Pasaje, Ciudad de Buenos Aires","sabado",13,29.25,-34.606786,-58.4211911,2021-03-27
"82","La Parrillita Del Pasaje, Ciudad de Buenos Aires","sabado",14,38.25,-34.606786,-58.4211911,2021-03-27
"83","La Parrillita Del Pasaje, Ciudad de Buenos Aires","sabado",15,34.5,-34.606786,-58.4211911,2021-03-27
"84","La Parrillita Del Pasaje, Ciudad de Buenos Aires","sabado",16,21.75,-34.606786,-58.4211911,2021-03-27
"85","La Parrillita Del Pasaje, Ciudad de Buenos Aires","sabado",17,12.75,-34.606786,-58.4211911,2021-03-27
"86","La Parrillita Del Pasaje, Ciudad de Buenos Aires","sabado",18,15,-34.606786,-58.4211911,2021-03-27
"87","La Parrillita Del Pasaje, Ciudad de Buenos Aires","sabado",19,27.75,-34.606786,-58.4211911,2021-03-27
