"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Percanta, Ciudad de Buenos Aires","lunes",6,0,-34.6162302,-58.3612102,2021-03-26
"2","La Percanta, Ciudad de Buenos Aires","lunes",7,0,-34.6162302,-58.3612102,2021-03-26
"3","La Percanta, Ciudad de Buenos Aires","lunes",8,1.5,-34.6162302,-58.3612102,2021-03-26
"4","La Percanta, Ciudad de Buenos Aires","lunes",9,4.5,-34.6162302,-58.3612102,2021-03-26
"5","La Percanta, Ciudad de Buenos Aires","lunes",10,8.25,-34.6162302,-58.3612102,2021-03-26
"6","La Percanta, Ciudad de Buenos Aires","lunes",11,12.75,-34.6162302,-58.3612102,2021-03-26
"7","La Percanta, Ciudad de Buenos Aires","lunes",12,17.25,-34.6162302,-58.3612102,2021-03-26
"8","La Percanta, Ciudad de Buenos Aires","lunes",13,20.25,-34.6162302,-58.3612102,2021-03-26
"9","La Percanta, Ciudad de Buenos Aires","lunes",14,21.75,-34.6162302,-58.3612102,2021-03-26
"10","La Percanta, Ciudad de Buenos Aires","lunes",15,20.25,-34.6162302,-58.3612102,2021-03-26
"11","La Percanta, Ciudad de Buenos Aires","lunes",16,18,-34.6162302,-58.3612102,2021-03-26
"12","La Percanta, Ciudad de Buenos Aires","lunes",17,14.25,-34.6162302,-58.3612102,2021-03-26
"13","La Percanta, Ciudad de Buenos Aires","lunes",18,13.5,-34.6162302,-58.3612102,2021-03-26
"14","La Percanta, Ciudad de Buenos Aires","lunes",19,15,-34.6162302,-58.3612102,2021-03-26
"15","La Percanta, Ciudad de Buenos Aires","lunes",20,19.5,-34.6162302,-58.3612102,2021-03-26
"16","La Percanta, Ciudad de Buenos Aires","lunes",21,21.75,-34.6162302,-58.3612102,2021-03-26
"17","La Percanta, Ciudad de Buenos Aires","lunes",22,18.75,-34.6162302,-58.3612102,2021-03-26
"18","La Percanta, Ciudad de Buenos Aires","lunes",23,11.25,-34.6162302,-58.3612102,2021-03-26
"19","La Percanta, Ciudad de Buenos Aires","martes",0,3,-34.6162302,-58.3612102,2021-03-26
"20","La Percanta, Ciudad de Buenos Aires","martes",1,0.75,-34.6162302,-58.3612102,2021-03-26
"21","La Percanta, Ciudad de Buenos Aires","martes",6,0,-34.6162302,-58.3612102,2021-03-26
"22","La Percanta, Ciudad de Buenos Aires","martes",7,0,-34.6162302,-58.3612102,2021-03-26
"23","La Percanta, Ciudad de Buenos Aires","martes",8,3.75,-34.6162302,-58.3612102,2021-03-26
"24","La Percanta, Ciudad de Buenos Aires","martes",9,8.25,-34.6162302,-58.3612102,2021-03-26
"25","La Percanta, Ciudad de Buenos Aires","martes",10,12.75,-34.6162302,-58.3612102,2021-03-26
"26","La Percanta, Ciudad de Buenos Aires","martes",11,17.25,-34.6162302,-58.3612102,2021-03-26
"27","La Percanta, Ciudad de Buenos Aires","martes",12,21,-34.6162302,-58.3612102,2021-03-26
"28","La Percanta, Ciudad de Buenos Aires","martes",13,23.25,-34.6162302,-58.3612102,2021-03-26
"29","La Percanta, Ciudad de Buenos Aires","martes",14,24,-34.6162302,-58.3612102,2021-03-26
"30","La Percanta, Ciudad de Buenos Aires","martes",15,22.5,-34.6162302,-58.3612102,2021-03-26
"31","La Percanta, Ciudad de Buenos Aires","martes",16,20.25,-34.6162302,-58.3612102,2021-03-26
"32","La Percanta, Ciudad de Buenos Aires","martes",17,18.75,-34.6162302,-58.3612102,2021-03-26
