"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Posta IV, Ciudad de Buenos Aires","lunes",6,0,-34.613455,-58.383144,2021-03-28
"2","La Posta IV, Ciudad de Buenos Aires","lunes",7,0,-34.613455,-58.383144,2021-03-28
"3","La Posta IV, Ciudad de Buenos Aires","lunes",8,0,-34.613455,-58.383144,2021-03-28
"4","La Posta IV, Ciudad de Buenos Aires","lunes",9,1.5,-34.613455,-58.383144,2021-03-28
"5","La Posta IV, Ciudad de Buenos Aires","lunes",10,3,-34.613455,-58.383144,2021-03-28
"6","La Posta IV, Ciudad de Buenos Aires","lunes",11,7.5,-34.613455,-58.383144,2021-03-28
"7","La Posta IV, Ciudad de Buenos Aires","lunes",12,14.25,-34.613455,-58.383144,2021-03-28
"8","La Posta IV, Ciudad de Buenos Aires","lunes",13,22.5,-34.613455,-58.383144,2021-03-28
"9","La Posta IV, Ciudad de Buenos Aires","lunes",14,29.25,-34.613455,-58.383144,2021-03-28
"10","La Posta IV, Ciudad de Buenos Aires","lunes",15,30.75,-34.613455,-58.383144,2021-03-28
"11","La Posta IV, Ciudad de Buenos Aires","lunes",16,27,-34.613455,-58.383144,2021-03-28
"12","La Posta IV, Ciudad de Buenos Aires","lunes",17,22.5,-34.613455,-58.383144,2021-03-28
"13","La Posta IV, Ciudad de Buenos Aires","lunes",18,22.5,-34.613455,-58.383144,2021-03-28
"14","La Posta IV, Ciudad de Buenos Aires","lunes",19,30.75,-34.613455,-58.383144,2021-03-28
"15","La Posta IV, Ciudad de Buenos Aires","lunes",20,40.5,-34.613455,-58.383144,2021-03-28
"16","La Posta IV, Ciudad de Buenos Aires","lunes",21,43.5,-34.613455,-58.383144,2021-03-28
"17","La Posta IV, Ciudad de Buenos Aires","lunes",22,37.5,-34.613455,-58.383144,2021-03-28
"18","La Posta IV, Ciudad de Buenos Aires","lunes",23,22.5,-34.613455,-58.383144,2021-03-28
"19","La Posta IV, Ciudad de Buenos Aires","martes",6,0,-34.613455,-58.383144,2021-03-28
"20","La Posta IV, Ciudad de Buenos Aires","martes",7,0,-34.613455,-58.383144,2021-03-28
"21","La Posta IV, Ciudad de Buenos Aires","martes",8,3,-34.613455,-58.383144,2021-03-28
"22","La Posta IV, Ciudad de Buenos Aires","martes",9,6,-34.613455,-58.383144,2021-03-28
"23","La Posta IV, Ciudad de Buenos Aires","martes",10,11.25,-34.613455,-58.383144,2021-03-28
"24","La Posta IV, Ciudad de Buenos Aires","martes",11,15.75,-34.613455,-58.383144,2021-03-28
"25","La Posta IV, Ciudad de Buenos Aires","martes",12,21,-34.613455,-58.383144,2021-03-28
"26","La Posta IV, Ciudad de Buenos Aires","martes",13,22.5,-34.613455,-58.383144,2021-03-28
"27","La Posta IV, Ciudad de Buenos Aires","martes",14,22.5,-34.613455,-58.383144,2021-03-28
"28","La Posta IV, Ciudad de Buenos Aires","martes",15,21,-34.613455,-58.383144,2021-03-28
"29","La Posta IV, Ciudad de Buenos Aires","martes",16,22.5,-34.613455,-58.383144,2021-03-28
"30","La Posta IV, Ciudad de Buenos Aires","martes",17,27,-34.613455,-58.383144,2021-03-28
"31","La Posta IV, Ciudad de Buenos Aires","martes",18,33.75,-34.613455,-58.383144,2021-03-28
"32","La Posta IV, Ciudad de Buenos Aires","martes",19,40.5,-34.613455,-58.383144,2021-03-28
"33","La Posta IV, Ciudad de Buenos Aires","martes",20,45,-34.613455,-58.383144,2021-03-28
"34","La Posta IV, Ciudad de Buenos Aires","martes",21,47.25,-34.613455,-58.383144,2021-03-28
"35","La Posta IV, Ciudad de Buenos Aires","martes",22,45,-34.613455,-58.383144,2021-03-28
"36","La Posta IV, Ciudad de Buenos Aires","martes",23,39,-34.613455,-58.383144,2021-03-28
"37","La Posta IV, Ciudad de Buenos Aires","miercoles",6,0,-34.613455,-58.383144,2021-03-28
"38","La Posta IV, Ciudad de Buenos Aires","miercoles",7,0,-34.613455,-58.383144,2021-03-28
"39","La Posta IV, Ciudad de Buenos Aires","miercoles",8,0,-34.613455,-58.383144,2021-03-28
"40","La Posta IV, Ciudad de Buenos Aires","miercoles",9,3,-34.613455,-58.383144,2021-03-28
"41","La Posta IV, Ciudad de Buenos Aires","miercoles",10,4.5,-34.613455,-58.383144,2021-03-28
"42","La Posta IV, Ciudad de Buenos Aires","miercoles",11,7.5,-34.613455,-58.383144,2021-03-28
"43","La Posta IV, Ciudad de Buenos Aires","miercoles",12,21,-34.613455,-58.383144,2021-03-28
"44","La Posta IV, Ciudad de Buenos Aires","miercoles",13,35.25,-34.613455,-58.383144,2021-03-28
"45","La Posta IV, Ciudad de Buenos Aires","miercoles",14,29.25,-34.613455,-58.383144,2021-03-28
"46","La Posta IV, Ciudad de Buenos Aires","miercoles",15,14.25,-34.613455,-58.383144,2021-03-28
"47","La Posta IV, Ciudad de Buenos Aires","miercoles",16,11.25,-34.613455,-58.383144,2021-03-28
"48","La Posta IV, Ciudad de Buenos Aires","miercoles",17,11.25,-34.613455,-58.383144,2021-03-28
"49","La Posta IV, Ciudad de Buenos Aires","miercoles",18,15.75,-34.613455,-58.383144,2021-03-28
"50","La Posta IV, Ciudad de Buenos Aires","miercoles",19,22.5,-34.613455,-58.383144,2021-03-28
"51","La Posta IV, Ciudad de Buenos Aires","miercoles",20,30.75,-34.613455,-58.383144,2021-03-28
"52","La Posta IV, Ciudad de Buenos Aires","miercoles",21,37.5,-34.613455,-58.383144,2021-03-28
"53","La Posta IV, Ciudad de Buenos Aires","miercoles",22,39,-34.613455,-58.383144,2021-03-28
"54","La Posta IV, Ciudad de Buenos Aires","miercoles",23,33.75,-34.613455,-58.383144,2021-03-28
"55","La Posta IV, Ciudad de Buenos Aires","jueves",6,0,-34.613455,-58.383144,2021-03-28
"56","La Posta IV, Ciudad de Buenos Aires","jueves",7,0,-34.613455,-58.383144,2021-03-28
"57","La Posta IV, Ciudad de Buenos Aires","jueves",8,0,-34.613455,-58.383144,2021-03-28
"58","La Posta IV, Ciudad de Buenos Aires","jueves",9,0,-34.613455,-58.383144,2021-03-28
"59","La Posta IV, Ciudad de Buenos Aires","jueves",10,3,-34.613455,-58.383144,2021-03-28
"60","La Posta IV, Ciudad de Buenos Aires","jueves",11,9.75,-34.613455,-58.383144,2021-03-28
"61","La Posta IV, Ciudad de Buenos Aires","jueves",12,22.5,-34.613455,-58.383144,2021-03-28
"62","La Posta IV, Ciudad de Buenos Aires","jueves",13,30.75,-34.613455,-58.383144,2021-03-28
"63","La Posta IV, Ciudad de Buenos Aires","jueves",14,25.5,-34.613455,-58.383144,2021-03-28
"64","La Posta IV, Ciudad de Buenos Aires","jueves",15,17.25,-34.613455,-58.383144,2021-03-28
"65","La Posta IV, Ciudad de Buenos Aires","jueves",16,12.75,-34.613455,-58.383144,2021-03-28
"66","La Posta IV, Ciudad de Buenos Aires","jueves",17,14.25,-34.613455,-58.383144,2021-03-28
"67","La Posta IV, Ciudad de Buenos Aires","jueves",18,21,-34.613455,-58.383144,2021-03-28
"68","La Posta IV, Ciudad de Buenos Aires","jueves",19,25.5,-34.613455,-58.383144,2021-03-28
"69","La Posta IV, Ciudad de Buenos Aires","jueves",20,30.75,-34.613455,-58.383144,2021-03-28
"70","La Posta IV, Ciudad de Buenos Aires","jueves",21,33.75,-34.613455,-58.383144,2021-03-28
"71","La Posta IV, Ciudad de Buenos Aires","jueves",22,35.25,-34.613455,-58.383144,2021-03-28
"72","La Posta IV, Ciudad de Buenos Aires","jueves",23,30.75,-34.613455,-58.383144,2021-03-28
"73","La Posta IV, Ciudad de Buenos Aires","viernes",6,0,-34.613455,-58.383144,2021-03-28
"74","La Posta IV, Ciudad de Buenos Aires","viernes",7,0,-34.613455,-58.383144,2021-03-28
"75","La Posta IV, Ciudad de Buenos Aires","viernes",8,4.5,-34.613455,-58.383144,2021-03-28
"76","La Posta IV, Ciudad de Buenos Aires","viernes",9,7.5,-34.613455,-58.383144,2021-03-28
"77","La Posta IV, Ciudad de Buenos Aires","viernes",10,11.25,-34.613455,-58.383144,2021-03-28
"78","La Posta IV, Ciudad de Buenos Aires","viernes",11,15.75,-34.613455,-58.383144,2021-03-28
"79","La Posta IV, Ciudad de Buenos Aires","viernes",12,19.5,-34.613455,-58.383144,2021-03-28
"80","La Posta IV, Ciudad de Buenos Aires","viernes",13,24,-34.613455,-58.383144,2021-03-28
"81","La Posta IV, Ciudad de Buenos Aires","viernes",14,27,-34.613455,-58.383144,2021-03-28
"82","La Posta IV, Ciudad de Buenos Aires","viernes",15,30.75,-34.613455,-58.383144,2021-03-28
"83","La Posta IV, Ciudad de Buenos Aires","viernes",16,32.25,-34.613455,-58.383144,2021-03-28
"84","La Posta IV, Ciudad de Buenos Aires","viernes",17,32.25,-34.613455,-58.383144,2021-03-28
"85","La Posta IV, Ciudad de Buenos Aires","viernes",18,35.25,-34.613455,-58.383144,2021-03-28
"86","La Posta IV, Ciudad de Buenos Aires","viernes",19,51.75,-34.613455,-58.383144,2021-03-28
"87","La Posta IV, Ciudad de Buenos Aires","viernes",20,75,-34.613455,-58.383144,2021-03-28
"88","La Posta IV, Ciudad de Buenos Aires","viernes",21,66.75,-34.613455,-58.383144,2021-03-28
"89","La Posta IV, Ciudad de Buenos Aires","viernes",22,40.5,-34.613455,-58.383144,2021-03-28
"90","La Posta IV, Ciudad de Buenos Aires","viernes",23,48.75,-34.613455,-58.383144,2021-03-28
"91","La Posta IV, Ciudad de Buenos Aires","sabado",6,0,-34.613455,-58.383144,2021-03-28
"92","La Posta IV, Ciudad de Buenos Aires","sabado",7,0,-34.613455,-58.383144,2021-03-28
"93","La Posta IV, Ciudad de Buenos Aires","sabado",8,0,-34.613455,-58.383144,2021-03-28
"94","La Posta IV, Ciudad de Buenos Aires","sabado",9,0,-34.613455,-58.383144,2021-03-28
"95","La Posta IV, Ciudad de Buenos Aires","sabado",10,0,-34.613455,-58.383144,2021-03-28
"96","La Posta IV, Ciudad de Buenos Aires","sabado",11,0,-34.613455,-58.383144,2021-03-28
"97","La Posta IV, Ciudad de Buenos Aires","sabado",12,0,-34.613455,-58.383144,2021-03-28
"98","La Posta IV, Ciudad de Buenos Aires","sabado",13,0,-34.613455,-58.383144,2021-03-28
"99","La Posta IV, Ciudad de Buenos Aires","sabado",14,0,-34.613455,-58.383144,2021-03-28
"100","La Posta IV, Ciudad de Buenos Aires","sabado",15,0,-34.613455,-58.383144,2021-03-28
"101","La Posta IV, Ciudad de Buenos Aires","sabado",16,7.5,-34.613455,-58.383144,2021-03-28
"102","La Posta IV, Ciudad de Buenos Aires","sabado",17,17.25,-34.613455,-58.383144,2021-03-28
"103","La Posta IV, Ciudad de Buenos Aires","sabado",18,30.75,-34.613455,-58.383144,2021-03-28
"104","La Posta IV, Ciudad de Buenos Aires","sabado",19,45,-34.613455,-58.383144,2021-03-28
"105","La Posta IV, Ciudad de Buenos Aires","sabado",20,60,-34.613455,-58.383144,2021-03-28
"106","La Posta IV, Ciudad de Buenos Aires","sabado",21,66.75,-34.613455,-58.383144,2021-03-28
"107","La Posta IV, Ciudad de Buenos Aires","sabado",22,64.5,-34.613455,-58.383144,2021-03-28
"108","La Posta IV, Ciudad de Buenos Aires","sabado",23,54.75,-34.613455,-58.383144,2021-03-28
"109","La Posta IV, Ciudad de Buenos Aires","domingo",6,0,-34.613455,-58.383144,2021-03-28
"110","La Posta IV, Ciudad de Buenos Aires","domingo",7,0,-34.613455,-58.383144,2021-03-28
"111","La Posta IV, Ciudad de Buenos Aires","domingo",8,0,-34.613455,-58.383144,2021-03-28
"112","La Posta IV, Ciudad de Buenos Aires","domingo",9,0,-34.613455,-58.383144,2021-03-28
"113","La Posta IV, Ciudad de Buenos Aires","domingo",10,0,-34.613455,-58.383144,2021-03-28
"114","La Posta IV, Ciudad de Buenos Aires","domingo",11,0,-34.613455,-58.383144,2021-03-28
"115","La Posta IV, Ciudad de Buenos Aires","domingo",12,0,-34.613455,-58.383144,2021-03-28
"116","La Posta IV, Ciudad de Buenos Aires","domingo",13,0,-34.613455,-58.383144,2021-03-28
"117","La Posta IV, Ciudad de Buenos Aires","domingo",14,0,-34.613455,-58.383144,2021-03-28
"118","La Posta IV, Ciudad de Buenos Aires","domingo",15,0,-34.613455,-58.383144,2021-03-28
"119","La Posta IV, Ciudad de Buenos Aires","domingo",16,0,-34.613455,-58.383144,2021-03-28
"120","La Posta IV, Ciudad de Buenos Aires","domingo",17,4.5,-34.613455,-58.383144,2021-03-28
"121","La Posta IV, Ciudad de Buenos Aires","domingo",18,9.75,-34.613455,-58.383144,2021-03-28
"122","La Posta IV, Ciudad de Buenos Aires","domingo",19,17.25,-34.613455,-58.383144,2021-03-28
"123","La Posta IV, Ciudad de Buenos Aires","domingo",20,24,-34.613455,-58.383144,2021-03-28
"124","La Posta IV, Ciudad de Buenos Aires","domingo",21,25.5,-34.613455,-58.383144,2021-03-28
"125","La Posta IV, Ciudad de Buenos Aires","domingo",22,24,-34.613455,-58.383144,2021-03-28
"126","La Posta IV, Ciudad de Buenos Aires","domingo",23,29.25,-34.613455,-58.383144,2021-03-28
