"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Posta de Achaval, Ciudad de Buenos Aires","lunes",6,0,-34.6299999,-58.4480877,2021-03-26
"2","La Posta de Achaval, Ciudad de Buenos Aires","lunes",7,0.75,-34.6299999,-58.4480877,2021-03-26
"3","La Posta de Achaval, Ciudad de Buenos Aires","lunes",8,0.75,-34.6299999,-58.4480877,2021-03-26
"4","La Posta de Achaval, Ciudad de Buenos Aires","lunes",9,0.75,-34.6299999,-58.4480877,2021-03-26
"5","La Posta de Achaval, Ciudad de Buenos Aires","lunes",10,0.75,-34.6299999,-58.4480877,2021-03-26
"6","La Posta de Achaval, Ciudad de Buenos Aires","lunes",11,3.75,-34.6299999,-58.4480877,2021-03-26
"7","La Posta de Achaval, Ciudad de Buenos Aires","lunes",12,7.5,-34.6299999,-58.4480877,2021-03-26
"8","La Posta de Achaval, Ciudad de Buenos Aires","lunes",13,11.25,-34.6299999,-58.4480877,2021-03-26
"9","La Posta de Achaval, Ciudad de Buenos Aires","lunes",14,12.75,-34.6299999,-58.4480877,2021-03-26
"10","La Posta de Achaval, Ciudad de Buenos Aires","lunes",15,11.25,-34.6299999,-58.4480877,2021-03-26
"11","La Posta de Achaval, Ciudad de Buenos Aires","lunes",16,7.5,-34.6299999,-58.4480877,2021-03-26
"12","La Posta de Achaval, Ciudad de Buenos Aires","lunes",17,3.75,-34.6299999,-58.4480877,2021-03-26
"13","La Posta de Achaval, Ciudad de Buenos Aires","lunes",18,5.25,-34.6299999,-58.4480877,2021-03-26
"14","La Posta de Achaval, Ciudad de Buenos Aires","lunes",19,12.75,-34.6299999,-58.4480877,2021-03-26
"15","La Posta de Achaval, Ciudad de Buenos Aires","lunes",20,24.75,-34.6299999,-58.4480877,2021-03-26
"16","La Posta de Achaval, Ciudad de Buenos Aires","lunes",21,34.5,-34.6299999,-58.4480877,2021-03-26
"17","La Posta de Achaval, Ciudad de Buenos Aires","lunes",22,32.25,-34.6299999,-58.4480877,2021-03-26
"18","La Posta de Achaval, Ciudad de Buenos Aires","lunes",23,20.25,-34.6299999,-58.4480877,2021-03-26
"19","La Posta de Achaval, Ciudad de Buenos Aires","martes",6,0,-34.6299999,-58.4480877,2021-03-26
"20","La Posta de Achaval, Ciudad de Buenos Aires","martes",7,0,-34.6299999,-58.4480877,2021-03-26
"21","La Posta de Achaval, Ciudad de Buenos Aires","martes",8,0.75,-34.6299999,-58.4480877,2021-03-26
"22","La Posta de Achaval, Ciudad de Buenos Aires","martes",9,2.25,-34.6299999,-58.4480877,2021-03-26
"23","La Posta de Achaval, Ciudad de Buenos Aires","martes",10,4.5,-34.6299999,-58.4480877,2021-03-26
"24","La Posta de Achaval, Ciudad de Buenos Aires","martes",11,7.5,-34.6299999,-58.4480877,2021-03-26
"25","La Posta de Achaval, Ciudad de Buenos Aires","martes",12,9.75,-34.6299999,-58.4480877,2021-03-26
"26","La Posta de Achaval, Ciudad de Buenos Aires","martes",13,12,-34.6299999,-58.4480877,2021-03-26
"27","La Posta de Achaval, Ciudad de Buenos Aires","martes",14,11.25,-34.6299999,-58.4480877,2021-03-26
"28","La Posta de Achaval, Ciudad de Buenos Aires","martes",15,9,-34.6299999,-58.4480877,2021-03-26
"29","La Posta de Achaval, Ciudad de Buenos Aires","martes",16,5.25,-34.6299999,-58.4480877,2021-03-26
"30","La Posta de Achaval, Ciudad de Buenos Aires","martes",17,3,-34.6299999,-58.4480877,2021-03-26
"31","La Posta de Achaval, Ciudad de Buenos Aires","martes",18,3.75,-34.6299999,-58.4480877,2021-03-26
"32","La Posta de Achaval, Ciudad de Buenos Aires","martes",19,12.75,-34.6299999,-58.4480877,2021-03-26
"33","La Posta de Achaval, Ciudad de Buenos Aires","martes",20,28.5,-34.6299999,-58.4480877,2021-03-26
"34","La Posta de Achaval, Ciudad de Buenos Aires","martes",21,42,-34.6299999,-58.4480877,2021-03-26
"35","La Posta de Achaval, Ciudad de Buenos Aires","martes",22,40.5,-34.6299999,-58.4480877,2021-03-26
"36","La Posta de Achaval, Ciudad de Buenos Aires","martes",23,24.75,-34.6299999,-58.4480877,2021-03-26
"37","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",6,0,-34.6299999,-58.4480877,2021-03-26
"38","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",7,0,-34.6299999,-58.4480877,2021-03-26
"39","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",8,0.75,-34.6299999,-58.4480877,2021-03-26
"40","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",9,1.5,-34.6299999,-58.4480877,2021-03-26
"41","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",10,3.75,-34.6299999,-58.4480877,2021-03-26
"42","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",11,6,-34.6299999,-58.4480877,2021-03-26
"43","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",12,9.75,-34.6299999,-58.4480877,2021-03-26
"44","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",13,12,-34.6299999,-58.4480877,2021-03-26
"45","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",14,12.75,-34.6299999,-58.4480877,2021-03-26
"46","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",15,10.5,-34.6299999,-58.4480877,2021-03-26
"47","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",16,7.5,-34.6299999,-58.4480877,2021-03-26
"48","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",17,6,-34.6299999,-58.4480877,2021-03-26
"49","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",18,8.25,-34.6299999,-58.4480877,2021-03-26
"50","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",19,18.75,-34.6299999,-58.4480877,2021-03-26
"51","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",20,34.5,-34.6299999,-58.4480877,2021-03-26
"52","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",21,46.5,-34.6299999,-58.4480877,2021-03-26
"53","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",22,44.25,-34.6299999,-58.4480877,2021-03-26
"54","La Posta de Achaval, Ciudad de Buenos Aires","miercoles",23,30.75,-34.6299999,-58.4480877,2021-03-26
"55","La Posta de Achaval, Ciudad de Buenos Aires","jueves",6,0,-34.6299999,-58.4480877,2021-03-26
"56","La Posta de Achaval, Ciudad de Buenos Aires","jueves",7,0.75,-34.6299999,-58.4480877,2021-03-26
"57","La Posta de Achaval, Ciudad de Buenos Aires","jueves",8,0.75,-34.6299999,-58.4480877,2021-03-26
"58","La Posta de Achaval, Ciudad de Buenos Aires","jueves",9,2.25,-34.6299999,-58.4480877,2021-03-26
"59","La Posta de Achaval, Ciudad de Buenos Aires","jueves",10,5.25,-34.6299999,-58.4480877,2021-03-26
"60","La Posta de Achaval, Ciudad de Buenos Aires","jueves",11,9,-34.6299999,-58.4480877,2021-03-26
"61","La Posta de Achaval, Ciudad de Buenos Aires","jueves",12,12.75,-34.6299999,-58.4480877,2021-03-26
"62","La Posta de Achaval, Ciudad de Buenos Aires","jueves",13,15.75,-34.6299999,-58.4480877,2021-03-26
"63","La Posta de Achaval, Ciudad de Buenos Aires","jueves",14,15.75,-34.6299999,-58.4480877,2021-03-26
"64","La Posta de Achaval, Ciudad de Buenos Aires","jueves",15,12.75,-34.6299999,-58.4480877,2021-03-26
"65","La Posta de Achaval, Ciudad de Buenos Aires","jueves",16,8.25,-34.6299999,-58.4480877,2021-03-26
"66","La Posta de Achaval, Ciudad de Buenos Aires","jueves",17,6,-34.6299999,-58.4480877,2021-03-26
"67","La Posta de Achaval, Ciudad de Buenos Aires","jueves",18,9,-34.6299999,-58.4480877,2021-03-26
"68","La Posta de Achaval, Ciudad de Buenos Aires","jueves",19,21.75,-34.6299999,-58.4480877,2021-03-26
"69","La Posta de Achaval, Ciudad de Buenos Aires","jueves",20,39,-34.6299999,-58.4480877,2021-03-26
"70","La Posta de Achaval, Ciudad de Buenos Aires","jueves",21,50.25,-34.6299999,-58.4480877,2021-03-26
"71","La Posta de Achaval, Ciudad de Buenos Aires","jueves",22,44.25,-34.6299999,-58.4480877,2021-03-26
"72","La Posta de Achaval, Ciudad de Buenos Aires","jueves",23,26.25,-34.6299999,-58.4480877,2021-03-26
"73","La Posta de Achaval, Ciudad de Buenos Aires","viernes",6,0,-34.6299999,-58.4480877,2021-03-26
"74","La Posta de Achaval, Ciudad de Buenos Aires","viernes",7,0.75,-34.6299999,-58.4480877,2021-03-26
"75","La Posta de Achaval, Ciudad de Buenos Aires","viernes",8,0,-34.6299999,-58.4480877,2021-03-26
"76","La Posta de Achaval, Ciudad de Buenos Aires","viernes",9,3,-34.6299999,-58.4480877,2021-03-26
"77","La Posta de Achaval, Ciudad de Buenos Aires","viernes",10,6,-34.6299999,-58.4480877,2021-03-26
"78","La Posta de Achaval, Ciudad de Buenos Aires","viernes",11,10.5,-34.6299999,-58.4480877,2021-03-26
"79","La Posta de Achaval, Ciudad de Buenos Aires","viernes",12,15,-34.6299999,-58.4480877,2021-03-26
"80","La Posta de Achaval, Ciudad de Buenos Aires","viernes",13,17.25,-34.6299999,-58.4480877,2021-03-26
"81","La Posta de Achaval, Ciudad de Buenos Aires","viernes",14,17.25,-34.6299999,-58.4480877,2021-03-26
"82","La Posta de Achaval, Ciudad de Buenos Aires","viernes",15,15,-34.6299999,-58.4480877,2021-03-26
"83","La Posta de Achaval, Ciudad de Buenos Aires","viernes",16,11.25,-34.6299999,-58.4480877,2021-03-26
"84","La Posta de Achaval, Ciudad de Buenos Aires","viernes",17,8.25,-34.6299999,-58.4480877,2021-03-26
"85","La Posta de Achaval, Ciudad de Buenos Aires","viernes",18,10.5,-34.6299999,-58.4480877,2021-03-26
"86","La Posta de Achaval, Ciudad de Buenos Aires","viernes",19,22.5,-34.6299999,-58.4480877,2021-03-26
"87","La Posta de Achaval, Ciudad de Buenos Aires","viernes",20,42.75,-34.6299999,-58.4480877,2021-03-26
"88","La Posta de Achaval, Ciudad de Buenos Aires","viernes",21,60.75,-34.6299999,-58.4480877,2021-03-26
"89","La Posta de Achaval, Ciudad de Buenos Aires","viernes",22,62.25,-34.6299999,-58.4480877,2021-03-26
"90","La Posta de Achaval, Ciudad de Buenos Aires","viernes",23,45.75,-34.6299999,-58.4480877,2021-03-26
"91","La Posta de Achaval, Ciudad de Buenos Aires","sabado",6,0,-34.6299999,-58.4480877,2021-03-26
"92","La Posta de Achaval, Ciudad de Buenos Aires","sabado",7,0.75,-34.6299999,-58.4480877,2021-03-26
"93","La Posta de Achaval, Ciudad de Buenos Aires","sabado",8,1.5,-34.6299999,-58.4480877,2021-03-26
"94","La Posta de Achaval, Ciudad de Buenos Aires","sabado",9,3,-34.6299999,-58.4480877,2021-03-26
"95","La Posta de Achaval, Ciudad de Buenos Aires","sabado",10,6,-34.6299999,-58.4480877,2021-03-26
"96","La Posta de Achaval, Ciudad de Buenos Aires","sabado",11,9.75,-34.6299999,-58.4480877,2021-03-26
"97","La Posta de Achaval, Ciudad de Buenos Aires","sabado",12,15,-34.6299999,-58.4480877,2021-03-26
