"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Reina Kunti, Ciudad de Buenos Aires","martes",6,0,-34.6029374,-58.4137504,2021-03-26
"2","La Reina Kunti, Ciudad de Buenos Aires","martes",7,0,-34.6029374,-58.4137504,2021-03-26
"3","La Reina Kunti, Ciudad de Buenos Aires","martes",8,0,-34.6029374,-58.4137504,2021-03-26
"4","La Reina Kunti, Ciudad de Buenos Aires","martes",9,0,-34.6029374,-58.4137504,2021-03-26
"5","La Reina Kunti, Ciudad de Buenos Aires","martes",10,0,-34.6029374,-58.4137504,2021-03-26
"6","La Reina Kunti, Ciudad de Buenos Aires","martes",11,0,-34.6029374,-58.4137504,2021-03-26
"7","La Reina Kunti, Ciudad de Buenos Aires","martes",12,12.75,-34.6029374,-58.4137504,2021-03-26
"8","La Reina Kunti, Ciudad de Buenos Aires","martes",13,17.25,-34.6029374,-58.4137504,2021-03-26
"9","La Reina Kunti, Ciudad de Buenos Aires","martes",14,21.75,-34.6029374,-58.4137504,2021-03-26
"10","La Reina Kunti, Ciudad de Buenos Aires","martes",15,0,-34.6029374,-58.4137504,2021-03-26
"11","La Reina Kunti, Ciudad de Buenos Aires","martes",16,0,-34.6029374,-58.4137504,2021-03-26
"12","La Reina Kunti, Ciudad de Buenos Aires","martes",17,0,-34.6029374,-58.4137504,2021-03-26
"13","La Reina Kunti, Ciudad de Buenos Aires","martes",18,0,-34.6029374,-58.4137504,2021-03-26
"14","La Reina Kunti, Ciudad de Buenos Aires","martes",19,0,-34.6029374,-58.4137504,2021-03-26
"15","La Reina Kunti, Ciudad de Buenos Aires","martes",20,35.25,-34.6029374,-58.4137504,2021-03-26
"16","La Reina Kunti, Ciudad de Buenos Aires","martes",21,26.25,-34.6029374,-58.4137504,2021-03-26
"17","La Reina Kunti, Ciudad de Buenos Aires","martes",22,12.75,-34.6029374,-58.4137504,2021-03-26
"18","La Reina Kunti, Ciudad de Buenos Aires","martes",23,8.25,-34.6029374,-58.4137504,2021-03-26
"19","La Reina Kunti, Ciudad de Buenos Aires","miercoles",6,0,-34.6029374,-58.4137504,2021-03-26
"20","La Reina Kunti, Ciudad de Buenos Aires","miercoles",7,0,-34.6029374,-58.4137504,2021-03-26
"21","La Reina Kunti, Ciudad de Buenos Aires","miercoles",8,0,-34.6029374,-58.4137504,2021-03-26
"22","La Reina Kunti, Ciudad de Buenos Aires","miercoles",9,0,-34.6029374,-58.4137504,2021-03-26
"23","La Reina Kunti, Ciudad de Buenos Aires","miercoles",10,0,-34.6029374,-58.4137504,2021-03-26
"24","La Reina Kunti, Ciudad de Buenos Aires","miercoles",11,0,-34.6029374,-58.4137504,2021-03-26
