"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Robla Cooperativa, Ciudad de Buenos Aires","martes",6,0,-34.6089114,-58.3762856,2021-03-26
"2","La Robla Cooperativa, Ciudad de Buenos Aires","martes",7,0,-34.6089114,-58.3762856,2021-03-26
"3","La Robla Cooperativa, Ciudad de Buenos Aires","martes",8,2.25,-34.6089114,-58.3762856,2021-03-26
"4","La Robla Cooperativa, Ciudad de Buenos Aires","martes",9,12.75,-34.6089114,-58.3762856,2021-03-26
"5","La Robla Cooperativa, Ciudad de Buenos Aires","martes",10,27,-34.6089114,-58.3762856,2021-03-26
"6","La Robla Cooperativa, Ciudad de Buenos Aires","martes",11,39.75,-34.6089114,-58.3762856,2021-03-26
"7","La Robla Cooperativa, Ciudad de Buenos Aires","martes",12,47.25,-34.6089114,-58.3762856,2021-03-26
"8","La Robla Cooperativa, Ciudad de Buenos Aires","martes",13,48,-34.6089114,-58.3762856,2021-03-26
"9","La Robla Cooperativa, Ciudad de Buenos Aires","martes",14,40.5,-34.6089114,-58.3762856,2021-03-26
"10","La Robla Cooperativa, Ciudad de Buenos Aires","martes",15,0,-34.6089114,-58.3762856,2021-03-26
"11","La Robla Cooperativa, Ciudad de Buenos Aires","martes",16,0,-34.6089114,-58.3762856,2021-03-26
"12","La Robla Cooperativa, Ciudad de Buenos Aires","martes",17,0,-34.6089114,-58.3762856,2021-03-26
"13","La Robla Cooperativa, Ciudad de Buenos Aires","martes",18,0,-34.6089114,-58.3762856,2021-03-26
"14","La Robla Cooperativa, Ciudad de Buenos Aires","martes",19,0,-34.6089114,-58.3762856,2021-03-26
"15","La Robla Cooperativa, Ciudad de Buenos Aires","martes",20,0,-34.6089114,-58.3762856,2021-03-26
"16","La Robla Cooperativa, Ciudad de Buenos Aires","martes",21,0,-34.6089114,-58.3762856,2021-03-26
"17","La Robla Cooperativa, Ciudad de Buenos Aires","martes",22,0,-34.6089114,-58.3762856,2021-03-26
"18","La Robla Cooperativa, Ciudad de Buenos Aires","martes",23,0,-34.6089114,-58.3762856,2021-03-26
"19","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",6,0,-34.6089114,-58.3762856,2021-03-26
"20","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",7,0,-34.6089114,-58.3762856,2021-03-26
"21","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",8,1.5,-34.6089114,-58.3762856,2021-03-26
"22","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",9,8.25,-34.6089114,-58.3762856,2021-03-26
"23","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",10,18,-34.6089114,-58.3762856,2021-03-26
"24","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",11,15,-34.6089114,-58.3762856,2021-03-26
"25","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",12,16.5,-34.6089114,-58.3762856,2021-03-26
"26","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",13,29.25,-34.6089114,-58.3762856,2021-03-26
"27","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",14,36,-34.6089114,-58.3762856,2021-03-26
"28","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",15,0,-34.6089114,-58.3762856,2021-03-26
"29","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",16,0,-34.6089114,-58.3762856,2021-03-26
"30","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",17,0,-34.6089114,-58.3762856,2021-03-26
"31","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",18,0,-34.6089114,-58.3762856,2021-03-26
"32","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",19,0,-34.6089114,-58.3762856,2021-03-26
"33","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",20,0,-34.6089114,-58.3762856,2021-03-26
"34","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",21,0,-34.6089114,-58.3762856,2021-03-26
"35","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",22,0,-34.6089114,-58.3762856,2021-03-26
"36","La Robla Cooperativa, Ciudad de Buenos Aires","miercoles",23,0,-34.6089114,-58.3762856,2021-03-26
"37","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",6,0,-34.6089114,-58.3762856,2021-03-26
"38","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",7,0,-34.6089114,-58.3762856,2021-03-26
"39","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",8,1.5,-34.6089114,-58.3762856,2021-03-26
"40","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",9,4.5,-34.6089114,-58.3762856,2021-03-26
"41","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",10,12.75,-34.6089114,-58.3762856,2021-03-26
"42","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",11,21,-34.6089114,-58.3762856,2021-03-26
"43","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",12,27.75,-34.6089114,-58.3762856,2021-03-26
"44","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",13,31.5,-34.6089114,-58.3762856,2021-03-26
"45","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",14,29.25,-34.6089114,-58.3762856,2021-03-26
"46","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",15,23.25,-34.6089114,-58.3762856,2021-03-26
"47","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",16,17.25,-34.6089114,-58.3762856,2021-03-26
"48","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",17,12.75,-34.6089114,-58.3762856,2021-03-26
"49","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",18,13.5,-34.6089114,-58.3762856,2021-03-26
"50","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",19,18.75,-34.6089114,-58.3762856,2021-03-26
"51","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",20,22.5,-34.6089114,-58.3762856,2021-03-26
"52","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",21,21,-34.6089114,-58.3762856,2021-03-26
"53","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",22,13.5,-34.6089114,-58.3762856,2021-03-26
"54","La Robla Cooperativa, Ciudad de Buenos Aires","jueves",23,3,-34.6089114,-58.3762856,2021-03-26
"55","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",6,0,-34.6089114,-58.3762856,2021-03-26
"56","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",7,0,-34.6089114,-58.3762856,2021-03-26
"57","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",8,1.5,-34.6089114,-58.3762856,2021-03-26
"58","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",9,6.75,-34.6089114,-58.3762856,2021-03-26
"59","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",10,18.75,-34.6089114,-58.3762856,2021-03-26
"60","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",11,32.25,-34.6089114,-58.3762856,2021-03-26
"61","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",12,42,-34.6089114,-58.3762856,2021-03-26
"62","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",13,45.75,-34.6089114,-58.3762856,2021-03-26
"63","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",14,42,-34.6089114,-58.3762856,2021-03-26
"64","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",15,34.5,-34.6089114,-58.3762856,2021-03-26
"65","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",16,29.25,-34.6089114,-58.3762856,2021-03-26
"66","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",17,27.75,-34.6089114,-58.3762856,2021-03-26
"67","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",18,24,-34.6089114,-58.3762856,2021-03-26
"68","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",19,20.25,-34.6089114,-58.3762856,2021-03-26
"69","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",20,22.5,-34.6089114,-58.3762856,2021-03-26
"70","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",21,29.25,-34.6089114,-58.3762856,2021-03-26
"71","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",22,29.25,-34.6089114,-58.3762856,2021-03-26
"72","La Robla Cooperativa, Ciudad de Buenos Aires","viernes",23,18.75,-34.6089114,-58.3762856,2021-03-26
"73","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",6,0,-34.6089114,-58.3762856,2021-03-26
"74","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",7,0,-34.6089114,-58.3762856,2021-03-26
"75","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",8,1.5,-34.6089114,-58.3762856,2021-03-26
"76","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",9,1.5,-34.6089114,-58.3762856,2021-03-26
"77","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",10,3.75,-34.6089114,-58.3762856,2021-03-26
"78","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",11,11.25,-34.6089114,-58.3762856,2021-03-26
"79","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",12,19.5,-34.6089114,-58.3762856,2021-03-26
"80","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",13,28.5,-34.6089114,-58.3762856,2021-03-26
"81","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",14,33,-34.6089114,-58.3762856,2021-03-26
"82","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",15,33.75,-34.6089114,-58.3762856,2021-03-26
"83","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",16,30.75,-34.6089114,-58.3762856,2021-03-26
"84","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",17,26.25,-34.6089114,-58.3762856,2021-03-26
"85","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",18,23.25,-34.6089114,-58.3762856,2021-03-26
"86","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",19,30,-34.6089114,-58.3762856,2021-03-26
"87","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",20,44.25,-34.6089114,-58.3762856,2021-03-26
"88","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",21,60.75,-34.6089114,-58.3762856,2021-03-26
"89","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",22,66,-34.6089114,-58.3762856,2021-03-26
"90","La Robla Cooperativa, Ciudad de Buenos Aires","sabado",23,54.75,-34.6089114,-58.3762856,2021-03-26
"91","La Robla Cooperativa, Ciudad de Buenos Aires","domingo",6,0,-34.6089114,-58.3762856,2021-03-26
