"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Rossi Maniera, Ciudad de Buenos Aires","lunes",6,0,-34.5511184,-58.4693309,2021-03-27
"2","La Rossi Maniera, Ciudad de Buenos Aires","lunes",7,0,-34.5511184,-58.4693309,2021-03-27
"3","La Rossi Maniera, Ciudad de Buenos Aires","lunes",8,0,-34.5511184,-58.4693309,2021-03-27
"4","La Rossi Maniera, Ciudad de Buenos Aires","lunes",9,0,-34.5511184,-58.4693309,2021-03-27
"5","La Rossi Maniera, Ciudad de Buenos Aires","lunes",10,0,-34.5511184,-58.4693309,2021-03-27
"6","La Rossi Maniera, Ciudad de Buenos Aires","lunes",11,0.75,-34.5511184,-58.4693309,2021-03-27
"7","La Rossi Maniera, Ciudad de Buenos Aires","lunes",12,8.25,-34.5511184,-58.4693309,2021-03-27
"8","La Rossi Maniera, Ciudad de Buenos Aires","lunes",13,14.25,-34.5511184,-58.4693309,2021-03-27
"9","La Rossi Maniera, Ciudad de Buenos Aires","lunes",14,12.75,-34.5511184,-58.4693309,2021-03-27
"10","La Rossi Maniera, Ciudad de Buenos Aires","lunes",15,6,-34.5511184,-58.4693309,2021-03-27
"11","La Rossi Maniera, Ciudad de Buenos Aires","lunes",16,2.25,-34.5511184,-58.4693309,2021-03-27
"12","La Rossi Maniera, Ciudad de Buenos Aires","lunes",17,1.5,-34.5511184,-58.4693309,2021-03-27
"13","La Rossi Maniera, Ciudad de Buenos Aires","lunes",18,3,-34.5511184,-58.4693309,2021-03-27
"14","La Rossi Maniera, Ciudad de Buenos Aires","lunes",19,6.75,-34.5511184,-58.4693309,2021-03-27
"15","La Rossi Maniera, Ciudad de Buenos Aires","lunes",20,16.5,-34.5511184,-58.4693309,2021-03-27
"16","La Rossi Maniera, Ciudad de Buenos Aires","lunes",21,32.25,-34.5511184,-58.4693309,2021-03-27
"17","La Rossi Maniera, Ciudad de Buenos Aires","lunes",22,39,-34.5511184,-58.4693309,2021-03-27
"18","La Rossi Maniera, Ciudad de Buenos Aires","lunes",23,27.75,-34.5511184,-58.4693309,2021-03-27
"19","La Rossi Maniera, Ciudad de Buenos Aires","martes",0,10.5,-34.5511184,-58.4693309,2021-03-27
"20","La Rossi Maniera, Ciudad de Buenos Aires","martes",6,0,-34.5511184,-58.4693309,2021-03-27
"21","La Rossi Maniera, Ciudad de Buenos Aires","martes",7,0,-34.5511184,-58.4693309,2021-03-27
"22","La Rossi Maniera, Ciudad de Buenos Aires","martes",8,0,-34.5511184,-58.4693309,2021-03-27
"23","La Rossi Maniera, Ciudad de Buenos Aires","martes",9,0,-34.5511184,-58.4693309,2021-03-27
"24","La Rossi Maniera, Ciudad de Buenos Aires","martes",10,0,-34.5511184,-58.4693309,2021-03-27
"25","La Rossi Maniera, Ciudad de Buenos Aires","martes",11,3.75,-34.5511184,-58.4693309,2021-03-27
"26","La Rossi Maniera, Ciudad de Buenos Aires","martes",12,8.25,-34.5511184,-58.4693309,2021-03-27
"27","La Rossi Maniera, Ciudad de Buenos Aires","martes",13,11.25,-34.5511184,-58.4693309,2021-03-27
"28","La Rossi Maniera, Ciudad de Buenos Aires","martes",14,11.25,-34.5511184,-58.4693309,2021-03-27
