"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","La Veneziana, Ciudad de Buenos Aires","lunes",6,0,-34.6156301,-58.4517022,2021-03-27
"2","La Veneziana, Ciudad de Buenos Aires","lunes",7,0,-34.6156301,-58.4517022,2021-03-27
"3","La Veneziana, Ciudad de Buenos Aires","lunes",8,0,-34.6156301,-58.4517022,2021-03-27
"4","La Veneziana, Ciudad de Buenos Aires","lunes",9,0,-34.6156301,-58.4517022,2021-03-27
"5","La Veneziana, Ciudad de Buenos Aires","lunes",10,0,-34.6156301,-58.4517022,2021-03-27
"6","La Veneziana, Ciudad de Buenos Aires","lunes",11,0,-34.6156301,-58.4517022,2021-03-27
"7","La Veneziana, Ciudad de Buenos Aires","lunes",12,3.75,-34.6156301,-58.4517022,2021-03-27
"8","La Veneziana, Ciudad de Buenos Aires","lunes",13,6,-34.6156301,-58.4517022,2021-03-27
"9","La Veneziana, Ciudad de Buenos Aires","lunes",14,7.5,-34.6156301,-58.4517022,2021-03-27
"10","La Veneziana, Ciudad de Buenos Aires","lunes",15,11.25,-34.6156301,-58.4517022,2021-03-27
"11","La Veneziana, Ciudad de Buenos Aires","lunes",16,19.5,-34.6156301,-58.4517022,2021-03-27
"12","La Veneziana, Ciudad de Buenos Aires","lunes",17,30,-34.6156301,-58.4517022,2021-03-27
"13","La Veneziana, Ciudad de Buenos Aires","lunes",18,36,-34.6156301,-58.4517022,2021-03-27
"14","La Veneziana, Ciudad de Buenos Aires","lunes",19,30.75,-34.6156301,-58.4517022,2021-03-27
"15","La Veneziana, Ciudad de Buenos Aires","lunes",20,22.5,-34.6156301,-58.4517022,2021-03-27
"16","La Veneziana, Ciudad de Buenos Aires","lunes",21,21,-34.6156301,-58.4517022,2021-03-27
"17","La Veneziana, Ciudad de Buenos Aires","lunes",22,24.75,-34.6156301,-58.4517022,2021-03-27
"18","La Veneziana, Ciudad de Buenos Aires","lunes",23,21,-34.6156301,-58.4517022,2021-03-27
"19","La Veneziana, Ciudad de Buenos Aires","miercoles",6,0,-34.6156301,-58.4517022,2021-03-27
"20","La Veneziana, Ciudad de Buenos Aires","miercoles",7,0,-34.6156301,-58.4517022,2021-03-27
"21","La Veneziana, Ciudad de Buenos Aires","miercoles",8,0,-34.6156301,-58.4517022,2021-03-27
"22","La Veneziana, Ciudad de Buenos Aires","miercoles",9,0,-34.6156301,-58.4517022,2021-03-27
"23","La Veneziana, Ciudad de Buenos Aires","miercoles",10,0,-34.6156301,-58.4517022,2021-03-27
"24","La Veneziana, Ciudad de Buenos Aires","miercoles",11,0,-34.6156301,-58.4517022,2021-03-27
"25","La Veneziana, Ciudad de Buenos Aires","miercoles",12,7.5,-34.6156301,-58.4517022,2021-03-27
"26","La Veneziana, Ciudad de Buenos Aires","miercoles",13,9.75,-34.6156301,-58.4517022,2021-03-27
"27","La Veneziana, Ciudad de Buenos Aires","miercoles",14,12.75,-34.6156301,-58.4517022,2021-03-27
"28","La Veneziana, Ciudad de Buenos Aires","miercoles",15,18,-34.6156301,-58.4517022,2021-03-27
"29","La Veneziana, Ciudad de Buenos Aires","miercoles",16,25.5,-34.6156301,-58.4517022,2021-03-27
"30","La Veneziana, Ciudad de Buenos Aires","miercoles",17,31.5,-34.6156301,-58.4517022,2021-03-27
"31","La Veneziana, Ciudad de Buenos Aires","miercoles",18,35.25,-34.6156301,-58.4517022,2021-03-27
"32","La Veneziana, Ciudad de Buenos Aires","miercoles",19,33.75,-34.6156301,-58.4517022,2021-03-27
"33","La Veneziana, Ciudad de Buenos Aires","miercoles",20,30.75,-34.6156301,-58.4517022,2021-03-27
"34","La Veneziana, Ciudad de Buenos Aires","miercoles",21,29.25,-34.6156301,-58.4517022,2021-03-27
"35","La Veneziana, Ciudad de Buenos Aires","miercoles",22,27.75,-34.6156301,-58.4517022,2021-03-27
"36","La Veneziana, Ciudad de Buenos Aires","miercoles",23,24,-34.6156301,-58.4517022,2021-03-27
"37","La Veneziana, Ciudad de Buenos Aires","jueves",6,0,-34.6156301,-58.4517022,2021-03-27
"38","La Veneziana, Ciudad de Buenos Aires","jueves",7,0,-34.6156301,-58.4517022,2021-03-27
"39","La Veneziana, Ciudad de Buenos Aires","jueves",8,0,-34.6156301,-58.4517022,2021-03-27
"40","La Veneziana, Ciudad de Buenos Aires","jueves",9,0,-34.6156301,-58.4517022,2021-03-27
"41","La Veneziana, Ciudad de Buenos Aires","jueves",10,0,-34.6156301,-58.4517022,2021-03-27
"42","La Veneziana, Ciudad de Buenos Aires","jueves",11,0,-34.6156301,-58.4517022,2021-03-27
"43","La Veneziana, Ciudad de Buenos Aires","jueves",12,9.75,-34.6156301,-58.4517022,2021-03-27
"44","La Veneziana, Ciudad de Buenos Aires","jueves",13,14.25,-34.6156301,-58.4517022,2021-03-27
"45","La Veneziana, Ciudad de Buenos Aires","jueves",14,19.5,-34.6156301,-58.4517022,2021-03-27
"46","La Veneziana, Ciudad de Buenos Aires","jueves",15,26.25,-34.6156301,-58.4517022,2021-03-27
"47","La Veneziana, Ciudad de Buenos Aires","jueves",16,33,-34.6156301,-58.4517022,2021-03-27
"48","La Veneziana, Ciudad de Buenos Aires","jueves",17,37.5,-34.6156301,-58.4517022,2021-03-27
"49","La Veneziana, Ciudad de Buenos Aires","jueves",18,38.25,-34.6156301,-58.4517022,2021-03-27
"50","La Veneziana, Ciudad de Buenos Aires","jueves",19,35.25,-34.6156301,-58.4517022,2021-03-27
"51","La Veneziana, Ciudad de Buenos Aires","jueves",20,28.5,-34.6156301,-58.4517022,2021-03-27
"52","La Veneziana, Ciudad de Buenos Aires","jueves",21,27,-34.6156301,-58.4517022,2021-03-27
"53","La Veneziana, Ciudad de Buenos Aires","jueves",22,37.5,-34.6156301,-58.4517022,2021-03-27
"54","La Veneziana, Ciudad de Buenos Aires","jueves",23,41.25,-34.6156301,-58.4517022,2021-03-27
"55","La Veneziana, Ciudad de Buenos Aires","viernes",6,0,-34.6156301,-58.4517022,2021-03-27
"56","La Veneziana, Ciudad de Buenos Aires","viernes",7,0,-34.6156301,-58.4517022,2021-03-27
"57","La Veneziana, Ciudad de Buenos Aires","viernes",8,0,-34.6156301,-58.4517022,2021-03-27
"58","La Veneziana, Ciudad de Buenos Aires","viernes",9,0,-34.6156301,-58.4517022,2021-03-27
"59","La Veneziana, Ciudad de Buenos Aires","viernes",10,0,-34.6156301,-58.4517022,2021-03-27
"60","La Veneziana, Ciudad de Buenos Aires","viernes",11,0,-34.6156301,-58.4517022,2021-03-27
"61","La Veneziana, Ciudad de Buenos Aires","viernes",12,7.5,-34.6156301,-58.4517022,2021-03-27
"62","La Veneziana, Ciudad de Buenos Aires","viernes",13,12.75,-34.6156301,-58.4517022,2021-03-27
"63","La Veneziana, Ciudad de Buenos Aires","viernes",14,18,-34.6156301,-58.4517022,2021-03-27
"64","La Veneziana, Ciudad de Buenos Aires","viernes",15,24,-34.6156301,-58.4517022,2021-03-27
"65","La Veneziana, Ciudad de Buenos Aires","viernes",16,29.25,-34.6156301,-58.4517022,2021-03-27
"66","La Veneziana, Ciudad de Buenos Aires","viernes",17,32.25,-34.6156301,-58.4517022,2021-03-27
"67","La Veneziana, Ciudad de Buenos Aires","viernes",18,33.75,-34.6156301,-58.4517022,2021-03-27
"68","La Veneziana, Ciudad de Buenos Aires","viernes",19,33,-34.6156301,-58.4517022,2021-03-27
"69","La Veneziana, Ciudad de Buenos Aires","viernes",20,32.25,-34.6156301,-58.4517022,2021-03-27
"70","La Veneziana, Ciudad de Buenos Aires","viernes",21,36,-34.6156301,-58.4517022,2021-03-27
"71","La Veneziana, Ciudad de Buenos Aires","viernes",22,51.75,-34.6156301,-58.4517022,2021-03-27
"72","La Veneziana, Ciudad de Buenos Aires","viernes",23,62.25,-34.6156301,-58.4517022,2021-03-27
"73","La Veneziana, Ciudad de Buenos Aires","sabado",6,0,-34.6156301,-58.4517022,2021-03-27
"74","La Veneziana, Ciudad de Buenos Aires","sabado",7,0,-34.6156301,-58.4517022,2021-03-27
"75","La Veneziana, Ciudad de Buenos Aires","sabado",8,0,-34.6156301,-58.4517022,2021-03-27
"76","La Veneziana, Ciudad de Buenos Aires","sabado",9,0,-34.6156301,-58.4517022,2021-03-27
"77","La Veneziana, Ciudad de Buenos Aires","sabado",10,0,-34.6156301,-58.4517022,2021-03-27
"78","La Veneziana, Ciudad de Buenos Aires","sabado",11,0,-34.6156301,-58.4517022,2021-03-27
"79","La Veneziana, Ciudad de Buenos Aires","sabado",12,8.25,-34.6156301,-58.4517022,2021-03-27
"80","La Veneziana, Ciudad de Buenos Aires","sabado",13,13.5,-34.6156301,-58.4517022,2021-03-27
"81","La Veneziana, Ciudad de Buenos Aires","sabado",14,20.25,-34.6156301,-58.4517022,2021-03-27
"82","La Veneziana, Ciudad de Buenos Aires","sabado",15,27,-34.6156301,-58.4517022,2021-03-27
"83","La Veneziana, Ciudad de Buenos Aires","sabado",16,33,-34.6156301,-58.4517022,2021-03-27
"84","La Veneziana, Ciudad de Buenos Aires","sabado",17,39,-34.6156301,-58.4517022,2021-03-27
"85","La Veneziana, Ciudad de Buenos Aires","sabado",18,42,-34.6156301,-58.4517022,2021-03-27
"86","La Veneziana, Ciudad de Buenos Aires","sabado",19,42,-34.6156301,-58.4517022,2021-03-27
"87","La Veneziana, Ciudad de Buenos Aires","sabado",20,39.75,-34.6156301,-58.4517022,2021-03-27
"88","La Veneziana, Ciudad de Buenos Aires","sabado",21,37.5,-34.6156301,-58.4517022,2021-03-27
"89","La Veneziana, Ciudad de Buenos Aires","sabado",22,54,-34.6156301,-58.4517022,2021-03-27
"90","La Veneziana, Ciudad de Buenos Aires","sabado",23,75,-34.6156301,-58.4517022,2021-03-27
"91","La Veneziana, Ciudad de Buenos Aires","domingo",6,0,-34.6156301,-58.4517022,2021-03-27
"92","La Veneziana, Ciudad de Buenos Aires","domingo",7,0,-34.6156301,-58.4517022,2021-03-27
"93","La Veneziana, Ciudad de Buenos Aires","domingo",8,0,-34.6156301,-58.4517022,2021-03-27
"94","La Veneziana, Ciudad de Buenos Aires","domingo",9,0,-34.6156301,-58.4517022,2021-03-27
"95","La Veneziana, Ciudad de Buenos Aires","domingo",10,0,-34.6156301,-58.4517022,2021-03-27
"96","La Veneziana, Ciudad de Buenos Aires","domingo",11,0,-34.6156301,-58.4517022,2021-03-27
"97","La Veneziana, Ciudad de Buenos Aires","domingo",12,8.25,-34.6156301,-58.4517022,2021-03-27
"98","La Veneziana, Ciudad de Buenos Aires","domingo",13,13.5,-34.6156301,-58.4517022,2021-03-27
"99","La Veneziana, Ciudad de Buenos Aires","domingo",14,20.25,-34.6156301,-58.4517022,2021-03-27
"100","La Veneziana, Ciudad de Buenos Aires","domingo",15,27,-34.6156301,-58.4517022,2021-03-27
"101","La Veneziana, Ciudad de Buenos Aires","domingo",16,33,-34.6156301,-58.4517022,2021-03-27
"102","La Veneziana, Ciudad de Buenos Aires","domingo",17,39,-34.6156301,-58.4517022,2021-03-27
"103","La Veneziana, Ciudad de Buenos Aires","domingo",18,42,-34.6156301,-58.4517022,2021-03-27
"104","La Veneziana, Ciudad de Buenos Aires","domingo",19,42,-34.6156301,-58.4517022,2021-03-27
"105","La Veneziana, Ciudad de Buenos Aires","domingo",20,39.75,-34.6156301,-58.4517022,2021-03-27
"106","La Veneziana, Ciudad de Buenos Aires","domingo",21,37.5,-34.6156301,-58.4517022,2021-03-27
"107","La Veneziana, Ciudad de Buenos Aires","domingo",22,54,-34.6156301,-58.4517022,2021-03-27
"108","La Veneziana, Ciudad de Buenos Aires","domingo",23,75,-34.6156301,-58.4517022,2021-03-27
