"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Lacabana, Ciudad de Buenos Aires","lunes",6,0,-34.6041125,-58.3667389,2021-03-30
"2","Lacabana, Ciudad de Buenos Aires","lunes",7,0,-34.6041125,-58.3667389,2021-03-30
"3","Lacabana, Ciudad de Buenos Aires","lunes",8,0,-34.6041125,-58.3667389,2021-03-30
"4","Lacabana, Ciudad de Buenos Aires","lunes",9,0,-34.6041125,-58.3667389,2021-03-30
"5","Lacabana, Ciudad de Buenos Aires","lunes",10,0,-34.6041125,-58.3667389,2021-03-30
"6","Lacabana, Ciudad de Buenos Aires","lunes",11,0,-34.6041125,-58.3667389,2021-03-30
"7","Lacabana, Ciudad de Buenos Aires","lunes",12,0,-34.6041125,-58.3667389,2021-03-30
"8","Lacabana, Ciudad de Buenos Aires","lunes",13,0,-34.6041125,-58.3667389,2021-03-30
"9","Lacabana, Ciudad de Buenos Aires","lunes",14,0,-34.6041125,-58.3667389,2021-03-30
"10","Lacabana, Ciudad de Buenos Aires","lunes",15,0,-34.6041125,-58.3667389,2021-03-30
"11","Lacabana, Ciudad de Buenos Aires","lunes",16,11.25,-34.6041125,-58.3667389,2021-03-30
"12","Lacabana, Ciudad de Buenos Aires","lunes",17,11.25,-34.6041125,-58.3667389,2021-03-30
"13","Lacabana, Ciudad de Buenos Aires","lunes",18,10.5,-34.6041125,-58.3667389,2021-03-30
"14","Lacabana, Ciudad de Buenos Aires","lunes",19,12,-34.6041125,-58.3667389,2021-03-30
"15","Lacabana, Ciudad de Buenos Aires","lunes",20,17.25,-34.6041125,-58.3667389,2021-03-30
"16","Lacabana, Ciudad de Buenos Aires","lunes",21,22.5,-34.6041125,-58.3667389,2021-03-30
"17","Lacabana, Ciudad de Buenos Aires","lunes",22,19.5,-34.6041125,-58.3667389,2021-03-30
"18","Lacabana, Ciudad de Buenos Aires","lunes",23,10.5,-34.6041125,-58.3667389,2021-03-30
"19","Lacabana, Ciudad de Buenos Aires","martes",0,2.25,-34.6041125,-58.3667389,2021-03-30
"20","Lacabana, Ciudad de Buenos Aires","martes",6,0,-34.6041125,-58.3667389,2021-03-30
"21","Lacabana, Ciudad de Buenos Aires","martes",7,0,-34.6041125,-58.3667389,2021-03-30
"22","Lacabana, Ciudad de Buenos Aires","martes",8,0,-34.6041125,-58.3667389,2021-03-30
"23","Lacabana, Ciudad de Buenos Aires","martes",9,0,-34.6041125,-58.3667389,2021-03-30
"24","Lacabana, Ciudad de Buenos Aires","martes",10,0,-34.6041125,-58.3667389,2021-03-30
"25","Lacabana, Ciudad de Buenos Aires","martes",11,0,-34.6041125,-58.3667389,2021-03-30
"26","Lacabana, Ciudad de Buenos Aires","martes",12,0,-34.6041125,-58.3667389,2021-03-30
"27","Lacabana, Ciudad de Buenos Aires","martes",13,0,-34.6041125,-58.3667389,2021-03-30
"28","Lacabana, Ciudad de Buenos Aires","martes",14,0,-34.6041125,-58.3667389,2021-03-30
"29","Lacabana, Ciudad de Buenos Aires","martes",15,0,-34.6041125,-58.3667389,2021-03-30
"30","Lacabana, Ciudad de Buenos Aires","martes",16,7.5,-34.6041125,-58.3667389,2021-03-30
"31","Lacabana, Ciudad de Buenos Aires","martes",17,6.75,-34.6041125,-58.3667389,2021-03-30
"32","Lacabana, Ciudad de Buenos Aires","martes",18,5.25,-34.6041125,-58.3667389,2021-03-30
"33","Lacabana, Ciudad de Buenos Aires","martes",19,4.5,-34.6041125,-58.3667389,2021-03-30
"34","Lacabana, Ciudad de Buenos Aires","martes",20,10.5,-34.6041125,-58.3667389,2021-03-30
"35","Lacabana, Ciudad de Buenos Aires","martes",21,25.5,-34.6041125,-58.3667389,2021-03-30
"36","Lacabana, Ciudad de Buenos Aires","martes",22,27,-34.6041125,-58.3667389,2021-03-30
"37","Lacabana, Ciudad de Buenos Aires","martes",23,10.5,-34.6041125,-58.3667389,2021-03-30
"38","Lacabana, Ciudad de Buenos Aires","miercoles",0,0.75,-34.6041125,-58.3667389,2021-03-30
"39","Lacabana, Ciudad de Buenos Aires","miercoles",6,0,-34.6041125,-58.3667389,2021-03-30
"40","Lacabana, Ciudad de Buenos Aires","miercoles",7,0,-34.6041125,-58.3667389,2021-03-30
"41","Lacabana, Ciudad de Buenos Aires","miercoles",8,0,-34.6041125,-58.3667389,2021-03-30
"42","Lacabana, Ciudad de Buenos Aires","miercoles",9,0,-34.6041125,-58.3667389,2021-03-30
"43","Lacabana, Ciudad de Buenos Aires","miercoles",10,0,-34.6041125,-58.3667389,2021-03-30
"44","Lacabana, Ciudad de Buenos Aires","miercoles",11,0,-34.6041125,-58.3667389,2021-03-30
"45","Lacabana, Ciudad de Buenos Aires","miercoles",12,0,-34.6041125,-58.3667389,2021-03-30
"46","Lacabana, Ciudad de Buenos Aires","miercoles",13,0,-34.6041125,-58.3667389,2021-03-30
"47","Lacabana, Ciudad de Buenos Aires","miercoles",14,0,-34.6041125,-58.3667389,2021-03-30
"48","Lacabana, Ciudad de Buenos Aires","miercoles",15,0,-34.6041125,-58.3667389,2021-03-30
"49","Lacabana, Ciudad de Buenos Aires","miercoles",16,7.5,-34.6041125,-58.3667389,2021-03-30
"50","Lacabana, Ciudad de Buenos Aires","miercoles",17,12.75,-34.6041125,-58.3667389,2021-03-30
"51","Lacabana, Ciudad de Buenos Aires","miercoles",18,12.75,-34.6041125,-58.3667389,2021-03-30
"52","Lacabana, Ciudad de Buenos Aires","miercoles",19,9,-34.6041125,-58.3667389,2021-03-30
"53","Lacabana, Ciudad de Buenos Aires","miercoles",20,12,-34.6041125,-58.3667389,2021-03-30
"54","Lacabana, Ciudad de Buenos Aires","miercoles",21,22.5,-34.6041125,-58.3667389,2021-03-30
"55","Lacabana, Ciudad de Buenos Aires","miercoles",22,26.25,-34.6041125,-58.3667389,2021-03-30
