"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Las Cañas, Ciudad de Buenos Aires","lunes",6,0,-34.6049001,-58.3894698,2021-03-26
"2","Las Cañas, Ciudad de Buenos Aires","lunes",7,0,-34.6049001,-58.3894698,2021-03-26
"3","Las Cañas, Ciudad de Buenos Aires","lunes",8,0,-34.6049001,-58.3894698,2021-03-26
"4","Las Cañas, Ciudad de Buenos Aires","lunes",9,0,-34.6049001,-58.3894698,2021-03-26
"5","Las Cañas, Ciudad de Buenos Aires","lunes",10,0,-34.6049001,-58.3894698,2021-03-26
"6","Las Cañas, Ciudad de Buenos Aires","lunes",11,0,-34.6049001,-58.3894698,2021-03-26
"7","Las Cañas, Ciudad de Buenos Aires","lunes",12,13.5,-34.6049001,-58.3894698,2021-03-26
"8","Las Cañas, Ciudad de Buenos Aires","lunes",13,31.5,-34.6049001,-58.3894698,2021-03-26
"9","Las Cañas, Ciudad de Buenos Aires","lunes",14,36,-34.6049001,-58.3894698,2021-03-26
"10","Las Cañas, Ciudad de Buenos Aires","lunes",15,20.25,-34.6049001,-58.3894698,2021-03-26
"11","Las Cañas, Ciudad de Buenos Aires","lunes",16,0,-34.6049001,-58.3894698,2021-03-26
"12","Las Cañas, Ciudad de Buenos Aires","lunes",17,0,-34.6049001,-58.3894698,2021-03-26
"13","Las Cañas, Ciudad de Buenos Aires","lunes",18,3,-34.6049001,-58.3894698,2021-03-26
"14","Las Cañas, Ciudad de Buenos Aires","lunes",19,9,-34.6049001,-58.3894698,2021-03-26
"15","Las Cañas, Ciudad de Buenos Aires","lunes",20,17.25,-34.6049001,-58.3894698,2021-03-26
"16","Las Cañas, Ciudad de Buenos Aires","lunes",21,23.25,-34.6049001,-58.3894698,2021-03-26
"17","Las Cañas, Ciudad de Buenos Aires","lunes",22,23.25,-34.6049001,-58.3894698,2021-03-26
"18","Las Cañas, Ciudad de Buenos Aires","lunes",23,17.25,-34.6049001,-58.3894698,2021-03-26
"19","Las Cañas, Ciudad de Buenos Aires","martes",0,9,-34.6049001,-58.3894698,2021-03-26
"20","Las Cañas, Ciudad de Buenos Aires","martes",6,0,-34.6049001,-58.3894698,2021-03-26
"21","Las Cañas, Ciudad de Buenos Aires","martes",7,0,-34.6049001,-58.3894698,2021-03-26
"22","Las Cañas, Ciudad de Buenos Aires","martes",8,0,-34.6049001,-58.3894698,2021-03-26
"23","Las Cañas, Ciudad de Buenos Aires","martes",9,0,-34.6049001,-58.3894698,2021-03-26
"24","Las Cañas, Ciudad de Buenos Aires","martes",10,0,-34.6049001,-58.3894698,2021-03-26
"25","Las Cañas, Ciudad de Buenos Aires","martes",11,0,-34.6049001,-58.3894698,2021-03-26
"26","Las Cañas, Ciudad de Buenos Aires","martes",12,9,-34.6049001,-58.3894698,2021-03-26
"27","Las Cañas, Ciudad de Buenos Aires","martes",13,27,-34.6049001,-58.3894698,2021-03-26
"28","Las Cañas, Ciudad de Buenos Aires","martes",14,39,-34.6049001,-58.3894698,2021-03-26
"29","Las Cañas, Ciudad de Buenos Aires","martes",15,27.75,-34.6049001,-58.3894698,2021-03-26
"30","Las Cañas, Ciudad de Buenos Aires","martes",16,0,-34.6049001,-58.3894698,2021-03-26
"31","Las Cañas, Ciudad de Buenos Aires","martes",17,0,-34.6049001,-58.3894698,2021-03-26
