"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Las Cholas, Ciudad de Buenos Aires","lunes",6,0,-34.571166,-58.4306967,2021-03-26
"2","Las Cholas, Ciudad de Buenos Aires","lunes",7,0,-34.571166,-58.4306967,2021-03-26
"3","Las Cholas, Ciudad de Buenos Aires","lunes",8,0,-34.571166,-58.4306967,2021-03-26
"4","Las Cholas, Ciudad de Buenos Aires","lunes",9,0,-34.571166,-58.4306967,2021-03-26
"5","Las Cholas, Ciudad de Buenos Aires","lunes",10,0,-34.571166,-58.4306967,2021-03-26
"6","Las Cholas, Ciudad de Buenos Aires","lunes",11,0,-34.571166,-58.4306967,2021-03-26
"7","Las Cholas, Ciudad de Buenos Aires","lunes",12,17.25,-34.571166,-58.4306967,2021-03-26
"8","Las Cholas, Ciudad de Buenos Aires","lunes",13,21.75,-34.571166,-58.4306967,2021-03-26
"9","Las Cholas, Ciudad de Buenos Aires","lunes",14,24,-34.571166,-58.4306967,2021-03-26
"10","Las Cholas, Ciudad de Buenos Aires","lunes",15,22.5,-34.571166,-58.4306967,2021-03-26
"11","Las Cholas, Ciudad de Buenos Aires","lunes",16,18,-34.571166,-58.4306967,2021-03-26
"12","Las Cholas, Ciudad de Buenos Aires","lunes",17,12.75,-34.571166,-58.4306967,2021-03-26
"13","Las Cholas, Ciudad de Buenos Aires","lunes",18,9,-34.571166,-58.4306967,2021-03-26
"14","Las Cholas, Ciudad de Buenos Aires","lunes",19,10.5,-34.571166,-58.4306967,2021-03-26
"15","Las Cholas, Ciudad de Buenos Aires","lunes",20,18.75,-34.571166,-58.4306967,2021-03-26
"16","Las Cholas, Ciudad de Buenos Aires","lunes",21,30.75,-34.571166,-58.4306967,2021-03-26
"17","Las Cholas, Ciudad de Buenos Aires","lunes",22,35.25,-34.571166,-58.4306967,2021-03-26
"18","Las Cholas, Ciudad de Buenos Aires","lunes",23,25.5,-34.571166,-58.4306967,2021-03-26
"19","Las Cholas, Ciudad de Buenos Aires","martes",0,12,-34.571166,-58.4306967,2021-03-26
"20","Las Cholas, Ciudad de Buenos Aires","martes",6,0,-34.571166,-58.4306967,2021-03-26
"21","Las Cholas, Ciudad de Buenos Aires","martes",7,0,-34.571166,-58.4306967,2021-03-26
"22","Las Cholas, Ciudad de Buenos Aires","martes",8,0,-34.571166,-58.4306967,2021-03-26
"23","Las Cholas, Ciudad de Buenos Aires","martes",9,0,-34.571166,-58.4306967,2021-03-26
"24","Las Cholas, Ciudad de Buenos Aires","martes",10,0,-34.571166,-58.4306967,2021-03-26
"25","Las Cholas, Ciudad de Buenos Aires","martes",11,0,-34.571166,-58.4306967,2021-03-26
"26","Las Cholas, Ciudad de Buenos Aires","martes",12,16.5,-34.571166,-58.4306967,2021-03-26
"27","Las Cholas, Ciudad de Buenos Aires","martes",13,21,-34.571166,-58.4306967,2021-03-26
"28","Las Cholas, Ciudad de Buenos Aires","martes",14,22.5,-34.571166,-58.4306967,2021-03-26
"29","Las Cholas, Ciudad de Buenos Aires","martes",15,21,-34.571166,-58.4306967,2021-03-26
"30","Las Cholas, Ciudad de Buenos Aires","martes",16,17.25,-34.571166,-58.4306967,2021-03-26
"31","Las Cholas, Ciudad de Buenos Aires","martes",17,12,-34.571166,-58.4306967,2021-03-26
"32","Las Cholas, Ciudad de Buenos Aires","martes",18,9,-34.571166,-58.4306967,2021-03-26
"33","Las Cholas, Ciudad de Buenos Aires","martes",19,11.25,-34.571166,-58.4306967,2021-03-26
"34","Las Cholas, Ciudad de Buenos Aires","martes",20,19.5,-34.571166,-58.4306967,2021-03-26
"35","Las Cholas, Ciudad de Buenos Aires","martes",21,28.5,-34.571166,-58.4306967,2021-03-26
"36","Las Cholas, Ciudad de Buenos Aires","martes",22,31.5,-34.571166,-58.4306967,2021-03-26
"37","Las Cholas, Ciudad de Buenos Aires","martes",23,25.5,-34.571166,-58.4306967,2021-03-26
"38","Las Cholas, Ciudad de Buenos Aires","miercoles",0,13.5,-34.571166,-58.4306967,2021-03-26
