"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Le Famiglie, Ciudad de Buenos Aires","lunes",6,0,-34.6136995,-58.3830093,2021-03-26
"2","Le Famiglie, Ciudad de Buenos Aires","lunes",7,0,-34.6136995,-58.3830093,2021-03-26
"3","Le Famiglie, Ciudad de Buenos Aires","lunes",8,0,-34.6136995,-58.3830093,2021-03-26
"4","Le Famiglie, Ciudad de Buenos Aires","lunes",9,0,-34.6136995,-58.3830093,2021-03-26
"5","Le Famiglie, Ciudad de Buenos Aires","lunes",10,0,-34.6136995,-58.3830093,2021-03-26
"6","Le Famiglie, Ciudad de Buenos Aires","lunes",11,0,-34.6136995,-58.3830093,2021-03-26
"7","Le Famiglie, Ciudad de Buenos Aires","lunes",12,0.75,-34.6136995,-58.3830093,2021-03-26
"8","Le Famiglie, Ciudad de Buenos Aires","lunes",13,3,-34.6136995,-58.3830093,2021-03-26
"9","Le Famiglie, Ciudad de Buenos Aires","lunes",14,6,-34.6136995,-58.3830093,2021-03-26
"10","Le Famiglie, Ciudad de Buenos Aires","lunes",15,3,-34.6136995,-58.3830093,2021-03-26
"11","Le Famiglie, Ciudad de Buenos Aires","lunes",16,0,-34.6136995,-58.3830093,2021-03-26
"12","Le Famiglie, Ciudad de Buenos Aires","lunes",17,0,-34.6136995,-58.3830093,2021-03-26
"13","Le Famiglie, Ciudad de Buenos Aires","lunes",18,0,-34.6136995,-58.3830093,2021-03-26
"14","Le Famiglie, Ciudad de Buenos Aires","lunes",19,0,-34.6136995,-58.3830093,2021-03-26
"15","Le Famiglie, Ciudad de Buenos Aires","lunes",20,4.5,-34.6136995,-58.3830093,2021-03-26
"16","Le Famiglie, Ciudad de Buenos Aires","lunes",21,11.25,-34.6136995,-58.3830093,2021-03-26
"17","Le Famiglie, Ciudad de Buenos Aires","lunes",22,11.25,-34.6136995,-58.3830093,2021-03-26
"18","Le Famiglie, Ciudad de Buenos Aires","lunes",23,4.5,-34.6136995,-58.3830093,2021-03-26
"19","Le Famiglie, Ciudad de Buenos Aires","martes",0,0.75,-34.6136995,-58.3830093,2021-03-26
"20","Le Famiglie, Ciudad de Buenos Aires","martes",6,0,-34.6136995,-58.3830093,2021-03-26
"21","Le Famiglie, Ciudad de Buenos Aires","martes",7,0,-34.6136995,-58.3830093,2021-03-26
"22","Le Famiglie, Ciudad de Buenos Aires","martes",8,0,-34.6136995,-58.3830093,2021-03-26
"23","Le Famiglie, Ciudad de Buenos Aires","martes",9,0,-34.6136995,-58.3830093,2021-03-26
"24","Le Famiglie, Ciudad de Buenos Aires","martes",10,0,-34.6136995,-58.3830093,2021-03-26
"25","Le Famiglie, Ciudad de Buenos Aires","martes",11,0,-34.6136995,-58.3830093,2021-03-26
"26","Le Famiglie, Ciudad de Buenos Aires","martes",12,16.5,-34.6136995,-58.3830093,2021-03-26
"27","Le Famiglie, Ciudad de Buenos Aires","martes",13,33,-34.6136995,-58.3830093,2021-03-26
"28","Le Famiglie, Ciudad de Buenos Aires","martes",14,30.75,-34.6136995,-58.3830093,2021-03-26
"29","Le Famiglie, Ciudad de Buenos Aires","martes",15,13.5,-34.6136995,-58.3830093,2021-03-26
