"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Le Nueva Gata, Ciudad de Buenos Aires","lunes",6,0,-34.594663,-58.397332,2021-03-27
"2","Le Nueva Gata, Ciudad de Buenos Aires","lunes",7,0,-34.594663,-58.397332,2021-03-27
"3","Le Nueva Gata, Ciudad de Buenos Aires","lunes",8,0,-34.594663,-58.397332,2021-03-27
"4","Le Nueva Gata, Ciudad de Buenos Aires","lunes",9,0,-34.594663,-58.397332,2021-03-27
"5","Le Nueva Gata, Ciudad de Buenos Aires","lunes",10,0,-34.594663,-58.397332,2021-03-27
"6","Le Nueva Gata, Ciudad de Buenos Aires","lunes",11,0,-34.594663,-58.397332,2021-03-27
"7","Le Nueva Gata, Ciudad de Buenos Aires","lunes",12,20.25,-34.594663,-58.397332,2021-03-27
"8","Le Nueva Gata, Ciudad de Buenos Aires","lunes",13,25.5,-34.594663,-58.397332,2021-03-27
"9","Le Nueva Gata, Ciudad de Buenos Aires","lunes",14,20.25,-34.594663,-58.397332,2021-03-27
"10","Le Nueva Gata, Ciudad de Buenos Aires","lunes",15,10.5,-34.594663,-58.397332,2021-03-27
"11","Le Nueva Gata, Ciudad de Buenos Aires","lunes",16,4.5,-34.594663,-58.397332,2021-03-27
"12","Le Nueva Gata, Ciudad de Buenos Aires","lunes",17,1.5,-34.594663,-58.397332,2021-03-27
"13","Le Nueva Gata, Ciudad de Buenos Aires","lunes",18,6,-34.594663,-58.397332,2021-03-27
"14","Le Nueva Gata, Ciudad de Buenos Aires","lunes",19,25.5,-34.594663,-58.397332,2021-03-27
"15","Le Nueva Gata, Ciudad de Buenos Aires","lunes",20,38.25,-34.594663,-58.397332,2021-03-27
"16","Le Nueva Gata, Ciudad de Buenos Aires","lunes",21,55.5,-34.594663,-58.397332,2021-03-27
"17","Le Nueva Gata, Ciudad de Buenos Aires","lunes",22,75,-34.594663,-58.397332,2021-03-27
"18","Le Nueva Gata, Ciudad de Buenos Aires","lunes",23,45.75,-34.594663,-58.397332,2021-03-27
"19","Le Nueva Gata, Ciudad de Buenos Aires","martes",6,0,-34.594663,-58.397332,2021-03-27
"20","Le Nueva Gata, Ciudad de Buenos Aires","martes",7,0,-34.594663,-58.397332,2021-03-27
"21","Le Nueva Gata, Ciudad de Buenos Aires","martes",8,0,-34.594663,-58.397332,2021-03-27
"22","Le Nueva Gata, Ciudad de Buenos Aires","martes",9,0,-34.594663,-58.397332,2021-03-27
"23","Le Nueva Gata, Ciudad de Buenos Aires","martes",10,0,-34.594663,-58.397332,2021-03-27
"24","Le Nueva Gata, Ciudad de Buenos Aires","martes",11,0,-34.594663,-58.397332,2021-03-27
"25","Le Nueva Gata, Ciudad de Buenos Aires","martes",12,6,-34.594663,-58.397332,2021-03-27
"26","Le Nueva Gata, Ciudad de Buenos Aires","martes",13,6,-34.594663,-58.397332,2021-03-27
"27","Le Nueva Gata, Ciudad de Buenos Aires","martes",14,6,-34.594663,-58.397332,2021-03-27
"28","Le Nueva Gata, Ciudad de Buenos Aires","martes",15,6,-34.594663,-58.397332,2021-03-27
"29","Le Nueva Gata, Ciudad de Buenos Aires","martes",16,6,-34.594663,-58.397332,2021-03-27
"30","Le Nueva Gata, Ciudad de Buenos Aires","martes",17,7.5,-34.594663,-58.397332,2021-03-27
"31","Le Nueva Gata, Ciudad de Buenos Aires","martes",18,10.5,-34.594663,-58.397332,2021-03-27
"32","Le Nueva Gata, Ciudad de Buenos Aires","martes",19,20.25,-34.594663,-58.397332,2021-03-27
"33","Le Nueva Gata, Ciudad de Buenos Aires","martes",20,33,-34.594663,-58.397332,2021-03-27
"34","Le Nueva Gata, Ciudad de Buenos Aires","martes",21,38.25,-34.594663,-58.397332,2021-03-27
"35","Le Nueva Gata, Ciudad de Buenos Aires","martes",22,33,-34.594663,-58.397332,2021-03-27
"36","Le Nueva Gata, Ciudad de Buenos Aires","martes",23,18.75,-34.594663,-58.397332,2021-03-27
"37","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",6,0,-34.594663,-58.397332,2021-03-27
"38","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",7,0,-34.594663,-58.397332,2021-03-27
"39","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",8,0,-34.594663,-58.397332,2021-03-27
"40","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",9,0,-34.594663,-58.397332,2021-03-27
"41","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",10,0,-34.594663,-58.397332,2021-03-27
"42","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",11,0,-34.594663,-58.397332,2021-03-27
"43","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",12,10.5,-34.594663,-58.397332,2021-03-27
"44","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",13,9,-34.594663,-58.397332,2021-03-27
"45","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",14,7.5,-34.594663,-58.397332,2021-03-27
"46","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",15,12.75,-34.594663,-58.397332,2021-03-27
"47","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",16,17.25,-34.594663,-58.397332,2021-03-27
"48","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",17,17.25,-34.594663,-58.397332,2021-03-27
"49","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",18,18.75,-34.594663,-58.397332,2021-03-27
"50","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",19,27,-34.594663,-58.397332,2021-03-27
"51","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",20,38.25,-34.594663,-58.397332,2021-03-27
"52","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",21,42.75,-34.594663,-58.397332,2021-03-27
"53","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",22,42.75,-34.594663,-58.397332,2021-03-27
"54","Le Nueva Gata, Ciudad de Buenos Aires","miercoles",23,34.5,-34.594663,-58.397332,2021-03-27
"55","Le Nueva Gata, Ciudad de Buenos Aires","jueves",6,0,-34.594663,-58.397332,2021-03-27
"56","Le Nueva Gata, Ciudad de Buenos Aires","jueves",7,0,-34.594663,-58.397332,2021-03-27
"57","Le Nueva Gata, Ciudad de Buenos Aires","jueves",8,0,-34.594663,-58.397332,2021-03-27
"58","Le Nueva Gata, Ciudad de Buenos Aires","jueves",9,0,-34.594663,-58.397332,2021-03-27
"59","Le Nueva Gata, Ciudad de Buenos Aires","jueves",10,0,-34.594663,-58.397332,2021-03-27
"60","Le Nueva Gata, Ciudad de Buenos Aires","jueves",11,0,-34.594663,-58.397332,2021-03-27
"61","Le Nueva Gata, Ciudad de Buenos Aires","jueves",12,14.25,-34.594663,-58.397332,2021-03-27
"62","Le Nueva Gata, Ciudad de Buenos Aires","jueves",13,10.5,-34.594663,-58.397332,2021-03-27
"63","Le Nueva Gata, Ciudad de Buenos Aires","jueves",14,4.5,-34.594663,-58.397332,2021-03-27
"64","Le Nueva Gata, Ciudad de Buenos Aires","jueves",15,7.5,-34.594663,-58.397332,2021-03-27
"65","Le Nueva Gata, Ciudad de Buenos Aires","jueves",16,18.75,-34.594663,-58.397332,2021-03-27
"66","Le Nueva Gata, Ciudad de Buenos Aires","jueves",17,15.75,-34.594663,-58.397332,2021-03-27
"67","Le Nueva Gata, Ciudad de Buenos Aires","jueves",18,17.25,-34.594663,-58.397332,2021-03-27
"68","Le Nueva Gata, Ciudad de Buenos Aires","jueves",19,21.75,-34.594663,-58.397332,2021-03-27
"69","Le Nueva Gata, Ciudad de Buenos Aires","jueves",20,23.25,-34.594663,-58.397332,2021-03-27
"70","Le Nueva Gata, Ciudad de Buenos Aires","jueves",21,21.75,-34.594663,-58.397332,2021-03-27
"71","Le Nueva Gata, Ciudad de Buenos Aires","jueves",22,18.75,-34.594663,-58.397332,2021-03-27
"72","Le Nueva Gata, Ciudad de Buenos Aires","jueves",23,14.25,-34.594663,-58.397332,2021-03-27
"73","Le Nueva Gata, Ciudad de Buenos Aires","viernes",6,0,-34.594663,-58.397332,2021-03-27
"74","Le Nueva Gata, Ciudad de Buenos Aires","viernes",7,0,-34.594663,-58.397332,2021-03-27
"75","Le Nueva Gata, Ciudad de Buenos Aires","viernes",8,0,-34.594663,-58.397332,2021-03-27
"76","Le Nueva Gata, Ciudad de Buenos Aires","viernes",9,0,-34.594663,-58.397332,2021-03-27
"77","Le Nueva Gata, Ciudad de Buenos Aires","viernes",10,0,-34.594663,-58.397332,2021-03-27
"78","Le Nueva Gata, Ciudad de Buenos Aires","viernes",11,0,-34.594663,-58.397332,2021-03-27
"79","Le Nueva Gata, Ciudad de Buenos Aires","viernes",12,15.75,-34.594663,-58.397332,2021-03-27
"80","Le Nueva Gata, Ciudad de Buenos Aires","viernes",13,18.75,-34.594663,-58.397332,2021-03-27
"81","Le Nueva Gata, Ciudad de Buenos Aires","viernes",14,17.25,-34.594663,-58.397332,2021-03-27
"82","Le Nueva Gata, Ciudad de Buenos Aires","viernes",15,14.25,-34.594663,-58.397332,2021-03-27
"83","Le Nueva Gata, Ciudad de Buenos Aires","viernes",16,7.5,-34.594663,-58.397332,2021-03-27
"84","Le Nueva Gata, Ciudad de Buenos Aires","viernes",17,6,-34.594663,-58.397332,2021-03-27
"85","Le Nueva Gata, Ciudad de Buenos Aires","viernes",18,9,-34.594663,-58.397332,2021-03-27
"86","Le Nueva Gata, Ciudad de Buenos Aires","viernes",19,21.75,-34.594663,-58.397332,2021-03-27
"87","Le Nueva Gata, Ciudad de Buenos Aires","viernes",20,41.25,-34.594663,-58.397332,2021-03-27
"88","Le Nueva Gata, Ciudad de Buenos Aires","viernes",21,58.5,-34.594663,-58.397332,2021-03-27
"89","Le Nueva Gata, Ciudad de Buenos Aires","viernes",22,60,-34.594663,-58.397332,2021-03-27
"90","Le Nueva Gata, Ciudad de Buenos Aires","viernes",23,45.75,-34.594663,-58.397332,2021-03-27
"91","Le Nueva Gata, Ciudad de Buenos Aires","sabado",6,0,-34.594663,-58.397332,2021-03-27
"92","Le Nueva Gata, Ciudad de Buenos Aires","sabado",7,0,-34.594663,-58.397332,2021-03-27
"93","Le Nueva Gata, Ciudad de Buenos Aires","sabado",8,0,-34.594663,-58.397332,2021-03-27
"94","Le Nueva Gata, Ciudad de Buenos Aires","sabado",9,0,-34.594663,-58.397332,2021-03-27
"95","Le Nueva Gata, Ciudad de Buenos Aires","sabado",10,0,-34.594663,-58.397332,2021-03-27
"96","Le Nueva Gata, Ciudad de Buenos Aires","sabado",11,0,-34.594663,-58.397332,2021-03-27
"97","Le Nueva Gata, Ciudad de Buenos Aires","sabado",12,17.25,-34.594663,-58.397332,2021-03-27
"98","Le Nueva Gata, Ciudad de Buenos Aires","sabado",13,18.75,-34.594663,-58.397332,2021-03-27
"99","Le Nueva Gata, Ciudad de Buenos Aires","sabado",14,20.25,-34.594663,-58.397332,2021-03-27
"100","Le Nueva Gata, Ciudad de Buenos Aires","sabado",15,20.25,-34.594663,-58.397332,2021-03-27
"101","Le Nueva Gata, Ciudad de Buenos Aires","sabado",16,20.25,-34.594663,-58.397332,2021-03-27
"102","Le Nueva Gata, Ciudad de Buenos Aires","sabado",17,21.75,-34.594663,-58.397332,2021-03-27
"103","Le Nueva Gata, Ciudad de Buenos Aires","sabado",18,27,-34.594663,-58.397332,2021-03-27
