"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Les Croquants, Ciudad de Buenos Aires","lunes",6,0,-34.5774251,-58.4563561,2021-03-27
"2","Les Croquants, Ciudad de Buenos Aires","lunes",7,0,-34.5774251,-58.4563561,2021-03-27
"3","Les Croquants, Ciudad de Buenos Aires","lunes",8,0,-34.5774251,-58.4563561,2021-03-27
"4","Les Croquants, Ciudad de Buenos Aires","lunes",9,0,-34.5774251,-58.4563561,2021-03-27
"5","Les Croquants, Ciudad de Buenos Aires","lunes",10,0,-34.5774251,-58.4563561,2021-03-27
"6","Les Croquants, Ciudad de Buenos Aires","lunes",11,33,-34.5774251,-58.4563561,2021-03-27
"7","Les Croquants, Ciudad de Buenos Aires","lunes",12,42,-34.5774251,-58.4563561,2021-03-27
"8","Les Croquants, Ciudad de Buenos Aires","lunes",13,48.75,-34.5774251,-58.4563561,2021-03-27
"9","Les Croquants, Ciudad de Buenos Aires","lunes",14,51,-34.5774251,-58.4563561,2021-03-27
"10","Les Croquants, Ciudad de Buenos Aires","lunes",15,51,-34.5774251,-58.4563561,2021-03-27
"11","Les Croquants, Ciudad de Buenos Aires","lunes",16,46.5,-34.5774251,-58.4563561,2021-03-27
"12","Les Croquants, Ciudad de Buenos Aires","lunes",17,42,-34.5774251,-58.4563561,2021-03-27
"13","Les Croquants, Ciudad de Buenos Aires","lunes",18,36,-34.5774251,-58.4563561,2021-03-27
"14","Les Croquants, Ciudad de Buenos Aires","lunes",19,0,-34.5774251,-58.4563561,2021-03-27
"15","Les Croquants, Ciudad de Buenos Aires","lunes",20,0,-34.5774251,-58.4563561,2021-03-27
"16","Les Croquants, Ciudad de Buenos Aires","lunes",21,0,-34.5774251,-58.4563561,2021-03-27
"17","Les Croquants, Ciudad de Buenos Aires","lunes",22,0,-34.5774251,-58.4563561,2021-03-27
"18","Les Croquants, Ciudad de Buenos Aires","lunes",23,0,-34.5774251,-58.4563561,2021-03-27
"19","Les Croquants, Ciudad de Buenos Aires","martes",6,0,-34.5774251,-58.4563561,2021-03-27
"20","Les Croquants, Ciudad de Buenos Aires","martes",7,0,-34.5774251,-58.4563561,2021-03-27
"21","Les Croquants, Ciudad de Buenos Aires","martes",8,0,-34.5774251,-58.4563561,2021-03-27
"22","Les Croquants, Ciudad de Buenos Aires","martes",9,0,-34.5774251,-58.4563561,2021-03-27
"23","Les Croquants, Ciudad de Buenos Aires","martes",10,0,-34.5774251,-58.4563561,2021-03-27
"24","Les Croquants, Ciudad de Buenos Aires","martes",11,33,-34.5774251,-58.4563561,2021-03-27
"25","Les Croquants, Ciudad de Buenos Aires","martes",12,36.75,-34.5774251,-58.4563561,2021-03-27
"26","Les Croquants, Ciudad de Buenos Aires","martes",13,39,-34.5774251,-58.4563561,2021-03-27
"27","Les Croquants, Ciudad de Buenos Aires","martes",14,36.75,-34.5774251,-58.4563561,2021-03-27
"28","Les Croquants, Ciudad de Buenos Aires","martes",15,33.75,-34.5774251,-58.4563561,2021-03-27
"29","Les Croquants, Ciudad de Buenos Aires","martes",16,42,-34.5774251,-58.4563561,2021-03-27
"30","Les Croquants, Ciudad de Buenos Aires","martes",17,72,-34.5774251,-58.4563561,2021-03-27
"31","Les Croquants, Ciudad de Buenos Aires","martes",18,73.5,-34.5774251,-58.4563561,2021-03-27
"32","Les Croquants, Ciudad de Buenos Aires","martes",19,0,-34.5774251,-58.4563561,2021-03-27
"33","Les Croquants, Ciudad de Buenos Aires","martes",20,0,-34.5774251,-58.4563561,2021-03-27
"34","Les Croquants, Ciudad de Buenos Aires","martes",21,0,-34.5774251,-58.4563561,2021-03-27
"35","Les Croquants, Ciudad de Buenos Aires","martes",22,0,-34.5774251,-58.4563561,2021-03-27
