"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",6,0,-34.611096,-58.3874062,2021-03-30
"2","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",7,0,-34.611096,-58.3874062,2021-03-30
"3","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",8,30,-34.611096,-58.3874062,2021-03-30
"4","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",9,45.75,-34.611096,-58.3874062,2021-03-30
"5","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",10,60,-34.611096,-58.3874062,2021-03-30
"6","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",11,63.75,-34.611096,-58.3874062,2021-03-30
"7","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",12,58.5,-34.611096,-58.3874062,2021-03-30
"8","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",13,48,-34.611096,-58.3874062,2021-03-30
"9","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",14,35.25,-34.611096,-58.3874062,2021-03-30
"10","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",15,28.5,-34.611096,-58.3874062,2021-03-30
"11","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",16,24.75,-34.611096,-58.3874062,2021-03-30
"12","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",17,22.5,-34.611096,-58.3874062,2021-03-30
"13","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",18,22.5,-34.611096,-58.3874062,2021-03-30
"14","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",19,22.5,-34.611096,-58.3874062,2021-03-30
"15","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",20,21,-34.611096,-58.3874062,2021-03-30
"16","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",21,19.5,-34.611096,-58.3874062,2021-03-30
"17","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",22,15.75,-34.611096,-58.3874062,2021-03-30
"18","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","lunes",23,14.25,-34.611096,-58.3874062,2021-03-30
"19","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","martes",6,0,-34.611096,-58.3874062,2021-03-30
"20","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","martes",7,0,-34.611096,-58.3874062,2021-03-30
"21","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","martes",8,62.25,-34.611096,-58.3874062,2021-03-30
"22","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","martes",9,75,-34.611096,-58.3874062,2021-03-30
"23","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","martes",10,63.75,-34.611096,-58.3874062,2021-03-30
"24","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","martes",11,44.25,-34.611096,-58.3874062,2021-03-30
"25","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","martes",12,35.25,-34.611096,-58.3874062,2021-03-30
"26","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","martes",13,44.25,-34.611096,-58.3874062,2021-03-30
"27","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","martes",14,51.75,-34.611096,-58.3874062,2021-03-30
"28","Lo Nuestro Restó y Café, Ciudad de Buenos Aires","martes",15,42.75,-34.611096,-58.3874062,2021-03-30
