"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Lo de Cholo, Ciudad de Buenos Aires","martes",6,0,-34.6105068,-58.4523007,2021-03-27
"2","Lo de Cholo, Ciudad de Buenos Aires","martes",7,0,-34.6105068,-58.4523007,2021-03-27
"3","Lo de Cholo, Ciudad de Buenos Aires","martes",8,0,-34.6105068,-58.4523007,2021-03-27
"4","Lo de Cholo, Ciudad de Buenos Aires","martes",9,0,-34.6105068,-58.4523007,2021-03-27
"5","Lo de Cholo, Ciudad de Buenos Aires","martes",10,0,-34.6105068,-58.4523007,2021-03-27
"6","Lo de Cholo, Ciudad de Buenos Aires","martes",11,0,-34.6105068,-58.4523007,2021-03-27
"7","Lo de Cholo, Ciudad de Buenos Aires","martes",12,18.75,-34.6105068,-58.4523007,2021-03-27
"8","Lo de Cholo, Ciudad de Buenos Aires","martes",13,21,-34.6105068,-58.4523007,2021-03-27
"9","Lo de Cholo, Ciudad de Buenos Aires","martes",14,21,-34.6105068,-58.4523007,2021-03-27
"10","Lo de Cholo, Ciudad de Buenos Aires","martes",15,17.25,-34.6105068,-58.4523007,2021-03-27
"11","Lo de Cholo, Ciudad de Buenos Aires","martes",16,0,-34.6105068,-58.4523007,2021-03-27
"12","Lo de Cholo, Ciudad de Buenos Aires","martes",17,0,-34.6105068,-58.4523007,2021-03-27
"13","Lo de Cholo, Ciudad de Buenos Aires","martes",18,0,-34.6105068,-58.4523007,2021-03-27
"14","Lo de Cholo, Ciudad de Buenos Aires","martes",19,0,-34.6105068,-58.4523007,2021-03-27
"15","Lo de Cholo, Ciudad de Buenos Aires","martes",20,27.75,-34.6105068,-58.4523007,2021-03-27
"16","Lo de Cholo, Ciudad de Buenos Aires","martes",21,47.25,-34.6105068,-58.4523007,2021-03-27
"17","Lo de Cholo, Ciudad de Buenos Aires","martes",22,50.25,-34.6105068,-58.4523007,2021-03-27
"18","Lo de Cholo, Ciudad de Buenos Aires","martes",23,32.25,-34.6105068,-58.4523007,2021-03-27
"19","Lo de Cholo, Ciudad de Buenos Aires","miercoles",6,0,-34.6105068,-58.4523007,2021-03-27
"20","Lo de Cholo, Ciudad de Buenos Aires","miercoles",7,0,-34.6105068,-58.4523007,2021-03-27
"21","Lo de Cholo, Ciudad de Buenos Aires","miercoles",8,0,-34.6105068,-58.4523007,2021-03-27
"22","Lo de Cholo, Ciudad de Buenos Aires","miercoles",9,0,-34.6105068,-58.4523007,2021-03-27
"23","Lo de Cholo, Ciudad de Buenos Aires","miercoles",10,0,-34.6105068,-58.4523007,2021-03-27
"24","Lo de Cholo, Ciudad de Buenos Aires","miercoles",11,0,-34.6105068,-58.4523007,2021-03-27
"25","Lo de Cholo, Ciudad de Buenos Aires","miercoles",12,26.25,-34.6105068,-58.4523007,2021-03-27
"26","Lo de Cholo, Ciudad de Buenos Aires","miercoles",13,26.25,-34.6105068,-58.4523007,2021-03-27
"27","Lo de Cholo, Ciudad de Buenos Aires","miercoles",14,21.75,-34.6105068,-58.4523007,2021-03-27
"28","Lo de Cholo, Ciudad de Buenos Aires","miercoles",15,12.75,-34.6105068,-58.4523007,2021-03-27
"29","Lo de Cholo, Ciudad de Buenos Aires","miercoles",16,0,-34.6105068,-58.4523007,2021-03-27
"30","Lo de Cholo, Ciudad de Buenos Aires","miercoles",17,0,-34.6105068,-58.4523007,2021-03-27
"31","Lo de Cholo, Ciudad de Buenos Aires","miercoles",18,0,-34.6105068,-58.4523007,2021-03-27
"32","Lo de Cholo, Ciudad de Buenos Aires","miercoles",19,0,-34.6105068,-58.4523007,2021-03-27
"33","Lo de Cholo, Ciudad de Buenos Aires","miercoles",20,35.25,-34.6105068,-58.4523007,2021-03-27
"34","Lo de Cholo, Ciudad de Buenos Aires","miercoles",21,47.25,-34.6105068,-58.4523007,2021-03-27
"35","Lo de Cholo, Ciudad de Buenos Aires","miercoles",22,0,-34.6105068,-58.4523007,2021-03-27
"36","Lo de Cholo, Ciudad de Buenos Aires","miercoles",23,0,-34.6105068,-58.4523007,2021-03-27
