"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Lo de Jimena, Ciudad de Buenos Aires","martes",6,0,-34.5930361,-58.4373168,2021-03-29
"2","Lo de Jimena, Ciudad de Buenos Aires","martes",7,0,-34.5930361,-58.4373168,2021-03-29
"3","Lo de Jimena, Ciudad de Buenos Aires","martes",8,0,-34.5930361,-58.4373168,2021-03-29
"4","Lo de Jimena, Ciudad de Buenos Aires","martes",9,0,-34.5930361,-58.4373168,2021-03-29
"5","Lo de Jimena, Ciudad de Buenos Aires","martes",10,0,-34.5930361,-58.4373168,2021-03-29
"6","Lo de Jimena, Ciudad de Buenos Aires","martes",11,4.5,-34.5930361,-58.4373168,2021-03-29
"7","Lo de Jimena, Ciudad de Buenos Aires","martes",12,12,-34.5930361,-58.4373168,2021-03-29
"8","Lo de Jimena, Ciudad de Buenos Aires","martes",13,20.25,-34.5930361,-58.4373168,2021-03-29
"9","Lo de Jimena, Ciudad de Buenos Aires","martes",14,24,-34.5930361,-58.4373168,2021-03-29
"10","Lo de Jimena, Ciudad de Buenos Aires","martes",15,20.25,-34.5930361,-58.4373168,2021-03-29
"11","Lo de Jimena, Ciudad de Buenos Aires","martes",16,11.25,-34.5930361,-58.4373168,2021-03-29
"12","Lo de Jimena, Ciudad de Buenos Aires","martes",17,4.5,-34.5930361,-58.4373168,2021-03-29
"13","Lo de Jimena, Ciudad de Buenos Aires","martes",18,2.25,-34.5930361,-58.4373168,2021-03-29
"14","Lo de Jimena, Ciudad de Buenos Aires","martes",19,6,-34.5930361,-58.4373168,2021-03-29
"15","Lo de Jimena, Ciudad de Buenos Aires","martes",20,17.25,-34.5930361,-58.4373168,2021-03-29
"16","Lo de Jimena, Ciudad de Buenos Aires","martes",21,31.5,-34.5930361,-58.4373168,2021-03-29
"17","Lo de Jimena, Ciudad de Buenos Aires","martes",22,36,-34.5930361,-58.4373168,2021-03-29
"18","Lo de Jimena, Ciudad de Buenos Aires","martes",23,24.75,-34.5930361,-58.4373168,2021-03-29
"19","Lo de Jimena, Ciudad de Buenos Aires","miercoles",0,10.5,-34.5930361,-58.4373168,2021-03-29
"20","Lo de Jimena, Ciudad de Buenos Aires","miercoles",1,3,-34.5930361,-58.4373168,2021-03-29
"21","Lo de Jimena, Ciudad de Buenos Aires","miercoles",6,0,-34.5930361,-58.4373168,2021-03-29
"22","Lo de Jimena, Ciudad de Buenos Aires","miercoles",7,0,-34.5930361,-58.4373168,2021-03-29
"23","Lo de Jimena, Ciudad de Buenos Aires","miercoles",8,0,-34.5930361,-58.4373168,2021-03-29
"24","Lo de Jimena, Ciudad de Buenos Aires","miercoles",9,0,-34.5930361,-58.4373168,2021-03-29
"25","Lo de Jimena, Ciudad de Buenos Aires","miercoles",10,0,-34.5930361,-58.4373168,2021-03-29
"26","Lo de Jimena, Ciudad de Buenos Aires","miercoles",11,7.5,-34.5930361,-58.4373168,2021-03-29
"27","Lo de Jimena, Ciudad de Buenos Aires","miercoles",12,18,-34.5930361,-58.4373168,2021-03-29
"28","Lo de Jimena, Ciudad de Buenos Aires","miercoles",13,23.25,-34.5930361,-58.4373168,2021-03-29
