"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",6,0,-34.56327,-58.456915,2021-03-27
"2","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",7,0,-34.56327,-58.456915,2021-03-27
"3","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",8,0,-34.56327,-58.456915,2021-03-27
"4","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",9,0,-34.56327,-58.456915,2021-03-27
"5","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",10,0,-34.56327,-58.456915,2021-03-27
"6","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",11,1.5,-34.56327,-58.456915,2021-03-27
"7","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",12,3.75,-34.56327,-58.456915,2021-03-27
"8","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",13,4.5,-34.56327,-58.456915,2021-03-27
"9","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",14,4.5,-34.56327,-58.456915,2021-03-27
"10","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",15,3,-34.56327,-58.456915,2021-03-27
"11","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",16,2.25,-34.56327,-58.456915,2021-03-27
"12","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",17,4.5,-34.56327,-58.456915,2021-03-27
"13","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",18,12,-34.56327,-58.456915,2021-03-27
"14","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",19,22.5,-34.56327,-58.456915,2021-03-27
"15","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",20,30,-34.56327,-58.456915,2021-03-27
"16","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",21,28.5,-34.56327,-58.456915,2021-03-27
"17","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",22,18.75,-34.56327,-58.456915,2021-03-27
"18","Los Amigos De Juan, Ciudad de Buenos Aires","lunes",23,8.25,-34.56327,-58.456915,2021-03-27
"19","Los Amigos De Juan, Ciudad de Buenos Aires","martes",6,0,-34.56327,-58.456915,2021-03-27
"20","Los Amigos De Juan, Ciudad de Buenos Aires","martes",7,0,-34.56327,-58.456915,2021-03-27
"21","Los Amigos De Juan, Ciudad de Buenos Aires","martes",8,0,-34.56327,-58.456915,2021-03-27
"22","Los Amigos De Juan, Ciudad de Buenos Aires","martes",9,0,-34.56327,-58.456915,2021-03-27
"23","Los Amigos De Juan, Ciudad de Buenos Aires","martes",10,0,-34.56327,-58.456915,2021-03-27
"24","Los Amigos De Juan, Ciudad de Buenos Aires","martes",11,2.25,-34.56327,-58.456915,2021-03-27
"25","Los Amigos De Juan, Ciudad de Buenos Aires","martes",12,6.75,-34.56327,-58.456915,2021-03-27
"26","Los Amigos De Juan, Ciudad de Buenos Aires","martes",13,9,-34.56327,-58.456915,2021-03-27
"27","Los Amigos De Juan, Ciudad de Buenos Aires","martes",14,10.5,-34.56327,-58.456915,2021-03-27
"28","Los Amigos De Juan, Ciudad de Buenos Aires","martes",15,9,-34.56327,-58.456915,2021-03-27
"29","Los Amigos De Juan, Ciudad de Buenos Aires","martes",16,6.75,-34.56327,-58.456915,2021-03-27
"30","Los Amigos De Juan, Ciudad de Buenos Aires","martes",17,5.25,-34.56327,-58.456915,2021-03-27
"31","Los Amigos De Juan, Ciudad de Buenos Aires","martes",18,7.5,-34.56327,-58.456915,2021-03-27
"32","Los Amigos De Juan, Ciudad de Buenos Aires","martes",19,16.5,-34.56327,-58.456915,2021-03-27
"33","Los Amigos De Juan, Ciudad de Buenos Aires","martes",20,30.75,-34.56327,-58.456915,2021-03-27
