"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Los Calientes, Ciudad de Buenos Aires","lunes",6,0,-34.6426571,-58.4224198,2021-03-30
"2","Los Calientes, Ciudad de Buenos Aires","lunes",7,0,-34.6426571,-58.4224198,2021-03-30
"3","Los Calientes, Ciudad de Buenos Aires","lunes",8,3,-34.6426571,-58.4224198,2021-03-30
"4","Los Calientes, Ciudad de Buenos Aires","lunes",9,20.25,-34.6426571,-58.4224198,2021-03-30
"5","Los Calientes, Ciudad de Buenos Aires","lunes",10,29.25,-34.6426571,-58.4224198,2021-03-30
"6","Los Calientes, Ciudad de Buenos Aires","lunes",11,14.25,-34.6426571,-58.4224198,2021-03-30
"7","Los Calientes, Ciudad de Buenos Aires","lunes",12,19.5,-34.6426571,-58.4224198,2021-03-30
"8","Los Calientes, Ciudad de Buenos Aires","lunes",13,42,-34.6426571,-58.4224198,2021-03-30
"9","Los Calientes, Ciudad de Buenos Aires","lunes",14,50.25,-34.6426571,-58.4224198,2021-03-30
"10","Los Calientes, Ciudad de Buenos Aires","lunes",15,35.25,-34.6426571,-58.4224198,2021-03-30
"11","Los Calientes, Ciudad de Buenos Aires","lunes",16,18,-34.6426571,-58.4224198,2021-03-30
"12","Los Calientes, Ciudad de Buenos Aires","lunes",17,11.25,-34.6426571,-58.4224198,2021-03-30
"13","Los Calientes, Ciudad de Buenos Aires","lunes",18,11.25,-34.6426571,-58.4224198,2021-03-30
"14","Los Calientes, Ciudad de Buenos Aires","lunes",19,0,-34.6426571,-58.4224198,2021-03-30
"15","Los Calientes, Ciudad de Buenos Aires","lunes",20,0,-34.6426571,-58.4224198,2021-03-30
"16","Los Calientes, Ciudad de Buenos Aires","lunes",21,0,-34.6426571,-58.4224198,2021-03-30
"17","Los Calientes, Ciudad de Buenos Aires","lunes",22,0,-34.6426571,-58.4224198,2021-03-30
"18","Los Calientes, Ciudad de Buenos Aires","lunes",23,0,-34.6426571,-58.4224198,2021-03-30
"19","Los Calientes, Ciudad de Buenos Aires","martes",6,0,-34.6426571,-58.4224198,2021-03-30
"20","Los Calientes, Ciudad de Buenos Aires","martes",7,0,-34.6426571,-58.4224198,2021-03-30
"21","Los Calientes, Ciudad de Buenos Aires","martes",8,11.25,-34.6426571,-58.4224198,2021-03-30
"22","Los Calientes, Ciudad de Buenos Aires","martes",9,24,-34.6426571,-58.4224198,2021-03-30
"23","Los Calientes, Ciudad de Buenos Aires","martes",10,25.5,-34.6426571,-58.4224198,2021-03-30
"24","Los Calientes, Ciudad de Buenos Aires","martes",11,22.5,-34.6426571,-58.4224198,2021-03-30
"25","Los Calientes, Ciudad de Buenos Aires","martes",12,24.75,-34.6426571,-58.4224198,2021-03-30
"26","Los Calientes, Ciudad de Buenos Aires","martes",13,30.75,-34.6426571,-58.4224198,2021-03-30
"27","Los Calientes, Ciudad de Buenos Aires","martes",14,34.5,-34.6426571,-58.4224198,2021-03-30
"28","Los Calientes, Ciudad de Buenos Aires","martes",15,33,-34.6426571,-58.4224198,2021-03-30
"29","Los Calientes, Ciudad de Buenos Aires","martes",16,28.5,-34.6426571,-58.4224198,2021-03-30
"30","Los Calientes, Ciudad de Buenos Aires","martes",17,21,-34.6426571,-58.4224198,2021-03-30
