"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Los Galgos, Ciudad de Buenos Aires","lunes",6,0,-34.6030119,-58.3923093,2021-03-26
"2","Los Galgos, Ciudad de Buenos Aires","lunes",7,0,-34.6030119,-58.3923093,2021-03-26
"3","Los Galgos, Ciudad de Buenos Aires","lunes",8,0,-34.6030119,-58.3923093,2021-03-26
"4","Los Galgos, Ciudad de Buenos Aires","lunes",9,6,-34.6030119,-58.3923093,2021-03-26
"5","Los Galgos, Ciudad de Buenos Aires","lunes",10,12,-34.6030119,-58.3923093,2021-03-26
"6","Los Galgos, Ciudad de Buenos Aires","lunes",11,18.75,-34.6030119,-58.3923093,2021-03-26
"7","Los Galgos, Ciudad de Buenos Aires","lunes",12,24.75,-34.6030119,-58.3923093,2021-03-26
"8","Los Galgos, Ciudad de Buenos Aires","lunes",13,30,-34.6030119,-58.3923093,2021-03-26
"9","Los Galgos, Ciudad de Buenos Aires","lunes",14,32.25,-34.6030119,-58.3923093,2021-03-26
"10","Los Galgos, Ciudad de Buenos Aires","lunes",15,32.25,-34.6030119,-58.3923093,2021-03-26
"11","Los Galgos, Ciudad de Buenos Aires","lunes",16,31.5,-34.6030119,-58.3923093,2021-03-26
"12","Los Galgos, Ciudad de Buenos Aires","lunes",17,30.75,-34.6030119,-58.3923093,2021-03-26
"13","Los Galgos, Ciudad de Buenos Aires","lunes",18,30.75,-34.6030119,-58.3923093,2021-03-26
"14","Los Galgos, Ciudad de Buenos Aires","lunes",19,31.5,-34.6030119,-58.3923093,2021-03-26
"15","Los Galgos, Ciudad de Buenos Aires","lunes",20,31.5,-34.6030119,-58.3923093,2021-03-26
"16","Los Galgos, Ciudad de Buenos Aires","lunes",21,28.5,-34.6030119,-58.3923093,2021-03-26
"17","Los Galgos, Ciudad de Buenos Aires","lunes",22,23.25,-34.6030119,-58.3923093,2021-03-26
"18","Los Galgos, Ciudad de Buenos Aires","lunes",23,0,-34.6030119,-58.3923093,2021-03-26
"19","Los Galgos, Ciudad de Buenos Aires","martes",6,0,-34.6030119,-58.3923093,2021-03-26
"20","Los Galgos, Ciudad de Buenos Aires","martes",7,0,-34.6030119,-58.3923093,2021-03-26
"21","Los Galgos, Ciudad de Buenos Aires","martes",8,0,-34.6030119,-58.3923093,2021-03-26
"22","Los Galgos, Ciudad de Buenos Aires","martes",9,10.5,-34.6030119,-58.3923093,2021-03-26
"23","Los Galgos, Ciudad de Buenos Aires","martes",10,16.5,-34.6030119,-58.3923093,2021-03-26
"24","Los Galgos, Ciudad de Buenos Aires","martes",11,22.5,-34.6030119,-58.3923093,2021-03-26
"25","Los Galgos, Ciudad de Buenos Aires","martes",12,27.75,-34.6030119,-58.3923093,2021-03-26
"26","Los Galgos, Ciudad de Buenos Aires","martes",13,30.75,-34.6030119,-58.3923093,2021-03-26
"27","Los Galgos, Ciudad de Buenos Aires","martes",14,33,-34.6030119,-58.3923093,2021-03-26
"28","Los Galgos, Ciudad de Buenos Aires","martes",15,33,-34.6030119,-58.3923093,2021-03-26
"29","Los Galgos, Ciudad de Buenos Aires","martes",16,32.25,-34.6030119,-58.3923093,2021-03-26
"30","Los Galgos, Ciudad de Buenos Aires","martes",17,33.75,-34.6030119,-58.3923093,2021-03-26
"31","Los Galgos, Ciudad de Buenos Aires","martes",18,37.5,-34.6030119,-58.3923093,2021-03-26
"32","Los Galgos, Ciudad de Buenos Aires","martes",19,42,-34.6030119,-58.3923093,2021-03-26
"33","Los Galgos, Ciudad de Buenos Aires","martes",20,45,-34.6030119,-58.3923093,2021-03-26
"34","Los Galgos, Ciudad de Buenos Aires","martes",21,43.5,-34.6030119,-58.3923093,2021-03-26
"35","Los Galgos, Ciudad de Buenos Aires","martes",22,36.75,-34.6030119,-58.3923093,2021-03-26
"36","Los Galgos, Ciudad de Buenos Aires","martes",23,0,-34.6030119,-58.3923093,2021-03-26
"37","Los Galgos, Ciudad de Buenos Aires","miercoles",6,0,-34.6030119,-58.3923093,2021-03-26
"38","Los Galgos, Ciudad de Buenos Aires","miercoles",7,0,-34.6030119,-58.3923093,2021-03-26
"39","Los Galgos, Ciudad de Buenos Aires","miercoles",8,0,-34.6030119,-58.3923093,2021-03-26
"40","Los Galgos, Ciudad de Buenos Aires","miercoles",9,12,-34.6030119,-58.3923093,2021-03-26
"41","Los Galgos, Ciudad de Buenos Aires","miercoles",10,19.5,-34.6030119,-58.3923093,2021-03-26
"42","Los Galgos, Ciudad de Buenos Aires","miercoles",11,27,-34.6030119,-58.3923093,2021-03-26
"43","Los Galgos, Ciudad de Buenos Aires","miercoles",12,33,-34.6030119,-58.3923093,2021-03-26
"44","Los Galgos, Ciudad de Buenos Aires","miercoles",13,36,-34.6030119,-58.3923093,2021-03-26
"45","Los Galgos, Ciudad de Buenos Aires","miercoles",14,35.25,-34.6030119,-58.3923093,2021-03-26
"46","Los Galgos, Ciudad de Buenos Aires","miercoles",15,32.25,-34.6030119,-58.3923093,2021-03-26
"47","Los Galgos, Ciudad de Buenos Aires","miercoles",16,30,-34.6030119,-58.3923093,2021-03-26
"48","Los Galgos, Ciudad de Buenos Aires","miercoles",17,33,-34.6030119,-58.3923093,2021-03-26
"49","Los Galgos, Ciudad de Buenos Aires","miercoles",18,42.75,-34.6030119,-58.3923093,2021-03-26
"50","Los Galgos, Ciudad de Buenos Aires","miercoles",19,55.5,-34.6030119,-58.3923093,2021-03-26
"51","Los Galgos, Ciudad de Buenos Aires","miercoles",20,63.75,-34.6030119,-58.3923093,2021-03-26
"52","Los Galgos, Ciudad de Buenos Aires","miercoles",21,60,-34.6030119,-58.3923093,2021-03-26
"53","Los Galgos, Ciudad de Buenos Aires","miercoles",22,45.75,-34.6030119,-58.3923093,2021-03-26
"54","Los Galgos, Ciudad de Buenos Aires","miercoles",23,0,-34.6030119,-58.3923093,2021-03-26
"55","Los Galgos, Ciudad de Buenos Aires","jueves",6,0,-34.6030119,-58.3923093,2021-03-26
"56","Los Galgos, Ciudad de Buenos Aires","jueves",7,0,-34.6030119,-58.3923093,2021-03-26
"57","Los Galgos, Ciudad de Buenos Aires","jueves",8,0,-34.6030119,-58.3923093,2021-03-26
"58","Los Galgos, Ciudad de Buenos Aires","jueves",9,23.25,-34.6030119,-58.3923093,2021-03-26
"59","Los Galgos, Ciudad de Buenos Aires","jueves",10,33,-34.6030119,-58.3923093,2021-03-26
"60","Los Galgos, Ciudad de Buenos Aires","jueves",11,33.75,-34.6030119,-58.3923093,2021-03-26
"61","Los Galgos, Ciudad de Buenos Aires","jueves",12,31.5,-34.6030119,-58.3923093,2021-03-26
"62","Los Galgos, Ciudad de Buenos Aires","jueves",13,33,-34.6030119,-58.3923093,2021-03-26
"63","Los Galgos, Ciudad de Buenos Aires","jueves",14,36.75,-34.6030119,-58.3923093,2021-03-26
"64","Los Galgos, Ciudad de Buenos Aires","jueves",15,38.25,-34.6030119,-58.3923093,2021-03-26
"65","Los Galgos, Ciudad de Buenos Aires","jueves",16,36,-34.6030119,-58.3923093,2021-03-26
"66","Los Galgos, Ciudad de Buenos Aires","jueves",17,33.75,-34.6030119,-58.3923093,2021-03-26
"67","Los Galgos, Ciudad de Buenos Aires","jueves",18,36,-34.6030119,-58.3923093,2021-03-26
"68","Los Galgos, Ciudad de Buenos Aires","jueves",19,43.5,-34.6030119,-58.3923093,2021-03-26
"69","Los Galgos, Ciudad de Buenos Aires","jueves",20,51.75,-34.6030119,-58.3923093,2021-03-26
"70","Los Galgos, Ciudad de Buenos Aires","jueves",21,57,-34.6030119,-58.3923093,2021-03-26
"71","Los Galgos, Ciudad de Buenos Aires","jueves",22,54,-34.6030119,-58.3923093,2021-03-26
"72","Los Galgos, Ciudad de Buenos Aires","jueves",23,45,-34.6030119,-58.3923093,2021-03-26
"73","Los Galgos, Ciudad de Buenos Aires","viernes",6,0,-34.6030119,-58.3923093,2021-03-26
"74","Los Galgos, Ciudad de Buenos Aires","viernes",7,0,-34.6030119,-58.3923093,2021-03-26
"75","Los Galgos, Ciudad de Buenos Aires","viernes",8,0,-34.6030119,-58.3923093,2021-03-26
"76","Los Galgos, Ciudad de Buenos Aires","viernes",9,12.75,-34.6030119,-58.3923093,2021-03-26
"77","Los Galgos, Ciudad de Buenos Aires","viernes",10,22.5,-34.6030119,-58.3923093,2021-03-26
"78","Los Galgos, Ciudad de Buenos Aires","viernes",11,32.25,-34.6030119,-58.3923093,2021-03-26
"79","Los Galgos, Ciudad de Buenos Aires","viernes",12,40.5,-34.6030119,-58.3923093,2021-03-26
"80","Los Galgos, Ciudad de Buenos Aires","viernes",13,45,-34.6030119,-58.3923093,2021-03-26
"81","Los Galgos, Ciudad de Buenos Aires","viernes",14,44.25,-34.6030119,-58.3923093,2021-03-26
"82","Los Galgos, Ciudad de Buenos Aires","viernes",15,39,-34.6030119,-58.3923093,2021-03-26
"83","Los Galgos, Ciudad de Buenos Aires","viernes",16,33.75,-34.6030119,-58.3923093,2021-03-26
"84","Los Galgos, Ciudad de Buenos Aires","viernes",17,33,-34.6030119,-58.3923093,2021-03-26
"85","Los Galgos, Ciudad de Buenos Aires","viernes",18,38.25,-34.6030119,-58.3923093,2021-03-26
"86","Los Galgos, Ciudad de Buenos Aires","viernes",19,46.5,-34.6030119,-58.3923093,2021-03-26
"87","Los Galgos, Ciudad de Buenos Aires","viernes",20,54,-34.6030119,-58.3923093,2021-03-26
"88","Los Galgos, Ciudad de Buenos Aires","viernes",21,59.25,-34.6030119,-58.3923093,2021-03-26
"89","Los Galgos, Ciudad de Buenos Aires","viernes",22,61.5,-34.6030119,-58.3923093,2021-03-26
"90","Los Galgos, Ciudad de Buenos Aires","viernes",23,55.5,-34.6030119,-58.3923093,2021-03-26
"91","Los Galgos, Ciudad de Buenos Aires","sabado",6,0,-34.6030119,-58.3923093,2021-03-26
"92","Los Galgos, Ciudad de Buenos Aires","sabado",7,0,-34.6030119,-58.3923093,2021-03-26
"93","Los Galgos, Ciudad de Buenos Aires","sabado",8,0,-34.6030119,-58.3923093,2021-03-26
"94","Los Galgos, Ciudad de Buenos Aires","sabado",9,12.75,-34.6030119,-58.3923093,2021-03-26
"95","Los Galgos, Ciudad de Buenos Aires","sabado",10,20.25,-34.6030119,-58.3923093,2021-03-26
"96","Los Galgos, Ciudad de Buenos Aires","sabado",11,27,-34.6030119,-58.3923093,2021-03-26
"97","Los Galgos, Ciudad de Buenos Aires","sabado",12,31.5,-34.6030119,-58.3923093,2021-03-26
