"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Los Sabios, Ciudad de Buenos Aires","lunes",6,0,-34.6033371,-58.4172303,2021-03-27
"2","Los Sabios, Ciudad de Buenos Aires","lunes",7,0,-34.6033371,-58.4172303,2021-03-27
"3","Los Sabios, Ciudad de Buenos Aires","lunes",8,0,-34.6033371,-58.4172303,2021-03-27
"4","Los Sabios, Ciudad de Buenos Aires","lunes",9,0,-34.6033371,-58.4172303,2021-03-27
"5","Los Sabios, Ciudad de Buenos Aires","lunes",10,0,-34.6033371,-58.4172303,2021-03-27
"6","Los Sabios, Ciudad de Buenos Aires","lunes",11,15,-34.6033371,-58.4172303,2021-03-27
"7","Los Sabios, Ciudad de Buenos Aires","lunes",12,33.75,-34.6033371,-58.4172303,2021-03-27
"8","Los Sabios, Ciudad de Buenos Aires","lunes",13,43.5,-34.6033371,-58.4172303,2021-03-27
"9","Los Sabios, Ciudad de Buenos Aires","lunes",14,33,-34.6033371,-58.4172303,2021-03-27
"10","Los Sabios, Ciudad de Buenos Aires","lunes",15,17.25,-34.6033371,-58.4172303,2021-03-27
"11","Los Sabios, Ciudad de Buenos Aires","lunes",16,9,-34.6033371,-58.4172303,2021-03-27
"12","Los Sabios, Ciudad de Buenos Aires","lunes",17,0,-34.6033371,-58.4172303,2021-03-27
"13","Los Sabios, Ciudad de Buenos Aires","lunes",18,0,-34.6033371,-58.4172303,2021-03-27
"14","Los Sabios, Ciudad de Buenos Aires","lunes",19,0,-34.6033371,-58.4172303,2021-03-27
"15","Los Sabios, Ciudad de Buenos Aires","lunes",20,0,-34.6033371,-58.4172303,2021-03-27
"16","Los Sabios, Ciudad de Buenos Aires","lunes",21,0,-34.6033371,-58.4172303,2021-03-27
"17","Los Sabios, Ciudad de Buenos Aires","lunes",22,0,-34.6033371,-58.4172303,2021-03-27
"18","Los Sabios, Ciudad de Buenos Aires","lunes",23,0,-34.6033371,-58.4172303,2021-03-27
"19","Los Sabios, Ciudad de Buenos Aires","martes",6,0,-34.6033371,-58.4172303,2021-03-27
"20","Los Sabios, Ciudad de Buenos Aires","martes",7,0,-34.6033371,-58.4172303,2021-03-27
"21","Los Sabios, Ciudad de Buenos Aires","martes",8,0,-34.6033371,-58.4172303,2021-03-27
"22","Los Sabios, Ciudad de Buenos Aires","martes",9,0,-34.6033371,-58.4172303,2021-03-27
"23","Los Sabios, Ciudad de Buenos Aires","martes",10,0,-34.6033371,-58.4172303,2021-03-27
"24","Los Sabios, Ciudad de Buenos Aires","martes",11,24,-34.6033371,-58.4172303,2021-03-27
"25","Los Sabios, Ciudad de Buenos Aires","martes",12,45,-34.6033371,-58.4172303,2021-03-27
"26","Los Sabios, Ciudad de Buenos Aires","martes",13,53.25,-34.6033371,-58.4172303,2021-03-27
"27","Los Sabios, Ciudad de Buenos Aires","martes",14,43.5,-34.6033371,-58.4172303,2021-03-27
"28","Los Sabios, Ciudad de Buenos Aires","martes",15,24,-34.6033371,-58.4172303,2021-03-27
"29","Los Sabios, Ciudad de Buenos Aires","martes",16,9,-34.6033371,-58.4172303,2021-03-27
"30","Los Sabios, Ciudad de Buenos Aires","martes",17,0,-34.6033371,-58.4172303,2021-03-27
"31","Los Sabios, Ciudad de Buenos Aires","martes",18,0,-34.6033371,-58.4172303,2021-03-27
"32","Los Sabios, Ciudad de Buenos Aires","martes",19,0,-34.6033371,-58.4172303,2021-03-27
"33","Los Sabios, Ciudad de Buenos Aires","martes",20,0,-34.6033371,-58.4172303,2021-03-27
"34","Los Sabios, Ciudad de Buenos Aires","martes",21,0,-34.6033371,-58.4172303,2021-03-27
"35","Los Sabios, Ciudad de Buenos Aires","martes",22,0,-34.6033371,-58.4172303,2021-03-27
"36","Los Sabios, Ciudad de Buenos Aires","martes",23,0,-34.6033371,-58.4172303,2021-03-27
"37","Los Sabios, Ciudad de Buenos Aires","miercoles",6,0,-34.6033371,-58.4172303,2021-03-27
"38","Los Sabios, Ciudad de Buenos Aires","miercoles",7,0,-34.6033371,-58.4172303,2021-03-27
"39","Los Sabios, Ciudad de Buenos Aires","miercoles",8,0,-34.6033371,-58.4172303,2021-03-27
"40","Los Sabios, Ciudad de Buenos Aires","miercoles",9,0,-34.6033371,-58.4172303,2021-03-27
"41","Los Sabios, Ciudad de Buenos Aires","miercoles",10,0,-34.6033371,-58.4172303,2021-03-27
"42","Los Sabios, Ciudad de Buenos Aires","miercoles",11,30.75,-34.6033371,-58.4172303,2021-03-27
"43","Los Sabios, Ciudad de Buenos Aires","miercoles",12,53.25,-34.6033371,-58.4172303,2021-03-27
"44","Los Sabios, Ciudad de Buenos Aires","miercoles",13,63.75,-34.6033371,-58.4172303,2021-03-27
