"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Los Tulumbanos, Ciudad de Buenos Aires","lunes",6,0,-34.6618838,-58.5053945,2021-03-26
"2","Los Tulumbanos, Ciudad de Buenos Aires","lunes",7,3,-34.6618838,-58.5053945,2021-03-26
"3","Los Tulumbanos, Ciudad de Buenos Aires","lunes",8,5.25,-34.6618838,-58.5053945,2021-03-26
"4","Los Tulumbanos, Ciudad de Buenos Aires","lunes",9,7.5,-34.6618838,-58.5053945,2021-03-26
"5","Los Tulumbanos, Ciudad de Buenos Aires","lunes",10,9.75,-34.6618838,-58.5053945,2021-03-26
"6","Los Tulumbanos, Ciudad de Buenos Aires","lunes",11,12.75,-34.6618838,-58.5053945,2021-03-26
"7","Los Tulumbanos, Ciudad de Buenos Aires","lunes",12,18,-34.6618838,-58.5053945,2021-03-26
"8","Los Tulumbanos, Ciudad de Buenos Aires","lunes",13,26.25,-34.6618838,-58.5053945,2021-03-26
"9","Los Tulumbanos, Ciudad de Buenos Aires","lunes",14,27.75,-34.6618838,-58.5053945,2021-03-26
"10","Los Tulumbanos, Ciudad de Buenos Aires","lunes",15,18,-34.6618838,-58.5053945,2021-03-26
"11","Los Tulumbanos, Ciudad de Buenos Aires","lunes",16,0,-34.6618838,-58.5053945,2021-03-26
"12","Los Tulumbanos, Ciudad de Buenos Aires","lunes",17,0,-34.6618838,-58.5053945,2021-03-26
"13","Los Tulumbanos, Ciudad de Buenos Aires","lunes",18,0,-34.6618838,-58.5053945,2021-03-26
"14","Los Tulumbanos, Ciudad de Buenos Aires","lunes",19,0,-34.6618838,-58.5053945,2021-03-26
"15","Los Tulumbanos, Ciudad de Buenos Aires","lunes",20,0,-34.6618838,-58.5053945,2021-03-26
"16","Los Tulumbanos, Ciudad de Buenos Aires","lunes",21,0,-34.6618838,-58.5053945,2021-03-26
"17","Los Tulumbanos, Ciudad de Buenos Aires","lunes",22,0,-34.6618838,-58.5053945,2021-03-26
"18","Los Tulumbanos, Ciudad de Buenos Aires","lunes",23,0,-34.6618838,-58.5053945,2021-03-26
"19","Los Tulumbanos, Ciudad de Buenos Aires","martes",6,0,-34.6618838,-58.5053945,2021-03-26
"20","Los Tulumbanos, Ciudad de Buenos Aires","martes",7,1.5,-34.6618838,-58.5053945,2021-03-26
"21","Los Tulumbanos, Ciudad de Buenos Aires","martes",8,6,-34.6618838,-58.5053945,2021-03-26
"22","Los Tulumbanos, Ciudad de Buenos Aires","martes",9,10.5,-34.6618838,-58.5053945,2021-03-26
"23","Los Tulumbanos, Ciudad de Buenos Aires","martes",10,11.25,-34.6618838,-58.5053945,2021-03-26
