"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",6,0,-34.5741717,-58.4729099,2021-03-30
"2","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",7,0,-34.5741717,-58.4729099,2021-03-30
"3","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",8,0,-34.5741717,-58.4729099,2021-03-30
"4","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",9,0,-34.5741717,-58.4729099,2021-03-30
"5","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",10,0.75,-34.5741717,-58.4729099,2021-03-30
"6","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",11,0.75,-34.5741717,-58.4729099,2021-03-30
"7","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",12,0,-34.5741717,-58.4729099,2021-03-30
"8","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",13,1.5,-34.5741717,-58.4729099,2021-03-30
"9","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",14,3,-34.5741717,-58.4729099,2021-03-30
"10","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",15,4.5,-34.5741717,-58.4729099,2021-03-30
"11","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",16,6,-34.5741717,-58.4729099,2021-03-30
"12","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",17,7.5,-34.5741717,-58.4729099,2021-03-30
"13","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",18,9,-34.5741717,-58.4729099,2021-03-30
"14","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",19,9.75,-34.5741717,-58.4729099,2021-03-30
"15","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",20,9,-34.5741717,-58.4729099,2021-03-30
"16","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",21,9,-34.5741717,-58.4729099,2021-03-30
"17","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",22,18,-34.5741717,-58.4729099,2021-03-30
"18","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","lunes",23,21.75,-34.5741717,-58.4729099,2021-03-30
"19","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","martes",0,5.25,-34.5741717,-58.4729099,2021-03-30
"20","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","martes",1,2.25,-34.5741717,-58.4729099,2021-03-30
"21","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","martes",6,0,-34.5741717,-58.4729099,2021-03-30
"22","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","martes",7,0,-34.5741717,-58.4729099,2021-03-30
"23","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","martes",8,0,-34.5741717,-58.4729099,2021-03-30
"24","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","martes",9,0,-34.5741717,-58.4729099,2021-03-30
"25","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","martes",10,0.75,-34.5741717,-58.4729099,2021-03-30
"26","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","martes",11,0.75,-34.5741717,-58.4729099,2021-03-30
"27","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","martes",12,0.75,-34.5741717,-58.4729099,2021-03-30
"28","Lucciano's Villa Urquiza, Ciudad de Buenos Aires","martes",13,0.75,-34.5741717,-58.4729099,2021-03-30
