"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Magic Dragon, Ciudad de Buenos Aires","lunes",6,0,-34.6033989,-58.411066,2021-03-29
"2","Magic Dragon, Ciudad de Buenos Aires","lunes",7,0,-34.6033989,-58.411066,2021-03-29
"3","Magic Dragon, Ciudad de Buenos Aires","lunes",8,0,-34.6033989,-58.411066,2021-03-29
"4","Magic Dragon, Ciudad de Buenos Aires","lunes",9,0,-34.6033989,-58.411066,2021-03-29
"5","Magic Dragon, Ciudad de Buenos Aires","lunes",10,0,-34.6033989,-58.411066,2021-03-29
"6","Magic Dragon, Ciudad de Buenos Aires","lunes",11,0,-34.6033989,-58.411066,2021-03-29
"7","Magic Dragon, Ciudad de Buenos Aires","lunes",12,3.75,-34.6033989,-58.411066,2021-03-29
"8","Magic Dragon, Ciudad de Buenos Aires","lunes",13,11.25,-34.6033989,-58.411066,2021-03-29
"9","Magic Dragon, Ciudad de Buenos Aires","lunes",14,15,-34.6033989,-58.411066,2021-03-29
"10","Magic Dragon, Ciudad de Buenos Aires","lunes",15,12,-34.6033989,-58.411066,2021-03-29
"11","Magic Dragon, Ciudad de Buenos Aires","lunes",16,9.75,-34.6033989,-58.411066,2021-03-29
"12","Magic Dragon, Ciudad de Buenos Aires","lunes",17,15,-34.6033989,-58.411066,2021-03-29
"13","Magic Dragon, Ciudad de Buenos Aires","lunes",18,22.5,-34.6033989,-58.411066,2021-03-29
"14","Magic Dragon, Ciudad de Buenos Aires","lunes",19,23.25,-34.6033989,-58.411066,2021-03-29
"15","Magic Dragon, Ciudad de Buenos Aires","lunes",20,17.25,-34.6033989,-58.411066,2021-03-29
"16","Magic Dragon, Ciudad de Buenos Aires","lunes",21,8.25,-34.6033989,-58.411066,2021-03-29
"17","Magic Dragon, Ciudad de Buenos Aires","lunes",22,3,-34.6033989,-58.411066,2021-03-29
"18","Magic Dragon, Ciudad de Buenos Aires","lunes",23,0,-34.6033989,-58.411066,2021-03-29
"19","Magic Dragon, Ciudad de Buenos Aires","martes",6,0,-34.6033989,-58.411066,2021-03-29
"20","Magic Dragon, Ciudad de Buenos Aires","martes",7,0,-34.6033989,-58.411066,2021-03-29
"21","Magic Dragon, Ciudad de Buenos Aires","martes",8,0,-34.6033989,-58.411066,2021-03-29
"22","Magic Dragon, Ciudad de Buenos Aires","martes",9,0,-34.6033989,-58.411066,2021-03-29
"23","Magic Dragon, Ciudad de Buenos Aires","martes",10,0,-34.6033989,-58.411066,2021-03-29
"24","Magic Dragon, Ciudad de Buenos Aires","martes",11,0,-34.6033989,-58.411066,2021-03-29
"25","Magic Dragon, Ciudad de Buenos Aires","martes",12,5.25,-34.6033989,-58.411066,2021-03-29
"26","Magic Dragon, Ciudad de Buenos Aires","martes",13,11.25,-34.6033989,-58.411066,2021-03-29
"27","Magic Dragon, Ciudad de Buenos Aires","martes",14,16.5,-34.6033989,-58.411066,2021-03-29
"28","Magic Dragon, Ciudad de Buenos Aires","martes",15,18,-34.6033989,-58.411066,2021-03-29
"29","Magic Dragon, Ciudad de Buenos Aires","martes",16,15.75,-34.6033989,-58.411066,2021-03-29
"30","Magic Dragon, Ciudad de Buenos Aires","martes",17,13.5,-34.6033989,-58.411066,2021-03-29
"31","Magic Dragon, Ciudad de Buenos Aires","martes",18,21,-34.6033989,-58.411066,2021-03-29
"32","Magic Dragon, Ciudad de Buenos Aires","martes",19,28.5,-34.6033989,-58.411066,2021-03-29
"33","Magic Dragon, Ciudad de Buenos Aires","martes",20,20.25,-34.6033989,-58.411066,2021-03-29
"34","Magic Dragon, Ciudad de Buenos Aires","martes",21,6.75,-34.6033989,-58.411066,2021-03-29
"35","Magic Dragon, Ciudad de Buenos Aires","martes",22,0.75,-34.6033989,-58.411066,2021-03-29
"36","Magic Dragon, Ciudad de Buenos Aires","martes",23,0,-34.6033989,-58.411066,2021-03-29
"37","Magic Dragon, Ciudad de Buenos Aires","miercoles",6,0,-34.6033989,-58.411066,2021-03-29
"38","Magic Dragon, Ciudad de Buenos Aires","miercoles",7,0,-34.6033989,-58.411066,2021-03-29
"39","Magic Dragon, Ciudad de Buenos Aires","miercoles",8,0,-34.6033989,-58.411066,2021-03-29
"40","Magic Dragon, Ciudad de Buenos Aires","miercoles",9,0,-34.6033989,-58.411066,2021-03-29
"41","Magic Dragon, Ciudad de Buenos Aires","miercoles",10,0,-34.6033989,-58.411066,2021-03-29
"42","Magic Dragon, Ciudad de Buenos Aires","miercoles",11,0,-34.6033989,-58.411066,2021-03-29
"43","Magic Dragon, Ciudad de Buenos Aires","miercoles",12,18.75,-34.6033989,-58.411066,2021-03-29
"44","Magic Dragon, Ciudad de Buenos Aires","miercoles",13,35.25,-34.6033989,-58.411066,2021-03-29
"45","Magic Dragon, Ciudad de Buenos Aires","miercoles",14,20.25,-34.6033989,-58.411066,2021-03-29
"46","Magic Dragon, Ciudad de Buenos Aires","miercoles",15,19.5,-34.6033989,-58.411066,2021-03-29
"47","Magic Dragon, Ciudad de Buenos Aires","miercoles",16,27.75,-34.6033989,-58.411066,2021-03-29
"48","Magic Dragon, Ciudad de Buenos Aires","miercoles",17,25.5,-34.6033989,-58.411066,2021-03-29
"49","Magic Dragon, Ciudad de Buenos Aires","miercoles",18,21,-34.6033989,-58.411066,2021-03-29
"50","Magic Dragon, Ciudad de Buenos Aires","miercoles",19,28.5,-34.6033989,-58.411066,2021-03-29
"51","Magic Dragon, Ciudad de Buenos Aires","miercoles",20,36,-34.6033989,-58.411066,2021-03-29
"52","Magic Dragon, Ciudad de Buenos Aires","miercoles",21,26.25,-34.6033989,-58.411066,2021-03-29
"53","Magic Dragon, Ciudad de Buenos Aires","miercoles",22,9.75,-34.6033989,-58.411066,2021-03-29
"54","Magic Dragon, Ciudad de Buenos Aires","miercoles",23,0,-34.6033989,-58.411066,2021-03-29
"55","Magic Dragon, Ciudad de Buenos Aires","jueves",6,0,-34.6033989,-58.411066,2021-03-29
"56","Magic Dragon, Ciudad de Buenos Aires","jueves",7,0,-34.6033989,-58.411066,2021-03-29
"57","Magic Dragon, Ciudad de Buenos Aires","jueves",8,0,-34.6033989,-58.411066,2021-03-29
"58","Magic Dragon, Ciudad de Buenos Aires","jueves",9,0,-34.6033989,-58.411066,2021-03-29
"59","Magic Dragon, Ciudad de Buenos Aires","jueves",10,0,-34.6033989,-58.411066,2021-03-29
"60","Magic Dragon, Ciudad de Buenos Aires","jueves",11,0,-34.6033989,-58.411066,2021-03-29
"61","Magic Dragon, Ciudad de Buenos Aires","jueves",12,12,-34.6033989,-58.411066,2021-03-29
"62","Magic Dragon, Ciudad de Buenos Aires","jueves",13,21.75,-34.6033989,-58.411066,2021-03-29
"63","Magic Dragon, Ciudad de Buenos Aires","jueves",14,14.25,-34.6033989,-58.411066,2021-03-29
"64","Magic Dragon, Ciudad de Buenos Aires","jueves",15,14.25,-34.6033989,-58.411066,2021-03-29
"65","Magic Dragon, Ciudad de Buenos Aires","jueves",16,15.75,-34.6033989,-58.411066,2021-03-29
"66","Magic Dragon, Ciudad de Buenos Aires","jueves",17,13.5,-34.6033989,-58.411066,2021-03-29
"67","Magic Dragon, Ciudad de Buenos Aires","jueves",18,12,-34.6033989,-58.411066,2021-03-29
"68","Magic Dragon, Ciudad de Buenos Aires","jueves",19,16.5,-34.6033989,-58.411066,2021-03-29
"69","Magic Dragon, Ciudad de Buenos Aires","jueves",20,23.25,-34.6033989,-58.411066,2021-03-29
"70","Magic Dragon, Ciudad de Buenos Aires","jueves",21,18.75,-34.6033989,-58.411066,2021-03-29
"71","Magic Dragon, Ciudad de Buenos Aires","jueves",22,8.25,-34.6033989,-58.411066,2021-03-29
"72","Magic Dragon, Ciudad de Buenos Aires","jueves",23,0,-34.6033989,-58.411066,2021-03-29
"73","Magic Dragon, Ciudad de Buenos Aires","viernes",6,0,-34.6033989,-58.411066,2021-03-29
"74","Magic Dragon, Ciudad de Buenos Aires","viernes",7,0,-34.6033989,-58.411066,2021-03-29
"75","Magic Dragon, Ciudad de Buenos Aires","viernes",8,0,-34.6033989,-58.411066,2021-03-29
"76","Magic Dragon, Ciudad de Buenos Aires","viernes",9,0,-34.6033989,-58.411066,2021-03-29
"77","Magic Dragon, Ciudad de Buenos Aires","viernes",10,0,-34.6033989,-58.411066,2021-03-29
"78","Magic Dragon, Ciudad de Buenos Aires","viernes",11,0,-34.6033989,-58.411066,2021-03-29
"79","Magic Dragon, Ciudad de Buenos Aires","viernes",12,5.25,-34.6033989,-58.411066,2021-03-29
"80","Magic Dragon, Ciudad de Buenos Aires","viernes",13,15,-34.6033989,-58.411066,2021-03-29
"81","Magic Dragon, Ciudad de Buenos Aires","viernes",14,25.5,-34.6033989,-58.411066,2021-03-29
"82","Magic Dragon, Ciudad de Buenos Aires","viernes",15,24.75,-34.6033989,-58.411066,2021-03-29
"83","Magic Dragon, Ciudad de Buenos Aires","viernes",16,15,-34.6033989,-58.411066,2021-03-29
"84","Magic Dragon, Ciudad de Buenos Aires","viernes",17,12,-34.6033989,-58.411066,2021-03-29
"85","Magic Dragon, Ciudad de Buenos Aires","viernes",18,27.75,-34.6033989,-58.411066,2021-03-29
"86","Magic Dragon, Ciudad de Buenos Aires","viernes",19,45,-34.6033989,-58.411066,2021-03-29
"87","Magic Dragon, Ciudad de Buenos Aires","viernes",20,39.75,-34.6033989,-58.411066,2021-03-29
"88","Magic Dragon, Ciudad de Buenos Aires","viernes",21,33.75,-34.6033989,-58.411066,2021-03-29
"89","Magic Dragon, Ciudad de Buenos Aires","viernes",22,15,-34.6033989,-58.411066,2021-03-29
"90","Magic Dragon, Ciudad de Buenos Aires","viernes",23,1.5,-34.6033989,-58.411066,2021-03-29
"91","Magic Dragon, Ciudad de Buenos Aires","sabado",6,0,-34.6033989,-58.411066,2021-03-29
"92","Magic Dragon, Ciudad de Buenos Aires","sabado",7,0,-34.6033989,-58.411066,2021-03-29
"93","Magic Dragon, Ciudad de Buenos Aires","sabado",8,0,-34.6033989,-58.411066,2021-03-29
"94","Magic Dragon, Ciudad de Buenos Aires","sabado",9,0,-34.6033989,-58.411066,2021-03-29
"95","Magic Dragon, Ciudad de Buenos Aires","sabado",10,0,-34.6033989,-58.411066,2021-03-29
"96","Magic Dragon, Ciudad de Buenos Aires","sabado",11,0,-34.6033989,-58.411066,2021-03-29
"97","Magic Dragon, Ciudad de Buenos Aires","sabado",12,16.5,-34.6033989,-58.411066,2021-03-29
