"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Maldini, Ciudad de Buenos Aires","lunes",6,0,-34.5451093,-58.4875331,2021-03-28
"2","Maldini, Ciudad de Buenos Aires","lunes",7,0,-34.5451093,-58.4875331,2021-03-28
"3","Maldini, Ciudad de Buenos Aires","lunes",8,0,-34.5451093,-58.4875331,2021-03-28
"4","Maldini, Ciudad de Buenos Aires","lunes",9,0,-34.5451093,-58.4875331,2021-03-28
"5","Maldini, Ciudad de Buenos Aires","lunes",10,0,-34.5451093,-58.4875331,2021-03-28
"6","Maldini, Ciudad de Buenos Aires","lunes",11,0,-34.5451093,-58.4875331,2021-03-28
"7","Maldini, Ciudad de Buenos Aires","lunes",12,3,-34.5451093,-58.4875331,2021-03-28
"8","Maldini, Ciudad de Buenos Aires","lunes",13,4.5,-34.5451093,-58.4875331,2021-03-28
"9","Maldini, Ciudad de Buenos Aires","lunes",14,6.75,-34.5451093,-58.4875331,2021-03-28
"10","Maldini, Ciudad de Buenos Aires","lunes",15,9.75,-34.5451093,-58.4875331,2021-03-28
"11","Maldini, Ciudad de Buenos Aires","lunes",16,12,-34.5451093,-58.4875331,2021-03-28
"12","Maldini, Ciudad de Buenos Aires","lunes",17,13.5,-34.5451093,-58.4875331,2021-03-28
"13","Maldini, Ciudad de Buenos Aires","lunes",18,15,-34.5451093,-58.4875331,2021-03-28
"14","Maldini, Ciudad de Buenos Aires","lunes",19,17.25,-34.5451093,-58.4875331,2021-03-28
"15","Maldini, Ciudad de Buenos Aires","lunes",20,19.5,-34.5451093,-58.4875331,2021-03-28
"16","Maldini, Ciudad de Buenos Aires","lunes",21,20.25,-34.5451093,-58.4875331,2021-03-28
"17","Maldini, Ciudad de Buenos Aires","lunes",22,18,-34.5451093,-58.4875331,2021-03-28
"18","Maldini, Ciudad de Buenos Aires","lunes",23,14.25,-34.5451093,-58.4875331,2021-03-28
"19","Maldini, Ciudad de Buenos Aires","martes",0,8.25,-34.5451093,-58.4875331,2021-03-28
"20","Maldini, Ciudad de Buenos Aires","martes",6,0,-34.5451093,-58.4875331,2021-03-28
"21","Maldini, Ciudad de Buenos Aires","martes",7,0,-34.5451093,-58.4875331,2021-03-28
"22","Maldini, Ciudad de Buenos Aires","martes",8,0,-34.5451093,-58.4875331,2021-03-28
"23","Maldini, Ciudad de Buenos Aires","martes",9,0,-34.5451093,-58.4875331,2021-03-28
