"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",5,0,-34.5994582,-58.5454445,2021-03-28
"2","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",6,0.75,-34.5994582,-58.5454445,2021-03-28
"3","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",7,0.75,-34.5994582,-58.5454445,2021-03-28
"4","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",8,0.75,-34.5994582,-58.5454445,2021-03-28
"5","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",9,9,-34.5994582,-58.5454445,2021-03-28
"6","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",10,17.25,-34.5994582,-58.5454445,2021-03-28
"7","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",11,26.25,-34.5994582,-58.5454445,2021-03-28
"8","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",12,33.75,-34.5994582,-58.5454445,2021-03-28
"9","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",13,33.75,-34.5994582,-58.5454445,2021-03-28
"10","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",14,25.5,-34.5994582,-58.5454445,2021-03-28
"11","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",15,16.5,-34.5994582,-58.5454445,2021-03-28
"12","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",16,14.25,-34.5994582,-58.5454445,2021-03-28
"13","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",17,21,-34.5994582,-58.5454445,2021-03-28
"14","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",18,33.75,-34.5994582,-58.5454445,2021-03-28
"15","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",19,43.5,-34.5994582,-58.5454445,2021-03-28
"16","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",20,45,-34.5994582,-58.5454445,2021-03-28
"17","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",21,37.5,-34.5994582,-58.5454445,2021-03-28
"18","Manu`s Pizza Cafe, Ciudad de Buenos Aires","lunes",22,23.25,-34.5994582,-58.5454445,2021-03-28
