"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Mar De Azucar, Ciudad de Buenos Aires","lunes",6,0,-34.5880737,-58.4255,2021-03-28
"2","Mar De Azucar, Ciudad de Buenos Aires","lunes",7,0,-34.5880737,-58.4255,2021-03-28
"3","Mar De Azucar, Ciudad de Buenos Aires","lunes",8,0,-34.5880737,-58.4255,2021-03-28
"4","Mar De Azucar, Ciudad de Buenos Aires","lunes",9,27,-34.5880737,-58.4255,2021-03-28
"5","Mar De Azucar, Ciudad de Buenos Aires","lunes",10,44.25,-34.5880737,-58.4255,2021-03-28
"6","Mar De Azucar, Ciudad de Buenos Aires","lunes",11,40.5,-34.5880737,-58.4255,2021-03-28
"7","Mar De Azucar, Ciudad de Buenos Aires","lunes",12,44.25,-34.5880737,-58.4255,2021-03-28
"8","Mar De Azucar, Ciudad de Buenos Aires","lunes",13,54,-34.5880737,-58.4255,2021-03-28
"9","Mar De Azucar, Ciudad de Buenos Aires","lunes",14,54,-34.5880737,-58.4255,2021-03-28
"10","Mar De Azucar, Ciudad de Buenos Aires","lunes",15,47.25,-34.5880737,-58.4255,2021-03-28
"11","Mar De Azucar, Ciudad de Buenos Aires","lunes",16,37.5,-34.5880737,-58.4255,2021-03-28
"12","Mar De Azucar, Ciudad de Buenos Aires","lunes",17,0,-34.5880737,-58.4255,2021-03-28
"13","Mar De Azucar, Ciudad de Buenos Aires","lunes",18,0,-34.5880737,-58.4255,2021-03-28
"14","Mar De Azucar, Ciudad de Buenos Aires","lunes",19,0,-34.5880737,-58.4255,2021-03-28
"15","Mar De Azucar, Ciudad de Buenos Aires","lunes",20,0,-34.5880737,-58.4255,2021-03-28
"16","Mar De Azucar, Ciudad de Buenos Aires","lunes",21,0,-34.5880737,-58.4255,2021-03-28
"17","Mar De Azucar, Ciudad de Buenos Aires","lunes",22,0,-34.5880737,-58.4255,2021-03-28
"18","Mar De Azucar, Ciudad de Buenos Aires","lunes",23,0,-34.5880737,-58.4255,2021-03-28
"19","Mar De Azucar, Ciudad de Buenos Aires","martes",6,0,-34.5880737,-58.4255,2021-03-28
