"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",6,0,-34.5942189,-58.421006,2021-03-28
"2","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",7,0,-34.5942189,-58.421006,2021-03-28
"3","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",8,0,-34.5942189,-58.421006,2021-03-28
"4","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",9,6,-34.5942189,-58.421006,2021-03-28
"5","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",10,11.25,-34.5942189,-58.421006,2021-03-28
"6","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",11,16.5,-34.5942189,-58.421006,2021-03-28
"7","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",12,21,-34.5942189,-58.421006,2021-03-28
"8","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",13,24,-34.5942189,-58.421006,2021-03-28
"9","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",14,24.75,-34.5942189,-58.421006,2021-03-28
"10","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",15,24.75,-34.5942189,-58.421006,2021-03-28
"11","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",16,27,-34.5942189,-58.421006,2021-03-28
"12","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",17,32.25,-34.5942189,-58.421006,2021-03-28
"13","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",18,38.25,-34.5942189,-58.421006,2021-03-28
"14","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",19,37.5,-34.5942189,-58.421006,2021-03-28
"15","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",20,28.5,-34.5942189,-58.421006,2021-03-28
"16","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",21,0,-34.5942189,-58.421006,2021-03-28
"17","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",22,0,-34.5942189,-58.421006,2021-03-28
"18","Maricafé - Café Bar &amp; LGBT BookStore, Ciudad de Buenos Aires","lunes",23,0,-34.5942189,-58.421006,2021-03-28
