"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Massaro, Ciudad de Buenos Aires","lunes",6,0,-34.5973758,-58.4036394,2021-03-27
"2","Massaro, Ciudad de Buenos Aires","lunes",7,4.5,-34.5973758,-58.4036394,2021-03-27
"3","Massaro, Ciudad de Buenos Aires","lunes",8,6,-34.5973758,-58.4036394,2021-03-27
"4","Massaro, Ciudad de Buenos Aires","lunes",9,7.5,-34.5973758,-58.4036394,2021-03-27
"5","Massaro, Ciudad de Buenos Aires","lunes",10,9,-34.5973758,-58.4036394,2021-03-27
"6","Massaro, Ciudad de Buenos Aires","lunes",11,10.5,-34.5973758,-58.4036394,2021-03-27
"7","Massaro, Ciudad de Buenos Aires","lunes",12,11.25,-34.5973758,-58.4036394,2021-03-27
"8","Massaro, Ciudad de Buenos Aires","lunes",13,12,-34.5973758,-58.4036394,2021-03-27
"9","Massaro, Ciudad de Buenos Aires","lunes",14,12.75,-34.5973758,-58.4036394,2021-03-27
"10","Massaro, Ciudad de Buenos Aires","lunes",15,13.5,-34.5973758,-58.4036394,2021-03-27
"11","Massaro, Ciudad de Buenos Aires","lunes",16,14.25,-34.5973758,-58.4036394,2021-03-27
"12","Massaro, Ciudad de Buenos Aires","lunes",17,18,-34.5973758,-58.4036394,2021-03-27
"13","Massaro, Ciudad de Buenos Aires","lunes",18,24.75,-34.5973758,-58.4036394,2021-03-27
"14","Massaro, Ciudad de Buenos Aires","lunes",19,34.5,-34.5973758,-58.4036394,2021-03-27
"15","Massaro, Ciudad de Buenos Aires","lunes",20,42.75,-34.5973758,-58.4036394,2021-03-27
"16","Massaro, Ciudad de Buenos Aires","lunes",21,47.25,-34.5973758,-58.4036394,2021-03-27
"17","Massaro, Ciudad de Buenos Aires","lunes",22,42.75,-34.5973758,-58.4036394,2021-03-27
"18","Massaro, Ciudad de Buenos Aires","lunes",23,33,-34.5973758,-58.4036394,2021-03-27
"19","Massaro, Ciudad de Buenos Aires","martes",6,0,-34.5973758,-58.4036394,2021-03-27
"20","Massaro, Ciudad de Buenos Aires","martes",7,3,-34.5973758,-58.4036394,2021-03-27
"21","Massaro, Ciudad de Buenos Aires","martes",8,7.5,-34.5973758,-58.4036394,2021-03-27
"22","Massaro, Ciudad de Buenos Aires","martes",9,18,-34.5973758,-58.4036394,2021-03-27
