"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Melody Cafe, Ciudad de Buenos Aires","lunes",6,0,-34.5928894,-58.3874927,2021-03-27
"2","Melody Cafe, Ciudad de Buenos Aires","lunes",7,12.75,-34.5928894,-58.3874927,2021-03-27
"3","Melody Cafe, Ciudad de Buenos Aires","lunes",8,29.25,-34.5928894,-58.3874927,2021-03-27
"4","Melody Cafe, Ciudad de Buenos Aires","lunes",9,44.25,-34.5928894,-58.3874927,2021-03-27
"5","Melody Cafe, Ciudad de Buenos Aires","lunes",10,44.25,-34.5928894,-58.3874927,2021-03-27
"6","Melody Cafe, Ciudad de Buenos Aires","lunes",11,36,-34.5928894,-58.3874927,2021-03-27
"7","Melody Cafe, Ciudad de Buenos Aires","lunes",12,32.25,-34.5928894,-58.3874927,2021-03-27
"8","Melody Cafe, Ciudad de Buenos Aires","lunes",13,37.5,-34.5928894,-58.3874927,2021-03-27
"9","Melody Cafe, Ciudad de Buenos Aires","lunes",14,44.25,-34.5928894,-58.3874927,2021-03-27
"10","Melody Cafe, Ciudad de Buenos Aires","lunes",15,48.75,-34.5928894,-58.3874927,2021-03-27
"11","Melody Cafe, Ciudad de Buenos Aires","lunes",16,51,-34.5928894,-58.3874927,2021-03-27
"12","Melody Cafe, Ciudad de Buenos Aires","lunes",17,48,-34.5928894,-58.3874927,2021-03-27
"13","Melody Cafe, Ciudad de Buenos Aires","lunes",18,42,-34.5928894,-58.3874927,2021-03-27
"14","Melody Cafe, Ciudad de Buenos Aires","lunes",19,32.25,-34.5928894,-58.3874927,2021-03-27
"15","Melody Cafe, Ciudad de Buenos Aires","lunes",20,0,-34.5928894,-58.3874927,2021-03-27
"16","Melody Cafe, Ciudad de Buenos Aires","lunes",21,0,-34.5928894,-58.3874927,2021-03-27
"17","Melody Cafe, Ciudad de Buenos Aires","lunes",22,0,-34.5928894,-58.3874927,2021-03-27
"18","Melody Cafe, Ciudad de Buenos Aires","lunes",23,0,-34.5928894,-58.3874927,2021-03-27
"19","Melody Cafe, Ciudad de Buenos Aires","martes",6,0,-34.5928894,-58.3874927,2021-03-27
"20","Melody Cafe, Ciudad de Buenos Aires","martes",7,9,-34.5928894,-58.3874927,2021-03-27
"21","Melody Cafe, Ciudad de Buenos Aires","martes",8,24,-34.5928894,-58.3874927,2021-03-27
"22","Melody Cafe, Ciudad de Buenos Aires","martes",9,40.5,-34.5928894,-58.3874927,2021-03-27
"23","Melody Cafe, Ciudad de Buenos Aires","martes",10,42,-34.5928894,-58.3874927,2021-03-27
"24","Melody Cafe, Ciudad de Buenos Aires","martes",11,30,-34.5928894,-58.3874927,2021-03-27
"25","Melody Cafe, Ciudad de Buenos Aires","martes",12,23.25,-34.5928894,-58.3874927,2021-03-27
"26","Melody Cafe, Ciudad de Buenos Aires","martes",13,32.25,-34.5928894,-58.3874927,2021-03-27
"27","Melody Cafe, Ciudad de Buenos Aires","martes",14,45,-34.5928894,-58.3874927,2021-03-27
"28","Melody Cafe, Ciudad de Buenos Aires","martes",15,45,-34.5928894,-58.3874927,2021-03-27
"29","Melody Cafe, Ciudad de Buenos Aires","martes",16,37.5,-34.5928894,-58.3874927,2021-03-27
"30","Melody Cafe, Ciudad de Buenos Aires","martes",17,38.25,-34.5928894,-58.3874927,2021-03-27
"31","Melody Cafe, Ciudad de Buenos Aires","martes",18,46.5,-34.5928894,-58.3874927,2021-03-27
"32","Melody Cafe, Ciudad de Buenos Aires","martes",19,42.75,-34.5928894,-58.3874927,2021-03-27
"33","Melody Cafe, Ciudad de Buenos Aires","martes",20,0,-34.5928894,-58.3874927,2021-03-27
"34","Melody Cafe, Ciudad de Buenos Aires","martes",21,0,-34.5928894,-58.3874927,2021-03-27
"35","Melody Cafe, Ciudad de Buenos Aires","martes",22,0,-34.5928894,-58.3874927,2021-03-27
"36","Melody Cafe, Ciudad de Buenos Aires","martes",23,0,-34.5928894,-58.3874927,2021-03-27
"37","Melody Cafe, Ciudad de Buenos Aires","miercoles",6,0,-34.5928894,-58.3874927,2021-03-27
"38","Melody Cafe, Ciudad de Buenos Aires","miercoles",7,11.25,-34.5928894,-58.3874927,2021-03-27
"39","Melody Cafe, Ciudad de Buenos Aires","miercoles",8,27.75,-34.5928894,-58.3874927,2021-03-27
"40","Melody Cafe, Ciudad de Buenos Aires","miercoles",9,50.25,-34.5928894,-58.3874927,2021-03-27
"41","Melody Cafe, Ciudad de Buenos Aires","miercoles",10,67.5,-34.5928894,-58.3874927,2021-03-27
"42","Melody Cafe, Ciudad de Buenos Aires","miercoles",11,71.25,-34.5928894,-58.3874927,2021-03-27
"43","Melody Cafe, Ciudad de Buenos Aires","miercoles",12,63,-34.5928894,-58.3874927,2021-03-27
"44","Melody Cafe, Ciudad de Buenos Aires","miercoles",13,53.25,-34.5928894,-58.3874927,2021-03-27
"45","Melody Cafe, Ciudad de Buenos Aires","miercoles",14,53.25,-34.5928894,-58.3874927,2021-03-27
"46","Melody Cafe, Ciudad de Buenos Aires","miercoles",15,59.25,-34.5928894,-58.3874927,2021-03-27
"47","Melody Cafe, Ciudad de Buenos Aires","miercoles",16,63.75,-34.5928894,-58.3874927,2021-03-27
"48","Melody Cafe, Ciudad de Buenos Aires","miercoles",17,59.25,-34.5928894,-58.3874927,2021-03-27
"49","Melody Cafe, Ciudad de Buenos Aires","miercoles",18,48,-34.5928894,-58.3874927,2021-03-27
"50","Melody Cafe, Ciudad de Buenos Aires","miercoles",19,31.5,-34.5928894,-58.3874927,2021-03-27
"51","Melody Cafe, Ciudad de Buenos Aires","miercoles",20,0,-34.5928894,-58.3874927,2021-03-27
"52","Melody Cafe, Ciudad de Buenos Aires","miercoles",21,0,-34.5928894,-58.3874927,2021-03-27
"53","Melody Cafe, Ciudad de Buenos Aires","miercoles",22,0,-34.5928894,-58.3874927,2021-03-27
"54","Melody Cafe, Ciudad de Buenos Aires","miercoles",23,0,-34.5928894,-58.3874927,2021-03-27
"55","Melody Cafe, Ciudad de Buenos Aires","jueves",6,0,-34.5928894,-58.3874927,2021-03-27
"56","Melody Cafe, Ciudad de Buenos Aires","jueves",7,4.5,-34.5928894,-58.3874927,2021-03-27
"57","Melody Cafe, Ciudad de Buenos Aires","jueves",8,26.25,-34.5928894,-58.3874927,2021-03-27
"58","Melody Cafe, Ciudad de Buenos Aires","jueves",9,48.75,-34.5928894,-58.3874927,2021-03-27
"59","Melody Cafe, Ciudad de Buenos Aires","jueves",10,37.5,-34.5928894,-58.3874927,2021-03-27
"60","Melody Cafe, Ciudad de Buenos Aires","jueves",11,34.5,-34.5928894,-58.3874927,2021-03-27
"61","Melody Cafe, Ciudad de Buenos Aires","jueves",12,56.25,-34.5928894,-58.3874927,2021-03-27
"62","Melody Cafe, Ciudad de Buenos Aires","jueves",13,73.5,-34.5928894,-58.3874927,2021-03-27
"63","Melody Cafe, Ciudad de Buenos Aires","jueves",14,73.5,-34.5928894,-58.3874927,2021-03-27
"64","Melody Cafe, Ciudad de Buenos Aires","jueves",15,56.25,-34.5928894,-58.3874927,2021-03-27
"65","Melody Cafe, Ciudad de Buenos Aires","jueves",16,32.25,-34.5928894,-58.3874927,2021-03-27
"66","Melody Cafe, Ciudad de Buenos Aires","jueves",17,25.5,-34.5928894,-58.3874927,2021-03-27
"67","Melody Cafe, Ciudad de Buenos Aires","jueves",18,58.5,-34.5928894,-58.3874927,2021-03-27
"68","Melody Cafe, Ciudad de Buenos Aires","jueves",19,56.25,-34.5928894,-58.3874927,2021-03-27
"69","Melody Cafe, Ciudad de Buenos Aires","jueves",20,0,-34.5928894,-58.3874927,2021-03-27
"70","Melody Cafe, Ciudad de Buenos Aires","jueves",21,0,-34.5928894,-58.3874927,2021-03-27
"71","Melody Cafe, Ciudad de Buenos Aires","jueves",22,0,-34.5928894,-58.3874927,2021-03-27
"72","Melody Cafe, Ciudad de Buenos Aires","jueves",23,0,-34.5928894,-58.3874927,2021-03-27
"73","Melody Cafe, Ciudad de Buenos Aires","viernes",6,0,-34.5928894,-58.3874927,2021-03-27
"74","Melody Cafe, Ciudad de Buenos Aires","viernes",7,9,-34.5928894,-58.3874927,2021-03-27
"75","Melody Cafe, Ciudad de Buenos Aires","viernes",8,21,-34.5928894,-58.3874927,2021-03-27
"76","Melody Cafe, Ciudad de Buenos Aires","viernes",9,38.25,-34.5928894,-58.3874927,2021-03-27
"77","Melody Cafe, Ciudad de Buenos Aires","viernes",10,57,-34.5928894,-58.3874927,2021-03-27
"78","Melody Cafe, Ciudad de Buenos Aires","viernes",11,71.25,-34.5928894,-58.3874927,2021-03-27
"79","Melody Cafe, Ciudad de Buenos Aires","viernes",12,75,-34.5928894,-58.3874927,2021-03-27
"80","Melody Cafe, Ciudad de Buenos Aires","viernes",13,66.75,-34.5928894,-58.3874927,2021-03-27
"81","Melody Cafe, Ciudad de Buenos Aires","viernes",14,52.5,-34.5928894,-58.3874927,2021-03-27
"82","Melody Cafe, Ciudad de Buenos Aires","viernes",15,44.25,-34.5928894,-58.3874927,2021-03-27
"83","Melody Cafe, Ciudad de Buenos Aires","viernes",16,50.25,-34.5928894,-58.3874927,2021-03-27
"84","Melody Cafe, Ciudad de Buenos Aires","viernes",17,63,-34.5928894,-58.3874927,2021-03-27
"85","Melody Cafe, Ciudad de Buenos Aires","viernes",18,63.75,-34.5928894,-58.3874927,2021-03-27
"86","Melody Cafe, Ciudad de Buenos Aires","viernes",19,45,-34.5928894,-58.3874927,2021-03-27
"87","Melody Cafe, Ciudad de Buenos Aires","viernes",20,0,-34.5928894,-58.3874927,2021-03-27
"88","Melody Cafe, Ciudad de Buenos Aires","viernes",21,0,-34.5928894,-58.3874927,2021-03-27
"89","Melody Cafe, Ciudad de Buenos Aires","viernes",22,0,-34.5928894,-58.3874927,2021-03-27
"90","Melody Cafe, Ciudad de Buenos Aires","viernes",23,0,-34.5928894,-58.3874927,2021-03-27
"91","Melody Cafe, Ciudad de Buenos Aires","sabado",6,0,-34.5928894,-58.3874927,2021-03-27
"92","Melody Cafe, Ciudad de Buenos Aires","sabado",7,0,-34.5928894,-58.3874927,2021-03-27
"93","Melody Cafe, Ciudad de Buenos Aires","sabado",8,7.5,-34.5928894,-58.3874927,2021-03-27
"94","Melody Cafe, Ciudad de Buenos Aires","sabado",9,21.75,-34.5928894,-58.3874927,2021-03-27
"95","Melody Cafe, Ciudad de Buenos Aires","sabado",10,30,-34.5928894,-58.3874927,2021-03-27
"96","Melody Cafe, Ciudad de Buenos Aires","sabado",11,24,-34.5928894,-58.3874927,2021-03-27
"97","Melody Cafe, Ciudad de Buenos Aires","sabado",12,19.5,-34.5928894,-58.3874927,2021-03-27
"98","Melody Cafe, Ciudad de Buenos Aires","sabado",13,17.25,-34.5928894,-58.3874927,2021-03-27
"99","Melody Cafe, Ciudad de Buenos Aires","sabado",14,0,-34.5928894,-58.3874927,2021-03-27
"100","Melody Cafe, Ciudad de Buenos Aires","sabado",15,0,-34.5928894,-58.3874927,2021-03-27
"101","Melody Cafe, Ciudad de Buenos Aires","sabado",16,0,-34.5928894,-58.3874927,2021-03-27
"102","Melody Cafe, Ciudad de Buenos Aires","sabado",17,0,-34.5928894,-58.3874927,2021-03-27
"103","Melody Cafe, Ciudad de Buenos Aires","sabado",18,0,-34.5928894,-58.3874927,2021-03-27
