"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Mercado Del Centro, Ciudad de Buenos Aires","lunes",6,0,-34.6022101,-58.374001,2021-03-27
"2","Mercado Del Centro, Ciudad de Buenos Aires","lunes",7,4.5,-34.6022101,-58.374001,2021-03-27
"3","Mercado Del Centro, Ciudad de Buenos Aires","lunes",8,12.75,-34.6022101,-58.374001,2021-03-27
"4","Mercado Del Centro, Ciudad de Buenos Aires","lunes",9,19.5,-34.6022101,-58.374001,2021-03-27
"5","Mercado Del Centro, Ciudad de Buenos Aires","lunes",10,17.25,-34.6022101,-58.374001,2021-03-27
"6","Mercado Del Centro, Ciudad de Buenos Aires","lunes",11,18,-34.6022101,-58.374001,2021-03-27
"7","Mercado Del Centro, Ciudad de Buenos Aires","lunes",12,27,-34.6022101,-58.374001,2021-03-27
"8","Mercado Del Centro, Ciudad de Buenos Aires","lunes",13,35.25,-34.6022101,-58.374001,2021-03-27
"9","Mercado Del Centro, Ciudad de Buenos Aires","lunes",14,32.25,-34.6022101,-58.374001,2021-03-27
"10","Mercado Del Centro, Ciudad de Buenos Aires","lunes",15,24.75,-34.6022101,-58.374001,2021-03-27
"11","Mercado Del Centro, Ciudad de Buenos Aires","lunes",16,19.5,-34.6022101,-58.374001,2021-03-27
"12","Mercado Del Centro, Ciudad de Buenos Aires","lunes",17,21.75,-34.6022101,-58.374001,2021-03-27
"13","Mercado Del Centro, Ciudad de Buenos Aires","lunes",18,26.25,-34.6022101,-58.374001,2021-03-27
"14","Mercado Del Centro, Ciudad de Buenos Aires","lunes",19,29.25,-34.6022101,-58.374001,2021-03-27
"15","Mercado Del Centro, Ciudad de Buenos Aires","lunes",20,29.25,-34.6022101,-58.374001,2021-03-27
"16","Mercado Del Centro, Ciudad de Buenos Aires","lunes",21,25.5,-34.6022101,-58.374001,2021-03-27
"17","Mercado Del Centro, Ciudad de Buenos Aires","lunes",22,18.75,-34.6022101,-58.374001,2021-03-27
"18","Mercado Del Centro, Ciudad de Buenos Aires","lunes",23,12.75,-34.6022101,-58.374001,2021-03-27
"19","Mercado Del Centro, Ciudad de Buenos Aires","martes",0,6.75,-34.6022101,-58.374001,2021-03-27
"20","Mercado Del Centro, Ciudad de Buenos Aires","martes",6,0,-34.6022101,-58.374001,2021-03-27
"21","Mercado Del Centro, Ciudad de Buenos Aires","martes",7,4.5,-34.6022101,-58.374001,2021-03-27
"22","Mercado Del Centro, Ciudad de Buenos Aires","martes",8,13.5,-34.6022101,-58.374001,2021-03-27
"23","Mercado Del Centro, Ciudad de Buenos Aires","martes",9,25.5,-34.6022101,-58.374001,2021-03-27
"24","Mercado Del Centro, Ciudad de Buenos Aires","martes",10,28.5,-34.6022101,-58.374001,2021-03-27
"25","Mercado Del Centro, Ciudad de Buenos Aires","martes",11,22.5,-34.6022101,-58.374001,2021-03-27
"26","Mercado Del Centro, Ciudad de Buenos Aires","martes",12,21.75,-34.6022101,-58.374001,2021-03-27
"27","Mercado Del Centro, Ciudad de Buenos Aires","martes",13,33,-34.6022101,-58.374001,2021-03-27
"28","Mercado Del Centro, Ciudad de Buenos Aires","martes",14,39.75,-34.6022101,-58.374001,2021-03-27
"29","Mercado Del Centro, Ciudad de Buenos Aires","martes",15,33,-34.6022101,-58.374001,2021-03-27
"30","Mercado Del Centro, Ciudad de Buenos Aires","martes",16,27.75,-34.6022101,-58.374001,2021-03-27
"31","Mercado Del Centro, Ciudad de Buenos Aires","martes",17,29.25,-34.6022101,-58.374001,2021-03-27
"32","Mercado Del Centro, Ciudad de Buenos Aires","martes",18,30.75,-34.6022101,-58.374001,2021-03-27
"33","Mercado Del Centro, Ciudad de Buenos Aires","martes",19,30,-34.6022101,-58.374001,2021-03-27
"34","Mercado Del Centro, Ciudad de Buenos Aires","martes",20,27,-34.6022101,-58.374001,2021-03-27
"35","Mercado Del Centro, Ciudad de Buenos Aires","martes",21,23.25,-34.6022101,-58.374001,2021-03-27
"36","Mercado Del Centro, Ciudad de Buenos Aires","martes",22,18,-34.6022101,-58.374001,2021-03-27
"37","Mercado Del Centro, Ciudad de Buenos Aires","martes",23,13.5,-34.6022101,-58.374001,2021-03-27
"38","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",0,9,-34.6022101,-58.374001,2021-03-27
"39","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",6,0,-34.6022101,-58.374001,2021-03-27
"40","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",7,6,-34.6022101,-58.374001,2021-03-27
"41","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",8,19.5,-34.6022101,-58.374001,2021-03-27
"42","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",9,35.25,-34.6022101,-58.374001,2021-03-27
"43","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",10,39.75,-34.6022101,-58.374001,2021-03-27
"44","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",11,35.25,-34.6022101,-58.374001,2021-03-27
"45","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",12,35.25,-34.6022101,-58.374001,2021-03-27
"46","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",13,43.5,-34.6022101,-58.374001,2021-03-27
"47","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",14,48.75,-34.6022101,-58.374001,2021-03-27
"48","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",15,46.5,-34.6022101,-58.374001,2021-03-27
"49","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",16,39.75,-34.6022101,-58.374001,2021-03-27
"50","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",17,36.75,-34.6022101,-58.374001,2021-03-27
"51","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",18,39.75,-34.6022101,-58.374001,2021-03-27
"52","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",19,43.5,-34.6022101,-58.374001,2021-03-27
"53","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",20,43.5,-34.6022101,-58.374001,2021-03-27
"54","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",21,38.25,-34.6022101,-58.374001,2021-03-27
"55","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",22,29.25,-34.6022101,-58.374001,2021-03-27
"56","Mercado Del Centro, Ciudad de Buenos Aires","miercoles",23,18.75,-34.6022101,-58.374001,2021-03-27
"57","Mercado Del Centro, Ciudad de Buenos Aires","jueves",0,10.5,-34.6022101,-58.374001,2021-03-27
"58","Mercado Del Centro, Ciudad de Buenos Aires","jueves",6,0,-34.6022101,-58.374001,2021-03-27
"59","Mercado Del Centro, Ciudad de Buenos Aires","jueves",7,3,-34.6022101,-58.374001,2021-03-27
"60","Mercado Del Centro, Ciudad de Buenos Aires","jueves",8,9,-34.6022101,-58.374001,2021-03-27
"61","Mercado Del Centro, Ciudad de Buenos Aires","jueves",9,18,-34.6022101,-58.374001,2021-03-27
"62","Mercado Del Centro, Ciudad de Buenos Aires","jueves",10,32.25,-34.6022101,-58.374001,2021-03-27
"63","Mercado Del Centro, Ciudad de Buenos Aires","jueves",11,47.25,-34.6022101,-58.374001,2021-03-27
"64","Mercado Del Centro, Ciudad de Buenos Aires","jueves",12,57,-34.6022101,-58.374001,2021-03-27
"65","Mercado Del Centro, Ciudad de Buenos Aires","jueves",13,57.75,-34.6022101,-58.374001,2021-03-27
"66","Mercado Del Centro, Ciudad de Buenos Aires","jueves",14,51,-34.6022101,-58.374001,2021-03-27
"67","Mercado Del Centro, Ciudad de Buenos Aires","jueves",15,42,-34.6022101,-58.374001,2021-03-27
"68","Mercado Del Centro, Ciudad de Buenos Aires","jueves",16,38.25,-34.6022101,-58.374001,2021-03-27
"69","Mercado Del Centro, Ciudad de Buenos Aires","jueves",17,42,-34.6022101,-58.374001,2021-03-27
"70","Mercado Del Centro, Ciudad de Buenos Aires","jueves",18,51,-34.6022101,-58.374001,2021-03-27
"71","Mercado Del Centro, Ciudad de Buenos Aires","jueves",19,56.25,-34.6022101,-58.374001,2021-03-27
"72","Mercado Del Centro, Ciudad de Buenos Aires","jueves",20,55.5,-34.6022101,-58.374001,2021-03-27
"73","Mercado Del Centro, Ciudad de Buenos Aires","jueves",21,46.5,-34.6022101,-58.374001,2021-03-27
