"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Merci, Ciudad de Buenos Aires","lunes",6,0,-34.6195159,-58.3723549,2021-03-29
"2","Merci, Ciudad de Buenos Aires","lunes",7,0,-34.6195159,-58.3723549,2021-03-29
"3","Merci, Ciudad de Buenos Aires","lunes",8,0,-34.6195159,-58.3723549,2021-03-29
"4","Merci, Ciudad de Buenos Aires","lunes",9,10.5,-34.6195159,-58.3723549,2021-03-29
"5","Merci, Ciudad de Buenos Aires","lunes",10,18,-34.6195159,-58.3723549,2021-03-29
"6","Merci, Ciudad de Buenos Aires","lunes",11,22.5,-34.6195159,-58.3723549,2021-03-29
"7","Merci, Ciudad de Buenos Aires","lunes",12,22.5,-34.6195159,-58.3723549,2021-03-29
"8","Merci, Ciudad de Buenos Aires","lunes",13,21.75,-34.6195159,-58.3723549,2021-03-29
"9","Merci, Ciudad de Buenos Aires","lunes",14,22.5,-34.6195159,-58.3723549,2021-03-29
"10","Merci, Ciudad de Buenos Aires","lunes",15,24,-34.6195159,-58.3723549,2021-03-29
"11","Merci, Ciudad de Buenos Aires","lunes",16,24,-34.6195159,-58.3723549,2021-03-29
"12","Merci, Ciudad de Buenos Aires","lunes",17,21,-34.6195159,-58.3723549,2021-03-29
"13","Merci, Ciudad de Buenos Aires","lunes",18,17.25,-34.6195159,-58.3723549,2021-03-29
"14","Merci, Ciudad de Buenos Aires","lunes",19,12.75,-34.6195159,-58.3723549,2021-03-29
"15","Merci, Ciudad de Buenos Aires","lunes",20,0,-34.6195159,-58.3723549,2021-03-29
"16","Merci, Ciudad de Buenos Aires","lunes",21,0,-34.6195159,-58.3723549,2021-03-29
"17","Merci, Ciudad de Buenos Aires","lunes",22,0,-34.6195159,-58.3723549,2021-03-29
"18","Merci, Ciudad de Buenos Aires","lunes",23,0,-34.6195159,-58.3723549,2021-03-29
"19","Merci, Ciudad de Buenos Aires","martes",6,0,-34.6195159,-58.3723549,2021-03-29
"20","Merci, Ciudad de Buenos Aires","martes",7,0,-34.6195159,-58.3723549,2021-03-29
"21","Merci, Ciudad de Buenos Aires","martes",8,0,-34.6195159,-58.3723549,2021-03-29
"22","Merci, Ciudad de Buenos Aires","martes",9,12.75,-34.6195159,-58.3723549,2021-03-29
"23","Merci, Ciudad de Buenos Aires","martes",10,24,-34.6195159,-58.3723549,2021-03-29
"24","Merci, Ciudad de Buenos Aires","martes",11,33.75,-34.6195159,-58.3723549,2021-03-29
"25","Merci, Ciudad de Buenos Aires","martes",12,38.25,-34.6195159,-58.3723549,2021-03-29
"26","Merci, Ciudad de Buenos Aires","martes",13,37.5,-34.6195159,-58.3723549,2021-03-29
"27","Merci, Ciudad de Buenos Aires","martes",14,32.25,-34.6195159,-58.3723549,2021-03-29
"28","Merci, Ciudad de Buenos Aires","martes",15,28.5,-34.6195159,-58.3723549,2021-03-29
"29","Merci, Ciudad de Buenos Aires","martes",16,27.75,-34.6195159,-58.3723549,2021-03-29
"30","Merci, Ciudad de Buenos Aires","martes",17,28.5,-34.6195159,-58.3723549,2021-03-29
"31","Merci, Ciudad de Buenos Aires","martes",18,29.25,-34.6195159,-58.3723549,2021-03-29
"32","Merci, Ciudad de Buenos Aires","martes",19,27.75,-34.6195159,-58.3723549,2021-03-29
"33","Merci, Ciudad de Buenos Aires","martes",20,23.25,-34.6195159,-58.3723549,2021-03-29
"34","Merci, Ciudad de Buenos Aires","martes",21,16.5,-34.6195159,-58.3723549,2021-03-29
"35","Merci, Ciudad de Buenos Aires","martes",22,10.5,-34.6195159,-58.3723549,2021-03-29
"36","Merci, Ciudad de Buenos Aires","martes",23,0,-34.6195159,-58.3723549,2021-03-29
"37","Merci, Ciudad de Buenos Aires","miercoles",6,0,-34.6195159,-58.3723549,2021-03-29
"38","Merci, Ciudad de Buenos Aires","miercoles",7,0,-34.6195159,-58.3723549,2021-03-29
"39","Merci, Ciudad de Buenos Aires","miercoles",8,0,-34.6195159,-58.3723549,2021-03-29
"40","Merci, Ciudad de Buenos Aires","miercoles",9,16.5,-34.6195159,-58.3723549,2021-03-29
"41","Merci, Ciudad de Buenos Aires","miercoles",10,29.25,-34.6195159,-58.3723549,2021-03-29
"42","Merci, Ciudad de Buenos Aires","miercoles",11,36.75,-34.6195159,-58.3723549,2021-03-29
"43","Merci, Ciudad de Buenos Aires","miercoles",12,36,-34.6195159,-58.3723549,2021-03-29
"44","Merci, Ciudad de Buenos Aires","miercoles",13,28.5,-34.6195159,-58.3723549,2021-03-29
"45","Merci, Ciudad de Buenos Aires","miercoles",14,21,-34.6195159,-58.3723549,2021-03-29
"46","Merci, Ciudad de Buenos Aires","miercoles",15,18.75,-34.6195159,-58.3723549,2021-03-29
"47","Merci, Ciudad de Buenos Aires","miercoles",16,21,-34.6195159,-58.3723549,2021-03-29
"48","Merci, Ciudad de Buenos Aires","miercoles",17,24,-34.6195159,-58.3723549,2021-03-29
"49","Merci, Ciudad de Buenos Aires","miercoles",18,25.5,-34.6195159,-58.3723549,2021-03-29
"50","Merci, Ciudad de Buenos Aires","miercoles",19,23.25,-34.6195159,-58.3723549,2021-03-29
"51","Merci, Ciudad de Buenos Aires","miercoles",20,18.75,-34.6195159,-58.3723549,2021-03-29
"52","Merci, Ciudad de Buenos Aires","miercoles",21,12.75,-34.6195159,-58.3723549,2021-03-29
"53","Merci, Ciudad de Buenos Aires","miercoles",22,6,-34.6195159,-58.3723549,2021-03-29
"54","Merci, Ciudad de Buenos Aires","miercoles",23,0,-34.6195159,-58.3723549,2021-03-29
"55","Merci, Ciudad de Buenos Aires","jueves",6,0,-34.6195159,-58.3723549,2021-03-29
"56","Merci, Ciudad de Buenos Aires","jueves",7,0,-34.6195159,-58.3723549,2021-03-29
"57","Merci, Ciudad de Buenos Aires","jueves",8,0,-34.6195159,-58.3723549,2021-03-29
"58","Merci, Ciudad de Buenos Aires","jueves",9,21.75,-34.6195159,-58.3723549,2021-03-29
"59","Merci, Ciudad de Buenos Aires","jueves",10,36,-34.6195159,-58.3723549,2021-03-29
"60","Merci, Ciudad de Buenos Aires","jueves",11,39.75,-34.6195159,-58.3723549,2021-03-29
"61","Merci, Ciudad de Buenos Aires","jueves",12,33,-34.6195159,-58.3723549,2021-03-29
"62","Merci, Ciudad de Buenos Aires","jueves",13,27,-34.6195159,-58.3723549,2021-03-29
"63","Merci, Ciudad de Buenos Aires","jueves",14,25.5,-34.6195159,-58.3723549,2021-03-29
"64","Merci, Ciudad de Buenos Aires","jueves",15,22.5,-34.6195159,-58.3723549,2021-03-29
"65","Merci, Ciudad de Buenos Aires","jueves",16,17.25,-34.6195159,-58.3723549,2021-03-29
"66","Merci, Ciudad de Buenos Aires","jueves",17,15.75,-34.6195159,-58.3723549,2021-03-29
"67","Merci, Ciudad de Buenos Aires","jueves",18,18.75,-34.6195159,-58.3723549,2021-03-29
"68","Merci, Ciudad de Buenos Aires","jueves",19,21,-34.6195159,-58.3723549,2021-03-29
"69","Merci, Ciudad de Buenos Aires","jueves",20,16.5,-34.6195159,-58.3723549,2021-03-29
"70","Merci, Ciudad de Buenos Aires","jueves",21,8.25,-34.6195159,-58.3723549,2021-03-29
"71","Merci, Ciudad de Buenos Aires","jueves",22,0.75,-34.6195159,-58.3723549,2021-03-29
"72","Merci, Ciudad de Buenos Aires","jueves",23,0,-34.6195159,-58.3723549,2021-03-29
"73","Merci, Ciudad de Buenos Aires","viernes",6,0,-34.6195159,-58.3723549,2021-03-29
"74","Merci, Ciudad de Buenos Aires","viernes",7,0,-34.6195159,-58.3723549,2021-03-29
"75","Merci, Ciudad de Buenos Aires","viernes",8,0,-34.6195159,-58.3723549,2021-03-29
"76","Merci, Ciudad de Buenos Aires","viernes",9,0,-34.6195159,-58.3723549,2021-03-29
"77","Merci, Ciudad de Buenos Aires","viernes",10,29.25,-34.6195159,-58.3723549,2021-03-29
"78","Merci, Ciudad de Buenos Aires","viernes",11,39,-34.6195159,-58.3723549,2021-03-29
"79","Merci, Ciudad de Buenos Aires","viernes",12,42.75,-34.6195159,-58.3723549,2021-03-29
"80","Merci, Ciudad de Buenos Aires","viernes",13,37.5,-34.6195159,-58.3723549,2021-03-29
"81","Merci, Ciudad de Buenos Aires","viernes",14,26.25,-34.6195159,-58.3723549,2021-03-29
