"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",6,0,-34.5623517,-58.4425841,2021-03-29
"2","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",7,0,-34.5623517,-58.4425841,2021-03-29
"3","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",8,0,-34.5623517,-58.4425841,2021-03-29
"4","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",9,6.75,-34.5623517,-58.4425841,2021-03-29
"5","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",10,21,-34.5623517,-58.4425841,2021-03-29
"6","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",11,31.5,-34.5623517,-58.4425841,2021-03-29
"7","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",12,30,-34.5623517,-58.4425841,2021-03-29
"8","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",13,19.5,-34.5623517,-58.4425841,2021-03-29
"9","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",14,11.25,-34.5623517,-58.4425841,2021-03-29
"10","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",15,11.25,-34.5623517,-58.4425841,2021-03-29
"11","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",16,20.25,-34.5623517,-58.4425841,2021-03-29
"12","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",17,32.25,-34.5623517,-58.4425841,2021-03-29
"13","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",18,36,-34.5623517,-58.4425841,2021-03-29
"14","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",19,28.5,-34.5623517,-58.4425841,2021-03-29
"15","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",20,13.5,-34.5623517,-58.4425841,2021-03-29
"16","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",21,0,-34.5623517,-58.4425841,2021-03-29
"17","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",22,0,-34.5623517,-58.4425841,2021-03-29
"18","Mos Bakery &amp; More, Ciudad de Buenos Aires","lunes",23,0,-34.5623517,-58.4425841,2021-03-29
"19","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",6,0,-34.5623517,-58.4425841,2021-03-29
"20","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",7,0,-34.5623517,-58.4425841,2021-03-29
"21","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",8,0,-34.5623517,-58.4425841,2021-03-29
"22","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",9,23.25,-34.5623517,-58.4425841,2021-03-29
"23","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",10,45.75,-34.5623517,-58.4425841,2021-03-29
"24","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",11,57,-34.5623517,-58.4425841,2021-03-29
"25","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",12,53.25,-34.5623517,-58.4425841,2021-03-29
"26","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",13,41.25,-34.5623517,-58.4425841,2021-03-29
"27","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",14,35.25,-34.5623517,-58.4425841,2021-03-29
"28","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",15,36,-34.5623517,-58.4425841,2021-03-29
"29","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",16,39.75,-34.5623517,-58.4425841,2021-03-29
"30","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",17,39,-34.5623517,-58.4425841,2021-03-29
"31","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",18,33.75,-34.5623517,-58.4425841,2021-03-29
"32","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",19,23.25,-34.5623517,-58.4425841,2021-03-29
"33","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",20,12,-34.5623517,-58.4425841,2021-03-29
"34","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",21,0,-34.5623517,-58.4425841,2021-03-29
"35","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",22,0,-34.5623517,-58.4425841,2021-03-29
"36","Mos Bakery &amp; More, Ciudad de Buenos Aires","martes",23,0,-34.5623517,-58.4425841,2021-03-29
"37","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",6,0,-34.5623517,-58.4425841,2021-03-29
"38","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",7,0,-34.5623517,-58.4425841,2021-03-29
"39","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",8,0,-34.5623517,-58.4425841,2021-03-29
"40","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",9,30,-34.5623517,-58.4425841,2021-03-29
"41","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",10,49.5,-34.5623517,-58.4425841,2021-03-29
"42","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",11,54.75,-34.5623517,-58.4425841,2021-03-29
"43","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",12,43.5,-34.5623517,-58.4425841,2021-03-29
"44","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",13,27.75,-34.5623517,-58.4425841,2021-03-29
"45","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",14,21.75,-34.5623517,-58.4425841,2021-03-29
"46","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",15,29.25,-34.5623517,-58.4425841,2021-03-29
"47","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",16,42.75,-34.5623517,-58.4425841,2021-03-29
"48","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",17,51,-34.5623517,-58.4425841,2021-03-29
"49","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",18,45,-34.5623517,-58.4425841,2021-03-29
"50","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",19,28.5,-34.5623517,-58.4425841,2021-03-29
"51","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",20,9.75,-34.5623517,-58.4425841,2021-03-29
"52","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",21,0,-34.5623517,-58.4425841,2021-03-29
"53","Mos Bakery &amp; More, Ciudad de Buenos Aires","miercoles",22,0,-34.5623517,-58.4425841,2021-03-29
