"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Mr. Pollo, Ciudad de Buenos Aires","martes",6,0,-34.5802198,-58.4358567,2021-03-29
"2","Mr. Pollo, Ciudad de Buenos Aires","martes",7,0,-34.5802198,-58.4358567,2021-03-29
"3","Mr. Pollo, Ciudad de Buenos Aires","martes",8,0,-34.5802198,-58.4358567,2021-03-29
"4","Mr. Pollo, Ciudad de Buenos Aires","martes",9,0,-34.5802198,-58.4358567,2021-03-29
"5","Mr. Pollo, Ciudad de Buenos Aires","martes",10,0,-34.5802198,-58.4358567,2021-03-29
"6","Mr. Pollo, Ciudad de Buenos Aires","martes",11,0,-34.5802198,-58.4358567,2021-03-29
"7","Mr. Pollo, Ciudad de Buenos Aires","martes",12,19.5,-34.5802198,-58.4358567,2021-03-29
"8","Mr. Pollo, Ciudad de Buenos Aires","martes",13,30.75,-34.5802198,-58.4358567,2021-03-29
"9","Mr. Pollo, Ciudad de Buenos Aires","martes",14,33.75,-34.5802198,-58.4358567,2021-03-29
"10","Mr. Pollo, Ciudad de Buenos Aires","martes",15,27,-34.5802198,-58.4358567,2021-03-29
"11","Mr. Pollo, Ciudad de Buenos Aires","martes",16,18,-34.5802198,-58.4358567,2021-03-29
"12","Mr. Pollo, Ciudad de Buenos Aires","martes",17,15.75,-34.5802198,-58.4358567,2021-03-29
"13","Mr. Pollo, Ciudad de Buenos Aires","martes",18,24,-34.5802198,-58.4358567,2021-03-29
"14","Mr. Pollo, Ciudad de Buenos Aires","martes",19,42,-34.5802198,-58.4358567,2021-03-29
"15","Mr. Pollo, Ciudad de Buenos Aires","martes",20,62.25,-34.5802198,-58.4358567,2021-03-29
"16","Mr. Pollo, Ciudad de Buenos Aires","martes",21,75,-34.5802198,-58.4358567,2021-03-29
"17","Mr. Pollo, Ciudad de Buenos Aires","martes",22,72,-34.5802198,-58.4358567,2021-03-29
"18","Mr. Pollo, Ciudad de Buenos Aires","martes",23,56.25,-34.5802198,-58.4358567,2021-03-29
"19","Mr. Pollo, Ciudad de Buenos Aires","miercoles",6,0,-34.5802198,-58.4358567,2021-03-29
"20","Mr. Pollo, Ciudad de Buenos Aires","miercoles",7,0,-34.5802198,-58.4358567,2021-03-29
"21","Mr. Pollo, Ciudad de Buenos Aires","miercoles",8,0,-34.5802198,-58.4358567,2021-03-29
"22","Mr. Pollo, Ciudad de Buenos Aires","miercoles",9,0,-34.5802198,-58.4358567,2021-03-29
"23","Mr. Pollo, Ciudad de Buenos Aires","miercoles",10,0,-34.5802198,-58.4358567,2021-03-29
"24","Mr. Pollo, Ciudad de Buenos Aires","miercoles",11,0,-34.5802198,-58.4358567,2021-03-29
"25","Mr. Pollo, Ciudad de Buenos Aires","miercoles",12,24.75,-34.5802198,-58.4358567,2021-03-29
"26","Mr. Pollo, Ciudad de Buenos Aires","miercoles",13,42.75,-34.5802198,-58.4358567,2021-03-29
"27","Mr. Pollo, Ciudad de Buenos Aires","miercoles",14,47.25,-34.5802198,-58.4358567,2021-03-29
"28","Mr. Pollo, Ciudad de Buenos Aires","miercoles",15,35.25,-34.5802198,-58.4358567,2021-03-29
"29","Mr. Pollo, Ciudad de Buenos Aires","miercoles",16,21.75,-34.5802198,-58.4358567,2021-03-29
"30","Mr. Pollo, Ciudad de Buenos Aires","miercoles",17,19.5,-34.5802198,-58.4358567,2021-03-29
"31","Mr. Pollo, Ciudad de Buenos Aires","miercoles",18,27,-34.5802198,-58.4358567,2021-03-29
"32","Mr. Pollo, Ciudad de Buenos Aires","miercoles",19,39,-34.5802198,-58.4358567,2021-03-29
"33","Mr. Pollo, Ciudad de Buenos Aires","miercoles",20,49.5,-34.5802198,-58.4358567,2021-03-29
"34","Mr. Pollo, Ciudad de Buenos Aires","miercoles",21,54.75,-34.5802198,-58.4358567,2021-03-29
"35","Mr. Pollo, Ciudad de Buenos Aires","miercoles",22,52.5,-34.5802198,-58.4358567,2021-03-29
"36","Mr. Pollo, Ciudad de Buenos Aires","miercoles",23,42,-34.5802198,-58.4358567,2021-03-29
"37","Mr. Pollo, Ciudad de Buenos Aires","jueves",6,0,-34.5802198,-58.4358567,2021-03-29
"38","Mr. Pollo, Ciudad de Buenos Aires","jueves",7,0,-34.5802198,-58.4358567,2021-03-29
"39","Mr. Pollo, Ciudad de Buenos Aires","jueves",8,0,-34.5802198,-58.4358567,2021-03-29
"40","Mr. Pollo, Ciudad de Buenos Aires","jueves",9,0,-34.5802198,-58.4358567,2021-03-29
"41","Mr. Pollo, Ciudad de Buenos Aires","jueves",10,0,-34.5802198,-58.4358567,2021-03-29
"42","Mr. Pollo, Ciudad de Buenos Aires","jueves",11,0,-34.5802198,-58.4358567,2021-03-29
"43","Mr. Pollo, Ciudad de Buenos Aires","jueves",12,21,-34.5802198,-58.4358567,2021-03-29
"44","Mr. Pollo, Ciudad de Buenos Aires","jueves",13,39,-34.5802198,-58.4358567,2021-03-29
"45","Mr. Pollo, Ciudad de Buenos Aires","jueves",14,45,-34.5802198,-58.4358567,2021-03-29
