"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Muelle 33, Ciudad de Buenos Aires","martes",6,0,-34.5887363,-58.4462613,2021-03-28
"2","Muelle 33, Ciudad de Buenos Aires","martes",7,0,-34.5887363,-58.4462613,2021-03-28
"3","Muelle 33, Ciudad de Buenos Aires","martes",8,0,-34.5887363,-58.4462613,2021-03-28
"4","Muelle 33, Ciudad de Buenos Aires","martes",9,0.75,-34.5887363,-58.4462613,2021-03-28
"5","Muelle 33, Ciudad de Buenos Aires","martes",10,2.25,-34.5887363,-58.4462613,2021-03-28
"6","Muelle 33, Ciudad de Buenos Aires","martes",11,9.75,-34.5887363,-58.4462613,2021-03-28
"7","Muelle 33, Ciudad de Buenos Aires","martes",12,19.5,-34.5887363,-58.4462613,2021-03-28
"8","Muelle 33, Ciudad de Buenos Aires","martes",13,26.25,-34.5887363,-58.4462613,2021-03-28
"9","Muelle 33, Ciudad de Buenos Aires","martes",14,27.75,-34.5887363,-58.4462613,2021-03-28
"10","Muelle 33, Ciudad de Buenos Aires","martes",15,23.25,-34.5887363,-58.4462613,2021-03-28
"11","Muelle 33, Ciudad de Buenos Aires","martes",16,16.5,-34.5887363,-58.4462613,2021-03-28
"12","Muelle 33, Ciudad de Buenos Aires","martes",17,10.5,-34.5887363,-58.4462613,2021-03-28
"13","Muelle 33, Ciudad de Buenos Aires","martes",18,10.5,-34.5887363,-58.4462613,2021-03-28
"14","Muelle 33, Ciudad de Buenos Aires","martes",19,17.25,-34.5887363,-58.4462613,2021-03-28
"15","Muelle 33, Ciudad de Buenos Aires","martes",20,30,-34.5887363,-58.4462613,2021-03-28
"16","Muelle 33, Ciudad de Buenos Aires","martes",21,41.25,-34.5887363,-58.4462613,2021-03-28
"17","Muelle 33, Ciudad de Buenos Aires","martes",22,39,-34.5887363,-58.4462613,2021-03-28
"18","Muelle 33, Ciudad de Buenos Aires","martes",23,26.25,-34.5887363,-58.4462613,2021-03-28
"19","Muelle 33, Ciudad de Buenos Aires","miercoles",6,0,-34.5887363,-58.4462613,2021-03-28
"20","Muelle 33, Ciudad de Buenos Aires","miercoles",7,0,-34.5887363,-58.4462613,2021-03-28
"21","Muelle 33, Ciudad de Buenos Aires","miercoles",8,0,-34.5887363,-58.4462613,2021-03-28
"22","Muelle 33, Ciudad de Buenos Aires","miercoles",9,3,-34.5887363,-58.4462613,2021-03-28
"23","Muelle 33, Ciudad de Buenos Aires","miercoles",10,7.5,-34.5887363,-58.4462613,2021-03-28
"24","Muelle 33, Ciudad de Buenos Aires","miercoles",11,13.5,-34.5887363,-58.4462613,2021-03-28
"25","Muelle 33, Ciudad de Buenos Aires","miercoles",12,21.75,-34.5887363,-58.4462613,2021-03-28
"26","Muelle 33, Ciudad de Buenos Aires","miercoles",13,29.25,-34.5887363,-58.4462613,2021-03-28
"27","Muelle 33, Ciudad de Buenos Aires","miercoles",14,34.5,-34.5887363,-58.4462613,2021-03-28
"28","Muelle 33, Ciudad de Buenos Aires","miercoles",15,34.5,-34.5887363,-58.4462613,2021-03-28
"29","Muelle 33, Ciudad de Buenos Aires","miercoles",16,30,-34.5887363,-58.4462613,2021-03-28
"30","Muelle 33, Ciudad de Buenos Aires","miercoles",17,24,-34.5887363,-58.4462613,2021-03-28
"31","Muelle 33, Ciudad de Buenos Aires","miercoles",18,22.5,-34.5887363,-58.4462613,2021-03-28
"32","Muelle 33, Ciudad de Buenos Aires","miercoles",19,27,-34.5887363,-58.4462613,2021-03-28
"33","Muelle 33, Ciudad de Buenos Aires","miercoles",20,36,-34.5887363,-58.4462613,2021-03-28
"34","Muelle 33, Ciudad de Buenos Aires","miercoles",21,42.75,-34.5887363,-58.4462613,2021-03-28
"35","Muelle 33, Ciudad de Buenos Aires","miercoles",22,39,-34.5887363,-58.4462613,2021-03-28
"36","Muelle 33, Ciudad de Buenos Aires","miercoles",23,26.25,-34.5887363,-58.4462613,2021-03-28
"37","Muelle 33, Ciudad de Buenos Aires","jueves",6,0,-34.5887363,-58.4462613,2021-03-28
"38","Muelle 33, Ciudad de Buenos Aires","jueves",7,0,-34.5887363,-58.4462613,2021-03-28
"39","Muelle 33, Ciudad de Buenos Aires","jueves",8,0,-34.5887363,-58.4462613,2021-03-28
"40","Muelle 33, Ciudad de Buenos Aires","jueves",9,1.5,-34.5887363,-58.4462613,2021-03-28
"41","Muelle 33, Ciudad de Buenos Aires","jueves",10,6,-34.5887363,-58.4462613,2021-03-28
"42","Muelle 33, Ciudad de Buenos Aires","jueves",11,14.25,-34.5887363,-58.4462613,2021-03-28
"43","Muelle 33, Ciudad de Buenos Aires","jueves",12,24,-34.5887363,-58.4462613,2021-03-28
"44","Muelle 33, Ciudad de Buenos Aires","jueves",13,32.25,-34.5887363,-58.4462613,2021-03-28
"45","Muelle 33, Ciudad de Buenos Aires","jueves",14,33.75,-34.5887363,-58.4462613,2021-03-28
"46","Muelle 33, Ciudad de Buenos Aires","jueves",15,28.5,-34.5887363,-58.4462613,2021-03-28
"47","Muelle 33, Ciudad de Buenos Aires","jueves",16,18,-34.5887363,-58.4462613,2021-03-28
"48","Muelle 33, Ciudad de Buenos Aires","jueves",17,9,-34.5887363,-58.4462613,2021-03-28
"49","Muelle 33, Ciudad de Buenos Aires","jueves",18,6,-34.5887363,-58.4462613,2021-03-28
"50","Muelle 33, Ciudad de Buenos Aires","jueves",19,15,-34.5887363,-58.4462613,2021-03-28
"51","Muelle 33, Ciudad de Buenos Aires","jueves",20,33,-34.5887363,-58.4462613,2021-03-28
"52","Muelle 33, Ciudad de Buenos Aires","jueves",21,51,-34.5887363,-58.4462613,2021-03-28
"53","Muelle 33, Ciudad de Buenos Aires","jueves",22,51.75,-34.5887363,-58.4462613,2021-03-28
"54","Muelle 33, Ciudad de Buenos Aires","jueves",23,35.25,-34.5887363,-58.4462613,2021-03-28
"55","Muelle 33, Ciudad de Buenos Aires","viernes",6,0,-34.5887363,-58.4462613,2021-03-28
"56","Muelle 33, Ciudad de Buenos Aires","viernes",7,0,-34.5887363,-58.4462613,2021-03-28
"57","Muelle 33, Ciudad de Buenos Aires","viernes",8,0,-34.5887363,-58.4462613,2021-03-28
"58","Muelle 33, Ciudad de Buenos Aires","viernes",9,1.5,-34.5887363,-58.4462613,2021-03-28
"59","Muelle 33, Ciudad de Buenos Aires","viernes",10,5.25,-34.5887363,-58.4462613,2021-03-28
"60","Muelle 33, Ciudad de Buenos Aires","viernes",11,10.5,-34.5887363,-58.4462613,2021-03-28
"61","Muelle 33, Ciudad de Buenos Aires","viernes",12,16.5,-34.5887363,-58.4462613,2021-03-28
"62","Muelle 33, Ciudad de Buenos Aires","viernes",13,21.75,-34.5887363,-58.4462613,2021-03-28
"63","Muelle 33, Ciudad de Buenos Aires","viernes",14,24,-34.5887363,-58.4462613,2021-03-28
"64","Muelle 33, Ciudad de Buenos Aires","viernes",15,24,-34.5887363,-58.4462613,2021-03-28
"65","Muelle 33, Ciudad de Buenos Aires","viernes",16,20.25,-34.5887363,-58.4462613,2021-03-28
"66","Muelle 33, Ciudad de Buenos Aires","viernes",17,15.75,-34.5887363,-58.4462613,2021-03-28
"67","Muelle 33, Ciudad de Buenos Aires","viernes",18,15,-34.5887363,-58.4462613,2021-03-28
"68","Muelle 33, Ciudad de Buenos Aires","viernes",19,21.75,-34.5887363,-58.4462613,2021-03-28
"69","Muelle 33, Ciudad de Buenos Aires","viernes",20,36.75,-34.5887363,-58.4462613,2021-03-28
"70","Muelle 33, Ciudad de Buenos Aires","viernes",21,51.75,-34.5887363,-58.4462613,2021-03-28
"71","Muelle 33, Ciudad de Buenos Aires","viernes",22,53.25,-34.5887363,-58.4462613,2021-03-28
"72","Muelle 33, Ciudad de Buenos Aires","viernes",23,38.25,-34.5887363,-58.4462613,2021-03-28
"73","Muelle 33, Ciudad de Buenos Aires","sabado",6,0,-34.5887363,-58.4462613,2021-03-28
"74","Muelle 33, Ciudad de Buenos Aires","sabado",7,0,-34.5887363,-58.4462613,2021-03-28
"75","Muelle 33, Ciudad de Buenos Aires","sabado",8,0,-34.5887363,-58.4462613,2021-03-28
"76","Muelle 33, Ciudad de Buenos Aires","sabado",9,0.75,-34.5887363,-58.4462613,2021-03-28
"77","Muelle 33, Ciudad de Buenos Aires","sabado",10,0.75,-34.5887363,-58.4462613,2021-03-28
"78","Muelle 33, Ciudad de Buenos Aires","sabado",11,6,-34.5887363,-58.4462613,2021-03-28
"79","Muelle 33, Ciudad de Buenos Aires","sabado",12,17.25,-34.5887363,-58.4462613,2021-03-28
"80","Muelle 33, Ciudad de Buenos Aires","sabado",13,31.5,-34.5887363,-58.4462613,2021-03-28
"81","Muelle 33, Ciudad de Buenos Aires","sabado",14,42.75,-34.5887363,-58.4462613,2021-03-28
"82","Muelle 33, Ciudad de Buenos Aires","sabado",15,42,-34.5887363,-58.4462613,2021-03-28
"83","Muelle 33, Ciudad de Buenos Aires","sabado",16,31.5,-34.5887363,-58.4462613,2021-03-28
"84","Muelle 33, Ciudad de Buenos Aires","sabado",17,17.25,-34.5887363,-58.4462613,2021-03-28
"85","Muelle 33, Ciudad de Buenos Aires","sabado",18,9.75,-34.5887363,-58.4462613,2021-03-28
"86","Muelle 33, Ciudad de Buenos Aires","sabado",19,15,-34.5887363,-58.4462613,2021-03-28
"87","Muelle 33, Ciudad de Buenos Aires","sabado",20,33.75,-34.5887363,-58.4462613,2021-03-28
"88","Muelle 33, Ciudad de Buenos Aires","sabado",21,59.25,-34.5887363,-58.4462613,2021-03-28
"89","Muelle 33, Ciudad de Buenos Aires","sabado",22,75,-34.5887363,-58.4462613,2021-03-28
"90","Muelle 33, Ciudad de Buenos Aires","sabado",23,66.75,-34.5887363,-58.4462613,2021-03-28
"91","Muelle 33, Ciudad de Buenos Aires","domingo",6,0,-34.5887363,-58.4462613,2021-03-28
"92","Muelle 33, Ciudad de Buenos Aires","domingo",7,0,-34.5887363,-58.4462613,2021-03-28
"93","Muelle 33, Ciudad de Buenos Aires","domingo",8,0,-34.5887363,-58.4462613,2021-03-28
"94","Muelle 33, Ciudad de Buenos Aires","domingo",9,3,-34.5887363,-58.4462613,2021-03-28
"95","Muelle 33, Ciudad de Buenos Aires","domingo",10,6.75,-34.5887363,-58.4462613,2021-03-28
"96","Muelle 33, Ciudad de Buenos Aires","domingo",11,10.5,-34.5887363,-58.4462613,2021-03-28
"97","Muelle 33, Ciudad de Buenos Aires","domingo",12,15.75,-34.5887363,-58.4462613,2021-03-28
"98","Muelle 33, Ciudad de Buenos Aires","domingo",13,20.25,-34.5887363,-58.4462613,2021-03-28
"99","Muelle 33, Ciudad de Buenos Aires","domingo",14,24.75,-34.5887363,-58.4462613,2021-03-28
"100","Muelle 33, Ciudad de Buenos Aires","domingo",15,27.75,-34.5887363,-58.4462613,2021-03-28
"101","Muelle 33, Ciudad de Buenos Aires","domingo",16,29.25,-34.5887363,-58.4462613,2021-03-28
"102","Muelle 33, Ciudad de Buenos Aires","domingo",17,28.5,-34.5887363,-58.4462613,2021-03-28
"103","Muelle 33, Ciudad de Buenos Aires","domingo",18,27,-34.5887363,-58.4462613,2021-03-28
"104","Muelle 33, Ciudad de Buenos Aires","domingo",19,24.75,-34.5887363,-58.4462613,2021-03-28
"105","Muelle 33, Ciudad de Buenos Aires","domingo",20,27,-34.5887363,-58.4462613,2021-03-28
