"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",6,0,-34.5806932,-58.4149251,2021-03-26
"2","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",7,0,-34.5806932,-58.4149251,2021-03-26
"3","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",8,0,-34.5806932,-58.4149251,2021-03-26
"4","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",9,7.5,-34.5806932,-58.4149251,2021-03-26
"5","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",10,16.5,-34.5806932,-58.4149251,2021-03-26
"6","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",11,26.25,-34.5806932,-58.4149251,2021-03-26
"7","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",12,33.75,-34.5806932,-58.4149251,2021-03-26
"8","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",13,36.75,-34.5806932,-58.4149251,2021-03-26
"9","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",14,35.25,-34.5806932,-58.4149251,2021-03-26
"10","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",15,33,-34.5806932,-58.4149251,2021-03-26
"11","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",16,33.75,-34.5806932,-58.4149251,2021-03-26
"12","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",17,34.5,-34.5806932,-58.4149251,2021-03-26
"13","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",18,33,-34.5806932,-58.4149251,2021-03-26
"14","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",19,32.25,-34.5806932,-58.4149251,2021-03-26
"15","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",20,36,-34.5806932,-58.4149251,2021-03-26
"16","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",21,40.5,-34.5806932,-58.4149251,2021-03-26
"17","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",22,37.5,-34.5806932,-58.4149251,2021-03-26
"18","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","lunes",23,27,-34.5806932,-58.4149251,2021-03-26
"19","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","martes",6,0,-34.5806932,-58.4149251,2021-03-26
"20","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","martes",7,0,-34.5806932,-58.4149251,2021-03-26
"21","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","martes",8,0,-34.5806932,-58.4149251,2021-03-26
"22","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","martes",9,12,-34.5806932,-58.4149251,2021-03-26
"23","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","martes",10,18.75,-34.5806932,-58.4149251,2021-03-26
"24","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","martes",11,25.5,-34.5806932,-58.4149251,2021-03-26
"25","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","martes",12,31.5,-34.5806932,-58.4149251,2021-03-26
"26","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","martes",13,36,-34.5806932,-58.4149251,2021-03-26
"27","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","martes",14,40.5,-34.5806932,-58.4149251,2021-03-26
"28","Museo Evita Restaurant &amp; Bar, Ciudad de Buenos Aires","martes",15,44.25,-34.5806932,-58.4149251,2021-03-26
