"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",6,0,-34.588477,-58.4261305,2021-03-30
"2","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",7,0,-34.588477,-58.4261305,2021-03-30
"3","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",8,0,-34.588477,-58.4261305,2021-03-30
"4","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",9,0,-34.588477,-58.4261305,2021-03-30
"5","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",10,0,-34.588477,-58.4261305,2021-03-30
"6","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",11,3.75,-34.588477,-58.4261305,2021-03-30
"7","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",12,5.25,-34.588477,-58.4261305,2021-03-30
"8","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",13,6.75,-34.588477,-58.4261305,2021-03-30
"9","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",14,8.25,-34.588477,-58.4261305,2021-03-30
"10","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",15,9.75,-34.588477,-58.4261305,2021-03-30
"11","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",16,15,-34.588477,-58.4261305,2021-03-30
"12","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",17,23.25,-34.588477,-58.4261305,2021-03-30
"13","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",18,30.75,-34.588477,-58.4261305,2021-03-30
"14","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",19,28.5,-34.588477,-58.4261305,2021-03-30
"15","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",20,18,-34.588477,-58.4261305,2021-03-30
"16","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",21,0,-34.588477,-58.4261305,2021-03-30
"17","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",22,0,-34.588477,-58.4261305,2021-03-30
"18","Muu Lecheria Madero, Ciudad de Buenos Aires","lunes",23,0,-34.588477,-58.4261305,2021-03-30
"19","Muu Lecheria Madero, Ciudad de Buenos Aires","martes",6,0,-34.588477,-58.4261305,2021-03-30
"20","Muu Lecheria Madero, Ciudad de Buenos Aires","martes",7,0,-34.588477,-58.4261305,2021-03-30
"21","Muu Lecheria Madero, Ciudad de Buenos Aires","martes",8,0,-34.588477,-58.4261305,2021-03-30
"22","Muu Lecheria Madero, Ciudad de Buenos Aires","martes",9,0,-34.588477,-58.4261305,2021-03-30
"23","Muu Lecheria Madero, Ciudad de Buenos Aires","martes",10,0,-34.588477,-58.4261305,2021-03-30
"24","Muu Lecheria Madero, Ciudad de Buenos Aires","martes",11,3,-34.588477,-58.4261305,2021-03-30
"25","Muu Lecheria Madero, Ciudad de Buenos Aires","martes",12,6,-34.588477,-58.4261305,2021-03-30
"26","Muu Lecheria Madero, Ciudad de Buenos Aires","martes",13,9,-34.588477,-58.4261305,2021-03-30
"27","Muu Lecheria Madero, Ciudad de Buenos Aires","martes",14,9.75,-34.588477,-58.4261305,2021-03-30
