"","lugar","dia","hora","concurrencia","latitud","longitud","fecha.de.busqueda"
"1","Nare Sushi Bar, Ciudad de Buenos Aires","martes",6,0,-34.5579619,-58.447194,2021-03-26
"2","Nare Sushi Bar, Ciudad de Buenos Aires","martes",7,0,-34.5579619,-58.447194,2021-03-26
"3","Nare Sushi Bar, Ciudad de Buenos Aires","martes",8,0,-34.5579619,-58.447194,2021-03-26
"4","Nare Sushi Bar, Ciudad de Buenos Aires","martes",9,0,-34.5579619,-58.447194,2021-03-26
"5","Nare Sushi Bar, Ciudad de Buenos Aires","martes",10,0,-34.5579619,-58.447194,2021-03-26
"6","Nare Sushi Bar, Ciudad de Buenos Aires","martes",11,0,-34.5579619,-58.447194,2021-03-26
"7","Nare Sushi Bar, Ciudad de Buenos Aires","martes",12,29.25,-34.5579619,-58.447194,2021-03-26
"8","Nare Sushi Bar, Ciudad de Buenos Aires","martes",13,49.5,-34.5579619,-58.447194,2021-03-26
"9","Nare Sushi Bar, Ciudad de Buenos Aires","martes",14,41.25,-34.5579619,-58.447194,2021-03-26
"10","Nare Sushi Bar, Ciudad de Buenos Aires","martes",15,0,-34.5579619,-58.447194,2021-03-26
"11","Nare Sushi Bar, Ciudad de Buenos Aires","martes",16,0,-34.5579619,-58.447194,2021-03-26
"12","Nare Sushi Bar, Ciudad de Buenos Aires","martes",17,0,-34.5579619,-58.447194,2021-03-26
"13","Nare Sushi Bar, Ciudad de Buenos Aires","martes",18,0,-34.5579619,-58.447194,2021-03-26
"14","Nare Sushi Bar, Ciudad de Buenos Aires","martes",19,0,-34.5579619,-58.447194,2021-03-26
"15","Nare Sushi Bar, Ciudad de Buenos Aires","martes",20,41.25,-34.5579619,-58.447194,2021-03-26
"16","Nare Sushi Bar, Ciudad de Buenos Aires","martes",21,43.5,-34.5579619,-58.447194,2021-03-26
"17","Nare Sushi Bar, Ciudad de Buenos Aires","martes",22,30.75,-34.5579619,-58.447194,2021-03-26
"18","Nare Sushi Bar, Ciudad de Buenos Aires","martes",23,14.25,-34.5579619,-58.447194,2021-03-26
"19","Nare Sushi Bar, Ciudad de Buenos Aires","miercoles",6,0,-34.5579619,-58.447194,2021-03-26
"20","Nare Sushi Bar, Ciudad de Buenos Aires","miercoles",7,0,-34.5579619,-58.447194,2021-03-26
"21","Nare Sushi Bar, Ciudad de Buenos Aires","miercoles",8,0,-34.5579619,-58.447194,2021-03-26
"22","Nare Sushi Bar, Ciudad de Buenos Aires","miercoles",9,0,-34.5579619,-58.447194,2021-03-26
"23","Nare Sushi Bar, Ciudad de Buenos Aires","miercoles",10,0,-34.5579619,-58.447194,2021-03-26
"24","Nare Sushi Bar, Ciudad de Buenos Aires","miercoles",11,0,-34.5579619,-58.447194,2021-03-26
"25","Nare Sushi Bar, Ciudad de Buenos Aires","miercoles",12,24.75,-34.5579619,-58.447194,2021-03-26
"26","Nare Sushi Bar, Ciudad de Buenos Aires","miercoles",13,34.5,-34.5579619,-58.447194,2021-03-26
"27","Nare Sushi Bar, Ciudad de Buenos Aires","miercoles",14,28.5,-34.5579619,-58.447194,2021-03-26
"28","Nare Sushi Bar, Ciudad de Buenos Aires","miercoles",15,0,-34.5579619,-58.447194,2021-03-26
"29","Nare Sushi Bar, Ciudad de Buenos Aires","miercoles",16,0,-34.5579619,-58.447194,2021-03-26
